Namespace(attSize=85, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA1', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=9182, matdataset=True, nclass_all=50, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=312, nrh4=156, nz=85, outf='./checkpoint/', outname='awa', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=1, r_iteration=3, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, save_every=100, standardization=False, start_epoch=0, syn_num=3000, val_every=1, validation=False, workers=2)
Random Seed:  9182
# of training samples:  19832
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=312)
  (fc4): Linear(in_features=312, out_features=156)
  (fc5): Linear(in_features=156, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_seen  |  ACC_unseen  |    H    |
[ 1  /300 ]    | -1.1637  |  1.4217  |  0.5601  |     1.2117      |   0.0397   |    0.4200    | 0.0725  |
[ 2  /300 ]    | -0.7258  |  0.8865  |  0.6473  |     0.7403      |   0.0862   |    0.2336    | 0.1259  |
[ 3  /300 ]    | -0.2953  |  0.4865  |  0.6950  |     0.2976      |   0.0995   |    0.4358    | 0.1620  |
[ 4  /300 ]    | -0.1546  |  0.2410  |  0.7150  |     0.1568      |   0.0983   |    0.4494    | 0.1613  |
[ 5  /300 ]    | -0.2472  | -0.0010  |  0.7321  |     0.2494      |   0.0792   |    0.6058    | 0.1401  |
[ 6  /300 ]    | -0.4353  | -0.1189  |  0.7399  |     0.4392      |   0.1205   |    0.4969    | 0.1939  |
[ 7  /300 ]    | -0.6498  | -0.2019  |  0.7505  |     0.6581      |   0.1501   |    0.4831    | 0.2290  |
[ 8  /300 ]    | -0.8101  | -0.1891  |  0.7554  |     0.8308      |   0.1082   |    0.4600    | 0.1752  |
[ 9  /300 ]    | -0.9717  | -0.1282  |  0.7569  |     1.0065      |   0.1096   |    0.4469    | 0.1761  |
[ 10 /300 ]    | -1.1334  | -0.0798  |  0.7589  |     1.1895      |   0.0769   |    0.4550    | 0.1316  |
[ 11 /300 ]    | -1.2965  | -0.0591  |  0.7667  |     1.3670      |   0.1040   |    0.4334    | 0.1677  |
[ 12 /300 ]    | -1.4690  |  0.0166  |  0.7665  |     1.5601      |   0.0947   |    0.4251    | 0.1549  |
[ 13 /300 ]    | -1.6062  |  0.0988  |  0.7717  |     1.7079      |   0.1097   |    0.6410    | 0.1873  |
[ 14 /300 ]    | -1.7293  |  0.1496  |  0.7736  |     1.8371      |   0.0940   |    0.4343    | 0.1546  |
[ 15 /300 ]    | -1.8178  |  0.1744  |  0.7751  |     1.9301      |   0.1138   |    0.4358    | 0.1805  |
[ 16 /300 ]    | -1.8624  |  0.1812  |  0.7783  |     1.9749      |   0.1223   |    0.4406    | 0.1915  |
[ 17 /300 ]    | -1.8906  |  0.1877  |  0.7790  |     2.0004      |   0.1420   |    0.4526    | 0.2162  |
[ 18 /300 ]    | -1.9468  |  0.1889  |  0.7788  |     2.0549      |   0.1217   |    0.6045    | 0.2026  |
[ 19 /300 ]    | -1.9744  |  0.1774  |  0.7802  |     2.0880      |   0.1160   |    0.4771    | 0.1866  |
[ 20 /300 ]    | -1.9847  |  0.1513  |  0.7795  |     2.0922      |   0.1263   |    0.2398    | 0.1655  |
[ 21 /300 ]    | -1.9643  |  0.1406  |  0.7800  |     2.0715      |   0.1613   |    0.2641    | 0.2003  |
[ 22 /300 ]    | -1.9659  |  0.1016  |  0.7788  |     2.0723      |   0.1581   |    0.2654    | 0.1982  |
[ 23 /300 ]    | -1.9606  |  0.0875  |  0.7829  |     2.0647      |   0.1175   |    0.2560    | 0.1611  |
