Namespace(attSize=85, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=9182, matdataset=True, nclass_all=50, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=312, nrh4=156, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=1, r_iteration=3, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, save_every=100, standardization=False, start_epoch=0, syn_num=3000, val_every=1, validation=False, workers=2)
Random Seed:  9182
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_2HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_seen  |  ACC_unseen  |    H    |
[ 1  /300 ]    | -1.2389  |  1.4807  |  0.6153  |     1.2882      |   0.0451   |    0.5763    | 0.0837  |
[ 2  /300 ]    | -0.6187  |  0.8910  |  0.6751  |     0.6286      |   0.0791   |    0.3752    | 0.1307  |
[ 3  /300 ]    | -0.2214  |  0.5333  |  0.7136  |     0.2232      |   0.0912   |    0.6040    | 0.1584  |
[ 4  /300 ]    | -0.1900  |  0.1915  |  0.7320  |     0.1927      |   0.0833   |    0.6099    | 0.1465  |
[ 5  /300 ]    | -0.3868  | -0.1554  |  0.7440  |     0.3906      |   0.1330   |    0.3859    | 0.1978  |
[ 6  /300 ]    | -0.6547  | -0.1664  |  0.7500  |     0.6668      |   0.0858   |    0.6332    | 0.1512  |
[ 7  /300 ]    | -0.8501  | -0.1963  |  0.7557  |     0.8775      |   0.1394   |    0.3569    | 0.2005  |
[ 8  /300 ]    | -1.0225  | -0.1072  |  0.7594  |     1.0801      |   0.1583   |    0.3449    | 0.2170  |
[ 9  /300 ]    | -1.1988  | -0.1109  |  0.7658  |     1.2718      |   0.0928   |    0.6951    | 0.1637  |
[ 10 /300 ]    | -1.3726  | -0.0445  |  0.7614  |     1.4672      |   0.0794   |    0.3221    | 0.1275  |
[ 11 /300 ]    | -1.5335  |  0.0279  |  0.7720  |     1.6386      |   0.1043   |    0.3116    | 0.1563  |
[ 12 /300 ]    | -1.6945  |  0.0833  |  0.7718  |     1.8021      |   0.1164   |    0.5819    | 0.1940  |
[ 13 /300 ]    | -1.7791  |  0.0988  |  0.7717  |     1.8914      |   0.1902   |    0.3355    | 0.2427  |
