Namespace(attSize=312, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='CUB', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=3483, matdataset=True, nclass_all=200, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=312, nrh4=156, nz=312, outf='./checkpoint/', outname='cub', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=1, r_iteration=3, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, save_every=100, standardization=False, start_epoch=0, syn_num=500, val_every=1, validation=False, workers=2)
Random Seed:  3483
# of training samples:  7057
MLP_G(
  (fc1): Linear(in_features=624, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2360, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_2HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=312)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_seen  |  ACC_unseen  |    H    |
[ 1  /300 ]    | -0.6928  | -0.0605  |  0.7017  |     0.7024      |   0.0245   |    0.2466    | 0.0446  |
[ 2  /300 ]    | -1.1761  | -0.5248  |  0.7383  |     1.1866      |   0.0154   |    0.2021    | 0.0286  |
[ 3  /300 ]    | -1.6343  | -0.4050  |  0.7436  |     1.6658      |   0.0147   |    0.1803    | 0.0273  |
[ 4  /300 ]    | -2.0191  | -0.2303  |  0.7443  |     2.0959      |   0.0334   |    0.1932    | 0.0570  |
[ 5  /300 ]    | -2.1571  | -0.3324  |  0.7486  |     2.2631      |   0.0270   |    0.2626    | 0.0489  |
[ 6  /300 ]    | -2.2213  | -0.4078  |  0.7516  |     2.3758      |   0.0318   |    0.3075    | 0.0577  |
[ 7  /300 ]    | -2.2743  | -0.4639  |  0.7540  |     2.4030      |   0.0336   |    0.3291    | 0.0609  |
[ 8  /300 ]    | -2.2896  | -0.4564  |  0.7556  |     2.4164      |   0.0437   |    0.2850    | 0.0758  |
[ 9  /300 ]    | -2.3017  | -0.4992  |  0.7550  |     2.4337      |   0.0463   |    0.2468    | 0.0780  |
[ 10 /300 ]    | -2.2442  | -0.5241  |  0.7592  |     2.3521      |   0.0918   |    0.2098    | 0.1277  |
[ 11 /300 ]    | -2.1236  | -0.5085  |  0.7571  |     2.2146      |   0.0947   |    0.1845    | 0.1251  |
[ 12 /300 ]    | -2.0767  | -0.4775  |  0.7646  |     2.1580      |   0.1194   |    0.1439    | 0.1305  |
[ 13 /300 ]    | -1.9745  | -0.5010  |  0.7678  |     2.0518      |   0.1020   |    0.3281    | 0.1556  |
[ 14 /300 ]    | -1.8940  | -0.5351  |  0.7768  |     1.9583      |   0.1274   |    0.2791    | 0.1749  |
[ 15 /300 ]    | -1.7831  | -0.4703  |  0.7991  |     1.8535      |   0.1250   |    0.3999    | 0.1905  |
[ 16 /300 ]    | -1.6953  | -0.3664  |  0.8163  |     1.7892      |   0.1437   |    0.3373    | 0.2015  |
[ 17 /300 ]    | -1.6559  | -0.4128  |  0.8281  |     1.7206      |   0.1774   |    0.4083    | 0.2473  |
[ 18 /300 ]    | -1.5962  | -0.3156  |  0.8371  |     1.6585      |   0.1832   |    0.4518    | 0.2607  |
[ 19 /300 ]    | -1.5328  | -0.3260  |  0.8487  |     1.5905      |   0.1958   |    0.4334    | 0.2697  |
[ 20 /300 ]    | -1.5161  | -0.3657  |  0.8579  |     1.5721      |   0.2435   |    0.4135    | 0.3065  |
[ 21 /300 ]    | -1.4455  | -0.2555  |  0.8656  |     1.4922      |   0.2089   |    0.5067    | 0.2958  |
[ 22 /300 ]    | -1.4108  | -0.2166  |  0.8766  |     1.4571      |   0.2325   |    0.4667    | 0.3104  |
[ 23 /300 ]    | -1.3955  | -0.1792  |  0.8791  |     1.4514      |   0.2593   |    0.4680    | 0.3337  |
[ 24 /300 ]    | -1.3626  | -0.2619  |  0.8832  |     1.4023      |   0.2789   |    0.4052    | 0.3304  |
[ 25 /300 ]    | -1.3292  | -0.2369  |  0.8887  |     1.3700      |   0.2588   |    0.5082    | 0.3429  |
[ 26 /300 ]    | -1.3239  | -0.3065  |  0.8888  |     1.3735      |   0.2856   |    0.4329    | 0.3441  |
[ 27 /300 ]    | -1.2953  | -0.1608  |  0.8893  |     1.3389      |   0.2676   |    0.4937    | 0.3470  |
[ 28 /300 ]    | -1.2970  | -0.2183  |  0.8973  |     1.3415      |   0.2792   |    0.4819    | 0.3535  |
[ 29 /300 ]    | -1.2864  | -0.1062  |  0.8928  |     1.3270      |   0.3085   |    0.4762    | 0.3744  |
[ 30 /300 ]    | -1.2613  | -0.0225  |  0.9017  |     1.3116      |   0.3028   |    0.4806    | 0.3716  |
[ 31 /300 ]    | -1.2401  | -0.0692  |  0.9054  |     1.2795      |   0.3073   |    0.5023    | 0.3813  |
[ 32 /300 ]    | -1.2371  | -0.2011  |  0.9048  |     1.2824      |   0.3134   |    0.4775    | 0.3785  |
[ 33 /300 ]    | -1.2149  | -0.2214  |  0.9070  |     1.2554      |   0.3182   |    0.4820    | 0.3833  |
[ 34 /300 ]    | -1.2109  | -0.2548  |  0.9111  |     1.2549      |   0.3204   |    0.5232    | 0.3974  |
[ 35 /300 ]    | -1.2201  | -0.1920  |  0.9103  |     1.2625      |   0.3278   |    0.5234    | 0.4032  |
[ 36 /300 ]    | -1.1836  | -0.1463  |  0.9134  |     1.2203      |   0.3115   |    0.5325    | 0.3930  |
[ 37 /300 ]    | -1.1544  | -0.1807  |  0.9136  |     1.1935      |   0.3241   |    0.5479    | 0.4073  |
[ 38 /300 ]    | -1.1975  | -0.2166  |  0.9179  |     1.2451      |   0.3593   |    0.4981    | 0.4175  |
[ 39 /300 ]    | -1.1766  | -0.2569  |  0.9183  |     1.2260      |   0.3539   |    0.5202    | 0.4212  |
[ 40 /300 ]    | -1.1811  | -0.2646  |  0.9215  |     1.2314      |   0.3620   |    0.4919    | 0.4171  |
[ 41 /300 ]    | -1.1526  | -0.2127  |  0.9219  |     1.2022      |   0.3395   |    0.5406    | 0.4171  |
[ 42 /300 ]    | -1.1933  | -0.3479  |  0.9232  |     1.2364      |   0.3401   |    0.5455    | 0.4190  |
[ 43 /300 ]    | -1.1384  | -0.2681  |  0.9274  |     1.1796      |   0.3400   |    0.5344    | 0.4155  |
[ 44 /300 ]    | -1.1390  | -0.1556  |  0.9270  |     1.1827      |   0.3597   |    0.5377    | 0.4310  |
[ 45 /300 ]    | -1.1671  | -0.2900  |  0.9301  |     1.2243      |   0.3715   |    0.4964    | 0.4250  |
[ 46 /300 ]    | -1.1206  | -0.2150  |  0.9300  |     1.1633      |   0.3562   |    0.5396    | 0.4291  |
[ 47 /300 ]    | -1.1433  | -0.2901  |  0.9307  |     1.1890      |   0.3506   |    0.5408    | 0.4254  |
[ 48 /300 ]    | -1.1321  | -0.2451  |  0.9321  |     1.1772      |   0.3586   |    0.5567    | 0.4362  |
[ 49 /300 ]    | -1.0989  | -0.2656  |  0.9337  |     1.1413      |   0.3649   |    0.5460    | 0.4375  |
[ 50 /300 ]    | -1.1358  | -0.2639  |  0.9354  |     1.1775      |   0.3546   |    0.5534    | 0.4322  |
