Namespace(attSize=1024, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.1, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='FLO', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=806, matdataset=True, nclass_all=102, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=312, nrh4=156, nz=1024, outf='./checkpoint/', outname='flowers', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=1, r_iteration=3, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, save_every=100, standardization=False, start_epoch=0, syn_num=800, val_every=1, validation=False, workers=2)
Random Seed:  806
# of training samples:  5631
MLP_G(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=3072, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_1HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1024)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_seen  |  ACC_unseen  |    H    |
[ 1  /300 ]    | -4.2632  |  4.9923  |  0.5673  |     4.5367      |   0.0389   |    0.0281    | 0.0326  |
[ 2  /300 ]    | -1.3367  | -0.2462  |  0.6585  |     1.3478      |   0.0644   |    0.4524    | 0.1127  |
[ 3  /300 ]    | -1.1273  | -1.4909  |  0.6791  |     1.1369      |   0.0422   |    0.1120    | 0.0613  |
[ 4  /300 ]    | -1.5451  | -1.4873  |  0.6901  |     1.5669      |   0.0458   |    0.1382    | 0.0688  |
[ 5  /300 ]    | -1.6299  | -1.7629  |  0.6950  |     1.6469      |   0.0462   |    0.1084    | 0.0648  |
[ 6  /300 ]    | -1.7831  | -1.4381  |  0.7004  |     1.8012      |   0.0608   |    0.1021    | 0.0762  |
[ 7  /300 ]    | -1.8953  | -1.5769  |  0.7014  |     1.9121      |   0.0256   |    0.0930    | 0.0402  |
[ 8  /300 ]    | -1.9987  | -1.3168  |  0.7060  |     2.0093      |   0.0422   |    0.4438    | 0.0770  |
[ 9  /300 ]    | -2.1497  | -1.2394  |  0.7085  |     2.1796      |   0.0372   |    0.0933    | 0.0532  |
[ 10 /300 ]    | -2.2565  | -1.1183  |  0.7104  |     2.2770      |   0.0476   |    0.7147    | 0.0892  |
[ 11 /300 ]    | -2.3424  | -1.0820  |  0.7109  |     2.3809      |   0.0441   |    0.2761    | 0.0761  |
[ 12 /300 ]    | -2.3759  | -0.9700  |  0.7119  |     2.4666      |   0.0348   |    0.1165    | 0.0536  |
[ 13 /300 ]    | -2.3640  | -0.9662  |  0.7122  |     2.4995      |   0.0370   |    0.1586    | 0.0599  |
