Namespace(attSize=64, batch_size=256, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='APY', drop_rate=0.2, fusion_iter=3, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=32, ndh=4096, nepoch=100, netD_name='MLP_CRITIC', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=64, outname='apy', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=2, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=1400, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  9353
# of training samples:  5932
MLP_G(
  (fc1): Linear(in_features=128, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2112, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_DropoutAdapt(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (drop): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  F_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /100 ]    | -1.0596  |  1.0087  |  1.1552  |  0.4776  |     1.0957      |    0.0623    |   0.0530   | 0.0573  |
[ 2  /100 ]    | -0.5916  |  0.5151  |  0.8798  |  0.5136  |     0.6004      |    0.0675    |   0.1863   | 0.0991  |
[ 3  /100 ]    | -0.2678  |  0.4162  |  0.7790  |  0.5392  |     0.2703      |    0.0687    |   0.4394   | 0.1189  |
[ 4  /100 ]    | -0.3511  |  0.2021  |  0.5636  |  0.5578  |     0.3545      |    0.0583    |   0.4615   | 0.1036  |
[ 5  /100 ]    | -0.6388  | -0.0098  |  0.4575  |  0.5848  |     0.6492      |    0.0540    |   0.1866   | 0.0838  |
[ 6  /100 ]    | -0.9353  |  0.0152  |  0.5234  |  0.5952  |     0.9700      |    0.1175    |   0.1889   | 0.1449  |
[ 7  /100 ]    | -1.1687  |  0.0304  |  0.4402  |  0.6432  |     1.2329      |    0.0601    |   0.5600   | 0.1085  |
[ 8  /100 ]    | -1.3301  |  0.0729  |  0.4921  |  0.6738  |     1.4252      |    0.0619    |   0.4360   | 0.1084  |
[ 9  /100 ]    | -1.5861  |  0.0854  |  0.1969  |  0.7075  |     1.7102      |    0.1074    |   0.1977   | 0.1392  |
[ 10 /100 ]    | -1.7493  |  0.1603  |  0.2410  |  0.7496  |     1.8741      |    0.0839    |   0.6229   | 0.1479  |
[ 11 /100 ]    | -1.8654  |  0.2046  |  0.2361  |  0.7747  |     1.9922      |    0.1014    |   0.4139   | 0.1629  |
