Namespace(attSize=85, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA1', drop_rate=0.2, fusion_iter=3, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=50, ndh=4096, nepoch=200, netD_name='MLP_CRITIC', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=85, outname='awa', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=3200, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  6030
# of training samples:  19832
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_DropoutAdapt(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (drop): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  F_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /200 ]    | -0.7002  |  0.8932  |  1.0498  |  0.6457  |     0.7136      |    0.0636    |   0.4906   | 0.1126  |
[ 2  /200 ]    | -0.1950  |  0.3151  |  0.9187  |  0.6972  |     0.1971      |    0.0653    |   0.4040   | 0.1124  |
[ 3  /200 ]    | -0.4287  | -0.0924  |  0.7541  |  0.7348  |     0.4318      |    0.0824    |   0.4431   | 0.1390  |
[ 4  /200 ]    | -0.8076  | -0.1497  |  0.5768  |  0.7522  |     0.8233      |    0.0735    |   0.4524   | 0.1265  |
[ 5  /200 ]    | -1.1246  | -0.0577  |  0.5043  |  0.7650  |     1.1791      |    0.0861    |   0.4224   | 0.1430  |
[ 6  /200 ]    | -1.4220  |  0.0595  |  0.4555  |  0.7678  |     1.5112      |    0.0625    |   0.4064   | 0.1083  |
[ 7  /200 ]    | -1.7168  |  0.1765  |  0.3647  |  0.7703  |     1.8254      |    0.1574    |   0.3963   | 0.2253  |
[ 8  /200 ]    | -1.8260  |  0.2035  |  0.4078  |  0.7797  |     1.9390      |    0.1598    |   0.1411   | 0.1499  |
[ 9  /200 ]    | -1.8931  |  0.2001  |  0.3294  |  0.7727  |     2.0051      |    0.0909    |   0.5753   | 0.1569  |
[ 10 /200 ]    | -1.9473  |  0.1858  |  0.2387  |  0.7830  |     2.0575      |    0.1509    |   0.4632   | 0.2276  |
[ 11 /200 ]    | -1.9548  |  0.1567  |  0.2011  |  0.7794  |     2.0623      |    0.0827    |   0.4763   | 0.1409  |
[ 12 /200 ]    | -1.9218  |  0.0954  |  0.2018  |  0.7777  |     2.0181      |    0.1081    |   0.4827   | 0.1767  |
[ 13 /200 ]    | -1.8907  |  0.0476  |  0.1436  |  0.7836  |     1.9894      |    0.1263    |   0.4756   | 0.1996  |
[ 14 /200 ]    | -1.8326  | -0.0001  |  0.2460  |  0.7814  |     1.9251      |    0.1122    |   0.4711   | 0.1813  |
[ 15 /200 ]    | -1.7960  | -0.0485  |  0.1111  |  0.7877  |     1.8747      |    0.1561    |   0.1939   | 0.1729  |
[ 16 /200 ]    | -1.7411  | -0.0922  |  0.1770  |  0.7890  |     1.8170      |    0.1976    |   0.1890   | 0.1932  |
[ 17 /200 ]    | -1.6608  | -0.1311  |  0.1621  |  0.7945  |     1.7379      |    0.1861    |   0.4058   | 0.2552  |
[ 18 /200 ]    | -1.5935  | -0.1525  |  0.1953  |  0.7968  |     1.6590      |    0.1849    |   0.5281   | 0.2739  |
[ 19 /200 ]    | -1.5064  | -0.1783  |  0.1583  |  0.8061  |     1.5679      |    0.2033    |   0.6084   | 0.3048  |
[ 20 /200 ]    | -1.4392  | -0.2107  |  0.1112  |  0.8152  |     1.4955      |    0.2360    |   0.4998   | 0.3206  |
[ 21 /200 ]    | -1.3792  | -0.2654  |  0.2048  |  0.8255  |     1.4301      |    0.1958    |   0.6461   | 0.3005  |
[ 22 /200 ]    | -1.2983  | -0.3070  |  0.1210  |  0.8291  |     1.3469      |    0.2542    |   0.4566   | 0.3265  |
[ 23 /200 ]    | -1.2779  | -0.3062  |  0.1301  |  0.8330  |     1.3249      |    0.2729    |   0.4409   | 0.3371  |
[ 24 /200 ]    | -1.2022  | -0.3422  |  0.1226  |  0.8401  |     1.2440      |    0.2775    |   0.5246   | 0.3629  |
[ 25 /200 ]    | -1.1520  | -0.3664  |  0.1328  |  0.8496  |     1.1888      |    0.2784    |   0.5863   | 0.3775  |
[ 26 /200 ]    | -1.1022  | -0.3945  |  0.1575  |  0.8579  |     1.1357      |    0.2749    |   0.6425   | 0.3850  |
[ 27 /200 ]    | -1.0815  | -0.4064  |  0.1635  |  0.8601  |     1.1197      |    0.3092    |   0.4898   | 0.3791  |
[ 28 /200 ]    | -1.0806  | -0.4183  |  0.0973  |  0.8642  |     1.1178      |    0.2966    |   0.5664   | 0.3894  |
