Namespace(att_size=85, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, fusion_iter=3, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=50, dis_hu=4096, nepoch=200, netD_name='MLP_CRITIC', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=2000, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  4803
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_DropoutAdapt(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (drop): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  F_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /200 ]    | -1.1232  |  1.3291  |  1.1746  |  0.5738  |     1.1648      |    0.0511    |   0.3580   | 0.0894  |
[ 2  /200 ]    | -0.5186  |  0.6790  |  1.0139  |  0.6486  |     0.5258      |    0.0579    |   0.1794   | 0.0875  |
[ 3  /200 ]    | -0.1996  |  0.3336  |  0.9057  |  0.7060  |     0.2016      |    0.0508    |   0.6352   | 0.0941  |
[ 4  /200 ]    | -0.2570  |  0.0691  |  0.8270  |  0.7332  |     0.2594      |    0.0706    |   0.1838   | 0.1020  |
[ 5  /200 ]    | -0.4424  | -0.2079  |  0.7658  |  0.7493  |     0.4476      |    0.0845    |   0.1925   | 0.1174  |
[ 6  /200 ]    | -0.6956  | -0.2159  |  0.6838  |  0.7597  |     0.7112      |    0.0900    |   0.2048   | 0.1250  |
[ 7  /200 ]    | -0.9058  | -0.1615  |  0.6572  |  0.7674  |     0.9443      |    0.0431    |   0.6430   | 0.0808  |
[ 8  /200 ]    | -1.0875  | -0.1191  |  0.5567  |  0.7745  |     1.1440      |    0.1046    |   0.1596   | 0.1264  |
[ 9  /200 ]    | -1.2812  | -0.0757  |  0.5808  |  0.7783  |     1.3594      |    0.1041    |   0.1902   | 0.1346  |
[ 10 /200 ]    | -1.4638  | -0.0372  |  0.4819  |  0.7801  |     1.5707      |    0.1194    |   0.1476   | 0.1320  |
[ 11 /200 ]    | -1.6260  |  0.0542  |  0.4486  |  0.7808  |     1.7393      |    0.1137    |   0.1598   | 0.1329  |
[ 12 /200 ]    | -1.7482  |  0.1156  |  0.3567  |  0.7839  |     1.8624      |    0.0536    |   0.6361   | 0.0988  |
[ 13 /200 ]    | -1.8112  |  0.1050  |  0.3502  |  0.7837  |     1.9206      |    0.0470    |   0.6520   | 0.0877  |
