Namespace(att_size=312, batch_size=64, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='CUB', drop_rate=0.2, fusion_iter=3, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=None, matdataset=True, nclass_all=200, dis_hu=4096, nepoch=100, netD_name='MLP_CRITIC', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=312, outf='./checkpoint/', outname='cub', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=3, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=800, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  9825
# of training samples:  7057
MLP_G(
  (fc1): Linear(in_features=624, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2360, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_DropoutAdapt(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (drop): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  F_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /100 ]    | -2.1494  | -0.3744  |  0.8911  |  0.7638  |     2.2544      |    0.0662    |   0.1080   | 0.0821  |
[ 2  /100 ]    | -2.3778  | -0.4830  |  0.5425  |  0.7603  |     2.4809      |    0.0792    |   0.2243   | 0.1171  |
[ 3  /100 ]    | -1.7915  | -0.3489  |  0.4121  |  0.7945  |     1.8822      |    0.1717    |   0.3217   | 0.2239  |
[ 4  /100 ]    | -1.5894  | -0.0900  |  0.4694  |  0.8577  |     1.6758      |    0.2238    |   0.4065   | 0.2887  |
[ 5  /100 ]    | -1.3241  |  0.1005  |  0.4045  |  0.8829  |     1.3888      |    0.2587    |   0.4470   | 0.3277  |
[ 6  /100 ]    | -1.3221  | -0.0898  |  0.4106  |  0.8874  |     1.4093      |    0.2900    |   0.4508   | 0.3530  |
[ 7  /100 ]    | -1.1647  |  0.3306  |  0.2544  |  0.9110  |     1.2000      |    0.3071    |   0.4887   | 0.3772  |
[ 8  /100 ]    | -1.1966  |  0.3268  |  0.2612  |  0.9049  |     1.2361      |    0.3246    |   0.5078   | 0.3961  |
[ 9  /100 ]    | -1.0904  |  0.4983  |  0.4392  |  0.9162  |     1.1282      |    0.3411    |   0.4808   | 0.3991  |
[ 10 /100 ]    | -1.0517  |  0.4221  |  0.2996  |  0.9242  |     1.1018      |    0.3444    |   0.5061   | 0.4099  |
[ 11 /100 ]    | -1.0616  |  0.1698  |  0.3268  |  0.9214  |     1.1038      |    0.3423    |   0.5396   | 0.4189  |
[ 12 /100 ]    | -1.0526  |  0.4431  |  0.3453  |  0.9315  |     1.0859      |    0.3485    |   0.5391   | 0.4233  |
[ 13 /100 ]    | -1.0684  |  0.2213  |  0.3735  |  0.9352  |     1.1003      |    0.3833    |   0.4988   | 0.4335  |
[ 14 /100 ]    | -1.0468  |  0.1932  |  0.3510  |  0.9337  |     1.0846      |    0.3610    |   0.5315   | 0.4299  |
[ 15 /100 ]    | -1.0498  | -0.0363  |  0.3471  |  0.9438  |     1.0842      |    0.3614    |   0.5465   | 0.4351  |
[ 16 /100 ]    | -0.8793  | -0.0035  |  0.4883  |  0.9466  |     0.9159      |    0.3821    |   0.5292   | 0.4438  |
[ 17 /100 ]    | -0.9292  | -0.0805  |  0.4071  |  0.9525  |     0.9492      |    0.3948    |   0.5200   | 0.4488  |
[ 18 /100 ]    | -0.9632  | -0.1262  |  0.3433  |  0.9527  |     1.0077      |    0.4019    |   0.5240   | 0.4549  |
[ 19 /100 ]    | -0.9337  | -0.0188  |  0.3693  |  0.9423  |     0.9699      |    0.4088    |   0.5334   | 0.4629  |
[ 20 /100 ]    | -1.0418  | -0.3525  |  0.2400  |  0.9527  |     1.0690      |    0.4222    |   0.5098   | 0.4619  |
[ 21 /100 ]    | -0.9700  | -0.3923  |  0.2981  |  0.9515  |     1.0167      |    0.4038    |   0.5359   | 0.4605  |
[ 22 /100 ]    | -0.9118  | -0.5292  |  0.5404  |  0.9579  |     0.9485      |    0.4082    |   0.5276   | 0.4603  |
[ 23 /100 ]    | -0.8624  | -0.5084  |  0.4729  |  0.9583  |     0.8864      |    0.4170    |   0.5182   | 0.4621  |
[ 24 /100 ]    | -0.8915  | -0.5996  |  0.3386  |  0.9556  |     0.9304      |    0.4246    |   0.5146   | 0.4653  |
[ 25 /100 ]    | -0.8652  | -0.9380  |  0.3584  |  0.9581  |     0.8936      |    0.4075    |   0.5317   | 0.4614  |
[ 26 /100 ]    | -1.0152  | -0.8635  |  0.3933  |  0.9602  |     1.0542      |    0.4171    |   0.5251   | 0.4649  |
[ 27 /100 ]    | -0.8901  | -0.9610  |  0.3471  |  0.9657  |     0.9221      |    0.4197    |   0.5269   | 0.4673  |
