Namespace(attSize=1024, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.1, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='FLO', drop_rate=0.2, fusion_iter=3, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=None, matdataset=True, nclass_all=102, ndh=4096, nepoch=300, netD_name='MLP_CRITIC', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=1024, outf='./checkpoint/', outname='flowers', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=800, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  6026
# of training samples:  5631
MLP_G(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=3072, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_DropoutAdapt(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (drop): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  F_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -1.4400  |  0.1673  |  1.0052  |  0.5855  |     1.4567      |    0.0306    |   0.3084   | 0.0557  |
[ 2  /300 ]    | -1.3694  | -1.5961  |  0.9529  |  0.6969  |     1.3890      |    0.0361    |   0.3038   | 0.0645  |
[ 3  /300 ]    | -1.6656  | -1.5667  |  0.8494  |  0.7135  |     1.6887      |    0.0529    |   0.2887   | 0.0894  |
[ 4  /300 ]    | -1.9132  | -1.4475  |  0.8233  |  0.7180  |     1.9322      |    0.0284    |   0.0972   | 0.0440  |
[ 5  /300 ]    | -2.0919  | -1.2132  |  0.7190  |  0.7203  |     2.1103      |    0.0400    |   0.2578   | 0.0692  |
[ 6  /300 ]    | -2.3153  | -0.9930  |  0.5889  |  0.7211  |     2.3553      |    0.0487    |   0.2611   | 0.0821  |
[ 7  /300 ]    | -2.3718  | -0.9167  |  0.5284  |  0.7251  |     2.4809      |    0.0632    |   0.4565   | 0.1110  |
[ 8  /300 ]    | -2.4009  | -0.8668  |  0.6008  |  0.7230  |     2.5774      |    0.0369    |   0.2248   | 0.0634  |
[ 9  /300 ]    | -2.4512  | -0.8257  |  0.5695  |  0.7239  |     2.6442      |    0.0188    |   0.8100   | 0.0368  |
[ 10 /300 ]    | -2.5217  | -0.7794  |  0.4527  |  0.7226  |     2.7010      |    0.0320    |   0.1397   | 0.0521  |
[ 11 /300 ]    | -2.6562  | -0.8193  |  0.4623  |  0.7251  |     2.8769      |    0.0206    |   0.2981   | 0.0386  |
[ 12 /300 ]    | -2.6496  | -0.8600  |  0.6043  |  0.7227  |     2.8226      |    0.0353    |   0.2699   | 0.0624  |
[ 13 /300 ]    | -2.6707  | -0.8751  |  0.5226  |  0.7236  |     2.8184      |    0.0501    |   0.4255   | 0.0897  |
[ 14 /300 ]    | -2.7321  | -0.7684  |  0.5563  |  0.7186  |     2.9316      |    0.0548    |   0.4197   | 0.0970  |
[ 15 /300 ]    | -2.6793  | -0.7765  |  0.4805  |  0.7199  |     2.8243      |    0.0615    |   0.2179   | 0.0959  |
[ 16 /300 ]    | -2.7244  | -0.7406  |  0.4831  |  0.7218  |     2.9712      |    0.0516    |   0.3993   | 0.0914  |
[ 17 /300 ]    | -2.7008  | -0.8298  |  0.3817  |  0.7227  |     2.7804      |    0.0824    |   0.2003   | 0.1168  |
