Namespace(attSize=102, batch_size=2048, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='SUN', drop_rate=0.2, fusion_iter=3, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0002, manualSeed=None, matdataset=True, nclass_all=717, ndh=4096, nepoch=300, netD_name='MLP_CRITIC', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=102, outf='./checkpoint/', outname='sun', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=600, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  7211
# of training samples:  10320
MLP_G(
  (fc1): Linear(in_features=204, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2150, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_DropoutAdapt(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (drop): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  F_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -0.3424  |  0.0131  |  1.0008  |  0.6390  |     0.4540      |    0.0118    |   0.0884   | 0.0208  |
[ 2  /300 ]    | -0.9190  | -0.1348  |  0.9953  |  0.6653  |     0.9516      |    0.0257    |   0.0818   | 0.0391  |
[ 3  /300 ]    | -1.0999  | -0.4434  |  0.9874  |  0.6812  |     1.1596      |    0.0319    |   0.1802   | 0.0543  |
[ 4  /300 ]    | -1.4412  | -0.4301  |  0.9633  |  0.6983  |     1.5081      |    0.0375    |   0.1395   | 0.0591  |
[ 5  /300 ]    | -1.7274  | -0.1947  |  0.9295  |  0.6888  |     1.8157      |    0.0583    |   0.1136   | 0.0771  |
[ 6  /300 ]    | -1.7964  | -0.1015  |  0.8817  |  0.7884  |     1.9033      |    0.0653    |   0.1368   | 0.0884  |
[ 7  /300 ]    | -1.7277  | -0.0415  |  0.7986  |  0.8097  |     1.8766      |    0.0597    |   0.1399   | 0.0837  |
[ 8  /300 ]    | -1.6321  | -0.1465  |  0.7319  |  0.8109  |     1.7115      |    0.0736    |   0.1271   | 0.0932  |
[ 9  /300 ]    | -1.5662  | -0.4133  |  0.6704  |  0.7368  |     1.5851      |    0.0965    |   0.1329   | 0.1118  |
[ 10 /300 ]    | -1.4007  |  0.1488  |  0.6045  |  0.8181  |     1.6178      |    0.0910    |   0.1647   | 0.1172  |
[ 11 /300 ]    | -1.1831  | -0.1825  |  0.5725  |  0.8230  |     1.2232      |    0.0722    |   0.2802   | 0.1148  |
[ 12 /300 ]    | -1.0557  | -0.2502  |  0.5423  |  0.8287  |     1.0889      |    0.1174    |   0.1876   | 0.1444  |
[ 13 /300 ]    | -0.9894  | -0.3181  |  0.5285  |  0.8304  |     1.0193      |    0.1549    |   0.1713   | 0.1627  |
[ 14 /300 ]    | -0.9471  | -0.2837  |  0.5088  |  0.8289  |     0.9738      |    0.1437    |   0.2516   | 0.1830  |
[ 15 /300 ]    | -0.8974  | -0.3117  |  0.4840  |  0.8309  |     0.9313      |    0.1507    |   0.2372   | 0.1843  |
[ 16 /300 ]    | -0.9161  | -0.0683  |  0.4934  |  0.8355  |     0.9461      |    0.1618    |   0.2690   | 0.2021  |
[ 17 /300 ]    | -0.9075  | -0.1227  |  0.4615  |  0.8415  |     0.9381      |    0.1931    |   0.2337   | 0.2115  |
[ 18 /300 ]    | -0.8915  | -0.1341  |  0.4822  |  0.8391  |     0.9190      |    0.1806    |   0.2988   | 0.2251  |
[ 19 /300 ]    | -0.8882  | -0.1346  |  0.4788  |  0.8419  |     0.9125      |    0.1785    |   0.2915   | 0.2214  |
[ 20 /300 ]    | -0.8732  | -0.0944  |  0.4335  |  0.8436  |     0.8975      |    0.2160    |   0.2578   | 0.2350  |
[ 21 /300 ]    | -0.8691  | -0.0569  |  0.4412  |  0.8402  |     0.8972      |    0.2236    |   0.2574   | 0.2393  |
[ 22 /300 ]    | -0.8954  |  1.0804  |  0.3928  |  0.8442  |     1.1668      |    0.2264    |   0.2771   | 0.2492  |
