Namespace(adv_steps=5, att_size=64, batch_size=256, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='APY', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=32, dis_hu=4096, nepoch=100, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=20, nz=64, outf='./checkpoint/', outname='apy', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=2, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=1400, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  9825
# of training samples:  5932
MLP_G(
  (fc1): Linear(in_features=128, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2112, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=20)
  (relu): ReLU(inplace)
)
EPOCH          |  D_cost  |  G_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /100 ]    |  2.4058  |  1.9723  |    0.0601    |   0.3018   | 0.1003  |
[ 2  /100 ]    |  2.2648  |  1.8111  |    0.0686    |   0.1798   | 0.0993  |
[ 3  /100 ]    |  2.0992  |  1.7503  |    0.0565    |   0.4257   | 0.0997  |
[ 4  /100 ]    |  1.9179  |  1.6715  |    0.1130    |   0.1839   | 0.1400  |
[ 5  /100 ]    |  1.7687  |  1.5835  |    0.0909    |   0.4203   | 0.1495  |
[ 6  /100 ]    |  1.6091  |  1.5244  |    0.1297    |   0.3992   | 0.1957  |
[ 7  /100 ]    |  1.5094  |  1.4627  |    0.1168    |   0.5412   | 0.1922  |
[ 8  /100 ]    |  1.4576  |  1.4342  |    0.1723    |   0.3514   | 0.2312  |
[ 9  /100 ]    |  1.3589  |  1.3305  |    0.1839    |   0.3250   | 0.2349  |
[ 10 /100 ]    |  1.2973  |  1.2823  |    0.1383    |   0.6016   | 0.2249  |
[ 11 /100 ]    |  1.2516  |  1.2403  |    0.2339    |   0.2805   | 0.2551  |
[ 12 /100 ]    |  1.1947  |  1.2322  |    0.1642    |   0.4513   | 0.2408  |
[ 13 /100 ]    |  1.1439  |  1.1577  |    0.1878    |   0.4444   | 0.2640  |
[ 14 /100 ]    |  1.0822  |  1.1102  |    0.1837    |   0.4380   | 0.2588  |
[ 15 /100 ]    |  1.0425  |  1.0853  |    0.1996    |   0.4411   | 0.2748  |
[ 16 /100 ]    |  1.0658  |  1.1185  |    0.2203    |   0.3965   | 0.2832  |
[ 17 /100 ]    |  0.9966  |  1.0978  |    0.2404    |   0.3985   | 0.2999  |
[ 18 /100 ]    |  0.9713  |  1.0011  |    0.2465    |   0.3815   | 0.2995  |
[ 19 /100 ]    |  0.9786  |  1.0360  |    0.2129    |   0.5085   | 0.3002  |
[ 20 /100 ]    |  0.9432  |  1.0335  |    0.2211    |   0.5278   | 0.3117  |
[ 21 /100 ]    |  0.9228  |  1.0014  |    0.2685    |   0.3573   | 0.3066  |
[ 22 /100 ]    |  0.9101  |  0.9815  |    0.2224    |   0.4810   | 0.3042  |
[ 23 /100 ]    |  0.8926  |  0.9380  |    0.2245    |   0.5053   | 0.3109  |
[ 24 /100 ]    |  0.8890  |  0.9512  |    0.2587    |   0.3640   | 0.3025  |
[ 25 /100 ]    |  0.9071  |  0.9081  |    0.2531    |   0.4607   | 0.3267  |
[ 26 /100 ]    |  0.8660  |  0.9385  |    0.2345    |   0.5615   | 0.3308  |
[ 27 /100 ]    |  0.8882  |  0.8991  |    0.2268    |   0.5583   | 0.3226  |
[ 28 /100 ]    |  0.8938  |  0.9439  |    0.2705    |   0.4566   | 0.3397  |
[ 29 /100 ]    |  0.8978  |  0.9419  |    0.2575    |   0.4487   | 0.3272  |
[ 30 /100 ]    |  0.9115  |  0.8647  |    0.2574    |   0.4372   | 0.3240  |
[ 31 /100 ]    |  0.8954  |  0.8538  |    0.2416    |   0.5337   | 0.3326  |
[ 32 /100 ]    |  0.9037  |  0.8747  |    0.2528    |   0.5248   | 0.3412  |
[ 33 /100 ]    |  0.9422  |  0.8461  |    0.2663    |   0.5350   | 0.3556  |
[ 34 /100 ]    |  0.9502  |  0.8647  |    0.2695    |   0.5249   | 0.3562  |
[ 35 /100 ]    |  0.9146  |  0.8025  |    0.2855    |   0.5212   | 0.3690  |
[ 36 /100 ]    |  0.9863  |  0.8388  |    0.2621    |   0.5814   | 0.3613  |
[ 37 /100 ]    |  0.9810  |  0.7967  |    0.2621    |   0.6152   | 0.3676  |
[ 38 /100 ]    |  0.9872  |  0.8251  |    0.2555    |   0.5760   | 0.3540  |
[ 39 /100 ]    |  1.0107  |  0.8260  |    0.2927    |   0.5005   | 0.3694  |
[ 40 /100 ]    |  1.0014  |  0.8150  |    0.2882    |   0.5559   | 0.3796  |
[ 41 /100 ]    |  1.0042  |  0.8086  |    0.2774    |   0.5908   | 0.3775  |
[ 42 /100 ]    |  0.9948  |  0.8018  |    0.2612    |   0.6033   | 0.3646  |
[ 43 /100 ]    |  0.9917  |  0.7799  |    0.2961    |   0.5484   | 0.3845  |
