Namespace(adv_steps=5, attSize=85, batch_size=512, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA1', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=50, ndh=4096, nepoch=200, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=40, nz=85, outf='./checkpoint/', outname='awa', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=3200, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  1653
# of training samples:  19832
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2133, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=40)
  (relu): ReLU(inplace)
)
EPOCH          |  D_cost  |  G_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /200 ]    |  2.8075  |  2.3287  |    0.0943    |   0.4626   | 0.1567  |
[ 2  /200 ]    |  2.5556  |  2.2305  |    0.0916    |   0.4238   | 0.1506  |
[ 3  /200 ]    |  2.2679  |  2.1837  |    0.1375    |   0.4304   | 0.2085  |
[ 4  /200 ]    |  2.0675  |  2.1290  |    0.1309    |   0.5778   | 0.2134  |
[ 5  /200 ]    |  1.8639  |  2.0389  |    0.1950    |   0.5786   | 0.2916  |
[ 6  /200 ]    |  1.6805  |  1.9382  |    0.2372    |   0.4028   | 0.2986  |
[ 7  /200 ]    |  1.5395  |  1.8553  |    0.3245    |   0.3836   | 0.3516  |
[ 8  /200 ]    |  1.3975  |  1.7565  |    0.2942    |   0.3776   | 0.3307  |
[ 9  /200 ]    |  1.3426  |  1.6788  |    0.2932    |   0.5174   | 0.3743  |
[ 10 /200 ]    |  1.2428  |  1.6159  |    0.2718    |   0.5135   | 0.3555  |
[ 11 /200 ]    |  1.2020  |  1.5093  |    0.3093    |   0.5004   | 0.3823  |
[ 12 /200 ]    |  1.1665  |  1.4377  |    0.3506    |   0.4795   | 0.4051  |
[ 13 /200 ]    |  1.1153  |  1.3708  |    0.3305    |   0.5837   | 0.4220  |
[ 14 /200 ]    |  1.0827  |  1.2716  |    0.3524    |   0.5727   | 0.4363  |
[ 15 /200 ]    |  1.0378  |  1.2284  |    0.3511    |   0.5648   | 0.4330  |
[ 16 /200 ]    |  1.0574  |  1.1749  |    0.3638    |   0.5499   | 0.4379  |
[ 17 /200 ]    |  1.1045  |  1.1001  |    0.3993    |   0.5391   | 0.4588  |
[ 18 /200 ]    |  1.0743  |  1.0521  |    0.4058    |   0.5352   | 0.4616  |
[ 19 /200 ]    |  1.0804  |  1.0165  |    0.3944    |   0.5169   | 0.4474  |
[ 20 /200 ]    |  1.0861  |  0.9917  |    0.3848    |   0.5934   | 0.4669  |
[ 21 /200 ]    |  1.0797  |  0.9244  |    0.4164    |   0.5874   | 0.4874  |
[ 22 /200 ]    |  1.1206  |  0.9025  |    0.4107    |   0.5751   | 0.4792  |
[ 23 /200 ]    |  1.1273  |  0.8708  |    0.4405    |   0.5714   | 0.4975  |
[ 24 /200 ]    |  1.1376  |  0.8380  |    0.4367    |   0.5518   | 0.4875  |
[ 25 /200 ]    |  1.1120  |  0.8055  |    0.4414    |   0.6150   | 0.5139  |
