Namespace(adv_steps=5, att_size=85, batch_size=1024, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=50, dis_hu=4096, nepoch=200, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=40, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=2000, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  7420
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2133, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=40)
  (relu): ReLU(inplace)
)
EPOCH          |  D_cost  |  G_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /200 ]    |  2.7995  |  2.4378  |    0.0381    |   0.2808   | 0.0671  |
[ 2  /200 ]    |  2.7210  |  2.2978  |    0.0731    |   0.1872   | 0.1051  |
[ 3  /200 ]    |  2.5312  |  2.2316  |    0.0557    |   0.1825   | 0.0853  |
[ 4  /200 ]    |  2.3654  |  2.2057  |    0.0807    |   0.6436   | 0.1434  |
[ 5  /200 ]    |  2.1441  |  2.1798  |    0.0969    |   0.6514   | 0.1687  |
[ 6  /200 ]    |  2.0175  |  2.1358  |    0.0934    |   0.6409   | 0.1631  |
[ 7  /200 ]    |  1.8935  |  2.0704  |    0.1595    |   0.6258   | 0.2542  |
[ 8  /200 ]    |  1.7749  |  2.0205  |    0.1611    |   0.6267   | 0.2563  |
[ 9  /200 ]    |  1.6480  |  1.9670  |    0.1422    |   0.6161   | 0.2310  |
[ 10 /200 ]    |  1.5732  |  1.9130  |    0.1335    |   0.6191   | 0.2196  |
[ 11 /200 ]    |  1.4777  |  1.8585  |    0.1760    |   0.6117   | 0.2734  |
[ 12 /200 ]    |  1.4213  |  1.7814  |    0.1760    |   0.5996   | 0.2722  |
[ 13 /200 ]    |  1.3429  |  1.7208  |    0.1939    |   0.6072   | 0.2940  |
[ 14 /200 ]    |  1.2927  |  1.6540  |    0.2241    |   0.5876   | 0.3245  |
[ 15 /200 ]    |  1.2712  |  1.6003  |    0.1466    |   0.7109   | 0.2430  |
[ 16 /200 ]    |  1.1845  |  1.5542  |    0.2035    |   0.5872   | 0.3022  |
[ 17 /200 ]    |  1.1723  |  1.5291  |    0.1985    |   0.5878   | 0.2968  |
[ 18 /200 ]    |  1.1627  |  1.4433  |    0.2045    |   0.5833   | 0.3028  |
[ 19 /200 ]    |  1.1126  |  1.3896  |    0.2113    |   0.5679   | 0.3080  |
[ 20 /200 ]    |  1.0843  |  1.3490  |    0.2377    |   0.5676   | 0.3351  |
[ 21 /200 ]    |  1.0922  |  1.2738  |    0.2699    |   0.5515   | 0.3625  |
[ 22 /200 ]    |  1.0796  |  1.2626  |    0.2927    |   0.5312   | 0.3775  |
[ 23 /200 ]    |  1.0775  |  1.2238  |    0.1978    |   0.6951   | 0.3080  |
