Namespace(adv_steps=5, attSize=312, batch_size=64, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='CUB', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=None, matdataset=True, nclass_all=200, ndh=4096, nepoch=100, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=150, nz=312, outf='./checkpoint/', outname='cub', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=3, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=800, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  3973
# of training samples:  7057
MLP_G(
  (fc1): Linear(in_features=624, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2360, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=150)
  (relu): ReLU(inplace)
)
EPOCH          |  D_cost  |  G_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /100 ]    |  1.8465  |  2.6468  |    0.1666    |   0.2579   | 0.2025  |
[ 2  /100 ]    |  1.1493  |  2.0112  |    0.2054    |   0.4744   | 0.2867  |
[ 3  /100 ]    |  1.0001  |  1.5160  |    0.2803    |   0.4809   | 0.3542  |
[ 4  /100 ]    |  1.0150  |  1.1609  |    0.3018    |   0.5025   | 0.3771  |
[ 5  /100 ]    |  1.0646  |  0.7664  |    0.3277    |   0.5028   | 0.3968  |
[ 6  /100 ]    |  1.0942  |  0.7887  |    0.3447    |   0.5185   | 0.4141  |
[ 7  /100 ]    |  1.0463  |  0.7097  |    0.3570    |   0.5615   | 0.4365  |
[ 8  /100 ]    |  1.0403  |  0.6829  |    0.3765    |   0.5273   | 0.4393  |
[ 9  /100 ]    |  1.0302  |  0.6398  |    0.3788    |   0.5496   | 0.4485  |
[ 10 /100 ]    |  0.9957  |  0.6503  |    0.3722    |   0.5615   | 0.4477  |
[ 11 /100 ]    |  0.9812  |  0.6455  |    0.3727    |   0.5848   | 0.4553  |
[ 12 /100 ]    |  0.8999  |  0.6462  |    0.3873    |   0.5566   | 0.4568  |
[ 13 /100 ]    |  0.9305  |  0.5753  |    0.3788    |   0.5726   | 0.4559  |
[ 14 /100 ]    |  0.9264  |  0.6198  |    0.4205    |   0.5249   | 0.4670  |
