Namespace(adv_steps=5, att_size=1024, batch_size=512, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='FLO', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=None, matdataset=True, nclass_all=102, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=82, nz=1024, outf='./checkpoint/', outname='flowers', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=800, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  1490
# of training samples:  5631
MLP_G(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=3072, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=82)
  (relu): ReLU(inplace)
)
EPOCH          |  D_cost  |  G_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    |  2.4825  |  2.8259  |    0.0499    |   0.1337   | 0.0727  |
[ 2  /300 ]    |  2.2688  |  2.3210  |    0.0321    |   0.3134   | 0.0583  |
[ 3  /300 ]    |  1.7976  |  2.2136  |    0.0712    |   0.2975   | 0.1149  |
[ 4  /300 ]    |  1.4989  |  2.0028  |    0.0733    |   0.2994   | 0.1178  |
[ 5  /300 ]    |  1.2930  |  1.8362  |    0.0996    |   0.2948   | 0.1489  |
[ 6  /300 ]    |  1.1131  |  1.7005  |    0.1248    |   0.2853   | 0.1737  |
[ 7  /300 ]    |  0.9869  |  1.6443  |    0.1325    |   0.4612   | 0.2058  |
[ 8  /300 ]    |  0.8500  |  1.5736  |    0.1979    |   0.2933   | 0.2363  |
[ 9  /300 ]    |  0.8038  |  1.4560  |    0.1971    |   0.2660   | 0.2264  |
[ 10 /300 ]    |  0.6749  |  1.5160  |    0.2077    |   0.2716   | 0.2354  |
[ 11 /300 ]    |  0.5982  |  1.5286  |    0.1751    |   0.4357   | 0.2498  |
[ 12 /300 ]    |  0.5491  |  1.4783  |    0.1904    |   0.4247   | 0.2630  |
[ 13 /300 ]    |  0.5462  |  1.4531  |    0.1789    |   0.4137   | 0.2498  |
[ 14 /300 ]    |  0.4694  |  1.4914  |    0.1977    |   0.4157   | 0.2680  |
[ 15 /300 ]    |  0.4674  |  1.4106  |    0.2295    |   0.3973   | 0.2909  |
[ 16 /300 ]    |  0.4161  |  1.4637  |    0.2378    |   0.4130   | 0.3018  |
[ 17 /300 ]    |  0.4292  |  1.4495  |    0.2024    |   0.5442   | 0.2951  |
[ 18 /300 ]    |  0.4129  |  1.4168  |    0.2466    |   0.3851   | 0.3007  |
[ 19 /300 ]    |  0.3545  |  1.4105  |    0.2383    |   0.4994   | 0.3227  |
[ 20 /300 ]    |  0.3826  |  1.4075  |    0.2296    |   0.6390   | 0.3378  |
[ 21 /300 ]    |  0.3617  |  1.3490  |    0.2435    |   0.7014   | 0.3615  |
[ 22 /300 ]    |  0.3265  |  1.4317  |    0.2815    |   0.4887   | 0.3572  |
[ 23 /300 ]    |  0.3438  |  1.4011  |    0.2854    |   0.5944   | 0.3856  |
[ 24 /300 ]    |  0.3355  |  1.3854  |    0.2987    |   0.6312   | 0.4055  |
[ 25 /300 ]    |  0.3662  |  1.3133  |    0.2660    |   0.5562   | 0.3599  |
[ 26 /300 ]    |  0.3433  |  1.2698  |    0.2936    |   0.6559   | 0.4056  |
[ 27 /300 ]    |  0.3636  |  1.2937  |    0.2671    |   0.6769   | 0.3831  |
[ 28 /300 ]    |  0.3637  |  1.1947  |    0.3350    |   0.6867   | 0.4503  |
[ 29 /300 ]    |  0.3549  |  1.2967  |    0.3356    |   0.5690   | 0.4222  |
