Namespace(adv_steps=5, attSize=102, batch_size=2048, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='SUN', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0002, manualSeed=None, matdataset=True, nclass_all=717, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=645, nz=102, outf='./checkpoint/', outname='sun', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=600, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  3769
# of training samples:  10320
MLP_G(
  (fc1): Linear(in_features=204, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2150, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=645)
  (relu): ReLU(inplace)
)
EPOCH          |  D_cost  |  G_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    |  4.3099  |  3.7376  |    0.0188    |   0.1593   | 0.0336  |
[ 2  /300 ]    |  3.9845  |  3.7544  |    0.0333    |   0.1891   | 0.0567  |
[ 3  /300 ]    |  3.5260  |  3.6046  |    0.0562    |   0.2523   | 0.0920  |
[ 4  /300 ]    |  3.1655  |  3.4345  |    0.1035    |   0.2395   | 0.1445  |
[ 5  /300 ]    |  2.9215  |  3.2442  |    0.1736    |   0.2186   | 0.1935  |
[ 6  /300 ]    |  2.7770  |  3.0549  |    0.1569    |   0.2868   | 0.2029  |
[ 7  /300 ]    |  2.6268  |  2.8635  |    0.1938    |   0.2659   | 0.2242  |
[ 8  /300 ]    |  2.4929  |  2.7756  |    0.2278    |   0.2934   | 0.2565  |
[ 9  /300 ]    |  2.4406  |  2.6288  |    0.2472    |   0.3050   | 0.2731  |
[ 10 /300 ]    |  2.3550  |  2.4746  |    0.2611    |   0.3039   | 0.2809  |
[ 11 /300 ]    |  2.2444  |  2.3968  |    0.2917    |   0.3004   | 0.2960  |
[ 12 /300 ]    |  2.2239  |  2.2850  |    0.3000    |   0.3047   | 0.3023  |
[ 13 /300 ]    |  2.0879  |  2.1496  |    0.3069    |   0.3085   | 0.3077  |
[ 14 /300 ]    |  2.0684  |  2.0658  |    0.3146    |   0.3167   | 0.3156  |
[ 15 /300 ]    |  2.0485  |  2.1537  |    0.3208    |   0.3004   | 0.3103  |
[ 16 /300 ]    |  1.9524  |  1.8844  |    0.3160    |   0.3209   | 0.3184  |
[ 17 /300 ]    |  1.8889  |  1.8279  |    0.3076    |   0.3492   | 0.3271  |
[ 18 /300 ]    |  1.8204  |  1.5956  |    0.3403    |   0.3050   | 0.3217  |
[ 19 /300 ]    |  1.7567  |  1.6298  |    0.3451    |   0.3202   | 0.3322  |
[ 20 /300 ]    |  1.7194  |  1.4985  |    0.3410    |   0.3326   | 0.3367  |
[ 21 /300 ]    |  1.8332  |  1.7125  |    0.3785    |   0.3081   | 0.3397  |
[ 22 /300 ]    |  1.7341  |  1.6988  |    0.3438    |   0.3283   | 0.3358  |
[ 23 /300 ]    |  1.6044  |  1.3607  |    0.3597    |   0.3267   | 0.3424  |
[ 24 /300 ]    |  1.5852  |  1.1698  |    0.3410    |   0.3267   | 0.3337  |
[ 25 /300 ]    |  1.5229  |  1.3671  |    0.3542    |   0.3264   | 0.3397  |
[ 26 /300 ]    |  1.4810  |  1.1922  |    0.3271    |   0.3481   | 0.3372  |
[ 27 /300 ]    |  1.5484  |  1.4815  |    0.3583    |   0.3151   | 0.3353  |
[ 28 /300 ]    |  1.5217  |  1.3397  |    0.3611    |   0.3186   | 0.3385  |
[ 29 /300 ]    |  1.3951  |  1.1195  |    0.3424    |   0.3395   | 0.3409  |
[ 30 /300 ]    |  1.3662  |  1.0894  |    0.3306    |   0.3496   | 0.3398  |
[ 31 /300 ]    |  1.3394  |  1.0623  |    0.3479    |   0.3411   | 0.3445  |
[ 32 /300 ]    |  1.3200  |  1.0501  |    0.3813    |   0.3190   | 0.3474  |
[ 33 /300 ]    |  1.3850  |  1.2509  |    0.3625    |   0.3333   | 0.3473  |
[ 34 /300 ]    |  1.3801  |  1.2179  |    0.3875    |   0.3194   | 0.3502  |
[ 35 /300 ]    |  1.3655  |  1.2377  |    0.3618    |   0.3345   | 0.3476  |
[ 36 /300 ]    |  1.2539  |  1.1036  |    0.3160    |   0.3717   | 0.3416  |
[ 37 /300 ]    |  1.2232  |  0.8631  |    0.3694    |   0.3357   | 0.3517  |
[ 38 /300 ]    |  1.2117  |  0.8676  |    0.3618    |   0.3465   | 0.3540  |
[ 39 /300 ]    |  1.1971  |  0.9524  |    0.3354    |   0.3543   | 0.3446  |
[ 40 /300 ]    |  1.1867  |  0.9195  |    0.3382    |   0.3589   | 0.3482  |
[ 41 /300 ]    |  1.1814  |  0.9552  |    0.3688    |   0.3403   | 0.3540  |
[ 42 /300 ]    |  1.1669  |  0.8291  |    0.3639    |   0.3391   | 0.3511  |
[ 43 /300 ]    |  1.2889  |  1.1033  |    0.3694    |   0.3376   | 0.3528  |
[ 44 /300 ]    |  1.1408  |  0.8314  |    0.3458    |   0.3624   | 0.3539  |
[ 45 /300 ]    |  1.1270  |  0.8533  |    0.3868    |   0.3341   | 0.3585  |
[ 46 /300 ]    |  1.1284  |  0.8422  |    0.3750    |   0.3484   | 0.3612  |
[ 47 /300 ]    |  1.1170  |  0.8337  |    0.3701    |   0.3473   | 0.3583  |
[ 48 /300 ]    |  1.1025  |  0.7811  |    0.3764    |   0.3384   | 0.3564  |
[ 49 /300 ]    |  1.0928  |  0.7610  |    0.3694    |   0.3329   | 0.3502  |
[ 50 /300 ]    |  1.0850  |  0.7699  |    0.3715    |   0.3457   | 0.3582  |
[ 51 /300 ]    |  1.0787  |  0.7478  |    0.3813    |   0.3279   | 0.3526  |
[ 52 /300 ]    |  1.0713  |  0.7473  |    0.3694    |   0.3364   | 0.3522  |
[ 53 /300 ]    |  1.0666  |  0.7319  |    0.3750    |   0.3298   | 0.3510  |
[ 54 /300 ]    |  1.0563  |  0.7190  |    0.3917    |   0.3252   | 0.3553  |
[ 55 /300 ]    |  1.0517  |  0.7160  |    0.3833    |   0.3310   | 0.3553  |
[ 56 /300 ]    |  1.0481  |  0.7171  |    0.3771    |   0.3407   | 0.3580  |
[ 57 /300 ]    |  1.0433  |  0.6607  |    0.3917    |   0.3322   | 0.3595  |
[ 58 /300 ]    |  1.0360  |  0.7313  |    0.3729    |   0.3419   | 0.3567  |
[ 59 /300 ]    |  1.0366  |  0.7419  |    0.3660    |   0.3407   | 0.3529  |
[ 60 /300 ]    |  1.0567  |  0.8214  |    0.3493    |   0.3585   | 0.3539  |
[ 61 /300 ]    |  1.0365  |  0.6132  |    0.3889    |   0.3275   | 0.3556  |
[ 62 /300 ]    |  1.0209  |  0.6980  |    0.3764    |   0.3438   | 0.3594  |
[ 63 /300 ]    |  1.0171  |  0.6886  |    0.3715    |   0.3391   | 0.3546  |
[ 64 /300 ]    |  1.0214  |  0.6804  |    0.3569    |   0.3450   | 0.3509  |
[ 65 /300 ]    |  1.0150  |  0.6320  |    0.4069    |   0.3275   | 0.3629  |
[ 66 /300 ]    |  1.0089  |  0.6198  |    0.3736    |   0.3453   | 0.3589  |
[ 67 /300 ]    |  1.0029  |  0.6510  |    0.3799    |   0.3357   | 0.3564  |
[ 68 /300 ]    |  1.0133  |  0.7314  |    0.4021    |   0.3198   | 0.3562  |
[ 69 /300 ]    |  1.0017  |  0.6466  |    0.3681    |   0.3399   | 0.3534  |
[ 70 /300 ]    |  0.9975  |  0.6523  |    0.3646    |   0.3380   | 0.3508  |
[ 71 /300 ]    |  1.0017  |  0.6927  |    0.3451    |   0.3663   | 0.3554  |
[ 72 /300 ]    |  0.9966  |  0.6178  |    0.3625    |   0.3566   | 0.3595  |
[ 73 /300 ]    |  0.9909  |  0.6235  |    0.3431    |   0.3655   | 0.3539  |
[ 74 /300 ]    |  0.9870  |  0.6170  |    0.3833    |   0.3422   | 0.3616  |
[ 75 /300 ]    |  0.9850  |  0.6568  |    0.3889    |   0.3345   | 0.3596  |
