Namespace(adv_steps=5, att_size=85, batch_size=512, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA1', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=50, dis_hu=4096, nepoch=200, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=40, nz=85, outf='./checkpoint/', outname='awa', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=3200, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  7801
# of training samples:  19832
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2133, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=40)
  (relu): ReLU(inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /200 ]    |  2.7936  |  2.3386  |  0.6555  |    0.0696    |   0.4660   | 0.1212  |
[ 2  /200 ]    |  2.5513  |  2.2394  |  0.7187  |    0.1067    |   0.4176   | 0.1700  |
[ 3  /200 ]    |  2.3176  |  2.1959  |  0.7303  |    0.1467    |   0.4157   | 0.2169  |
[ 4  /200 ]    |  2.0807  |  2.1363  |  0.7515  |    0.1780    |   0.4228   | 0.2505  |
[ 5  /200 ]    |  1.8540  |  2.0327  |  0.7563  |    0.2471    |   0.4073   | 0.3076  |
[ 6  /200 ]    |  1.7024  |  1.9563  |  0.7711  |    0.2843    |   0.3969   | 0.3313  |
[ 7  /200 ]    |  1.5316  |  1.8455  |  0.7670  |    0.2944    |   0.3887   | 0.3350  |
[ 8  /200 ]    |  1.4084  |  1.7788  |  0.7699  |    0.2321    |   0.5421   | 0.3251  |
[ 9  /200 ]    |  1.3522  |  1.6957  |  0.7856  |    0.3703    |   0.3486   | 0.3591  |
[ 10 /200 ]    |  1.2589  |  1.5561  |  0.7828  |    0.2632    |   0.5111   | 0.3474  |
[ 11 /200 ]    |  1.2328  |  1.5348  |  0.7958  |    0.2779    |   0.4994   | 0.3571  |
[ 12 /200 ]    |  1.1794  |  1.4575  |  0.8139  |    0.3088    |   0.4880   | 0.3782  |
[ 13 /200 ]    |  1.1323  |  1.3842  |  0.8207  |    0.3301    |   0.5756   | 0.4195  |
[ 14 /200 ]    |  1.0828  |  1.3134  |  0.8300  |    0.3260    |   0.5633   | 0.4130  |
[ 15 /200 ]    |  1.0881  |  1.2174  |  0.8473  |    0.3577    |   0.5575   | 0.4358  |
[ 16 /200 ]    |  1.0964  |  1.1801  |  0.8581  |    0.3644    |   0.5450   | 0.4368  |
[ 17 /200 ]    |  1.0501  |  1.1322  |  0.8712  |    0.4145    |   0.5462   | 0.4713  |
[ 18 /200 ]    |  1.0712  |  1.0780  |  0.8773  |    0.4110    |   0.5275   | 0.4620  |
[ 19 /200 ]    |  1.0756  |  1.0101  |  0.8882  |    0.3414    |   0.6082   | 0.4373  |
[ 20 /200 ]    |  1.1007  |  0.9697  |  0.8914  |    0.4388    |   0.5129   | 0.4730  |
[ 21 /200 ]    |  1.1154  |  0.9053  |  0.8987  |    0.4058    |   0.5884   | 0.4803  |
