Namespace(adv_steps=5, attSize=85, batch_size=1024, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=50, ndh=4096, nepoch=200, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=40, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=2000, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  7128
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2133, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=40)
  (relu): ReLU(inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /200 ]    |  2.7963  |  2.4333  |  0.5843  |    0.0537    |   0.3076   | 0.0914  |
[ 2  /200 ]    |  2.7236  |  2.2908  |  0.6735  |    0.1261    |   0.1937   | 0.1528  |
[ 3  /200 ]    |  2.5623  |  2.2323  |  0.7171  |    0.0817    |   0.1869   | 0.1137  |
[ 4  /200 ]    |  2.3407  |  2.2003  |  0.7394  |    0.1204    |   0.1915   | 0.1478  |
[ 5  /200 ]    |  2.1812  |  2.1806  |  0.7476  |    0.0980    |   0.6313   | 0.1697  |
[ 6  /200 ]    |  2.0108  |  2.1354  |  0.7516  |    0.1214    |   0.6355   | 0.2039  |
[ 7  /200 ]    |  1.8983  |  2.0895  |  0.7608  |    0.0883    |   0.6272   | 0.1548  |
[ 8  /200 ]    |  1.7711  |  2.0242  |  0.7649  |    0.1270    |   0.6374   | 0.2118  |
[ 9  /200 ]    |  1.6734  |  1.9638  |  0.7747  |    0.1182    |   0.6354   | 0.1993  |
[ 10 /200 ]    |  1.5580  |  1.9047  |  0.7739  |    0.1648    |   0.6109   | 0.2595  |
[ 11 /200 ]    |  1.4790  |  1.8514  |  0.7792  |    0.1321    |   0.6177   | 0.2176  |
[ 12 /200 ]    |  1.4213  |  1.7818  |  0.7823  |    0.1636    |   0.6099   | 0.2580  |
[ 13 /200 ]    |  1.3454  |  1.7240  |  0.7862  |    0.1954    |   0.5985   | 0.2946  |
[ 14 /200 ]    |  1.3058  |  1.6447  |  0.7843  |    0.2156    |   0.5949   | 0.3165  |
[ 15 /200 ]    |  1.2594  |  1.6073  |  0.7935  |    0.2459    |   0.5945   | 0.3480  |
[ 16 /200 ]    |  1.2115  |  1.5454  |  0.7989  |    0.2142    |   0.5881   | 0.3140  |
[ 17 /200 ]    |  1.1685  |  1.4973  |  0.8071  |    0.2297    |   0.5745   | 0.3282  |
[ 18 /200 ]    |  1.1310  |  1.4381  |  0.8158  |    0.2636    |   0.5756   | 0.3616  |
[ 19 /200 ]    |  1.1134  |  1.3862  |  0.8221  |    0.2552    |   0.5643   | 0.3515  |
[ 20 /200 ]    |  1.1171  |  1.3561  |  0.8316  |    0.2231    |   0.5573   | 0.3187  |
[ 21 /200 ]    |  1.0813  |  1.2804  |  0.8422  |    0.2174    |   0.6933   | 0.3310  |
[ 22 /200 ]    |  1.0714  |  1.2532  |  0.8474  |    0.2245    |   0.5383   | 0.3168  |
[ 23 /200 ]    |  1.0458  |  1.2116  |  0.8568  |    0.2490    |   0.5311   | 0.3390  |
[ 24 /200 ]    |  1.0529  |  1.1764  |  0.8637  |    0.2687    |   0.5511   | 0.3612  |
[ 25 /200 ]    |  1.0534  |  1.1524  |  0.8717  |    0.3525    |   0.5281   | 0.4228  |
[ 26 /200 ]    |  1.0252  |  1.0930  |  0.8793  |    0.3080    |   0.5370   | 0.3915  |
[ 27 /200 ]    |  1.0521  |  1.0704  |  0.8808  |    0.3068    |   0.5113   | 0.3835  |
[ 28 /200 ]    |  1.0605  |  1.0328  |  0.8851  |    0.2592    |   0.6840   | 0.3759  |
[ 29 /200 ]    |  1.0525  |  1.0036  |  0.8908  |    0.3558    |   0.5203   | 0.4226  |
