Namespace(adv_steps=5, attSize=312, batch_size=64, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='CUB', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=None, matdataset=True, nclass_all=200, ndh=4096, nepoch=100, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=150, nz=312, outf='./checkpoint/', outname='cub', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=3, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=800, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  2594
# of training samples:  7057
MLP_G(
  (fc1): Linear(in_features=624, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2360, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=150)
  (relu): ReLU(inplace)
)
MLP_3HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=312)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /100 ]    |  1.6853  |  2.4580  |  0.7307  |    0.1673    |   0.2370   | 0.1962  |
[ 2  /100 ]    |  1.2232  |  1.8225  |  0.7863  |    0.2084    |   0.4615   | 0.2872  |
[ 3  /100 ]    |  0.9376  |  1.3834  |  0.8550  |    0.2934    |   0.4384   | 0.3515  |
[ 4  /100 ]    |  1.0209  |  1.0803  |  0.8753  |    0.3036    |   0.4823   | 0.3726  |
[ 5  /100 ]    |  1.1365  |  0.8727  |  0.8880  |    0.3172    |   0.5283   | 0.3964  |
[ 6  /100 ]    |  1.0399  |  0.7739  |  0.8982  |    0.3536    |   0.5329   | 0.4251  |
[ 7  /100 ]    |  1.0562  |  0.6886  |  0.9023  |    0.3679    |   0.5474   | 0.4400  |
[ 8  /100 ]    |  1.0507  |  0.7139  |  0.9124  |    0.3950    |   0.5052   | 0.4434  |
[ 9  /100 ]    |  1.0073  |  0.7000  |  0.9224  |    0.3737    |   0.5385   | 0.4412  |
[ 10 /100 ]    |  0.9763  |  0.6788  |  0.9289  |    0.3903    |   0.5336   | 0.4508  |
[ 11 /100 ]    |  0.9601  |  0.6677  |  0.9320  |    0.3819    |   0.5666   | 0.4563  |
[ 12 /100 ]    |  0.9327  |  0.6350  |  0.9341  |    0.3986    |   0.5296   | 0.4548  |
[ 13 /100 ]    |  0.9242  |  0.6268  |  0.9315  |    0.4172    |   0.5203   | 0.4631  |
[ 14 /100 ]    |  0.9037  |  0.6523  |  0.9365  |    0.4026    |   0.5437   | 0.4626  |
[ 15 /100 ]    |  0.8874  |  0.6167  |  0.9351  |    0.4101    |   0.5526   | 0.4708  |
[ 16 /100 ]    |  0.9010  |  0.5969  |  0.9397  |    0.4058    |   0.5637   | 0.4719  |
