Namespace(adv_steps=5, att_size=1024, batch_size=512, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='FLO', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=None, matdataset=True, nclass_all=102, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=82, nz=1024, outf='./checkpoint/', outname='flowers', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=800, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  3753
# of training samples:  5631
MLP_G(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=3072, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=82)
  (relu): ReLU(inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=1024)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    |  2.4658  |  2.8409  |  0.5711  |    0.0498    |   0.1477   | 0.0745  |
[ 2  /300 ]    |  2.2847  |  2.3059  |  0.7007  |    0.0286    |   0.1275   | 0.0467  |
[ 3  /300 ]    |  1.8081  |  2.1936  |  0.7114  |    0.0538    |   0.2974   | 0.0912  |
[ 4  /300 ]    |  1.5373  |  1.9823  |  0.7179  |    0.0826    |   0.3028   | 0.1298  |
[ 5  /300 ]    |  1.2611  |  1.8218  |  0.7192  |    0.1253    |   0.3036   | 0.1774  |
[ 6  /300 ]    |  1.1478  |  1.6711  |  0.7192  |    0.1383    |   0.2978   | 0.1889  |
[ 7  /300 ]    |  0.9943  |  1.6135  |  0.7216  |    0.1475    |   0.2857   | 0.1946  |
[ 8  /300 ]    |  0.8533  |  1.5678  |  0.7227  |    0.1520    |   0.2746   | 0.1957  |
[ 9  /300 ]    |  0.7900  |  1.4949  |  0.7219  |    0.1620    |   0.2741   | 0.2037  |
[ 10 /300 ]    |  0.7148  |  1.4588  |  0.7236  |    0.2355    |   0.2803   | 0.2559  |
[ 11 /300 ]    |  0.6822  |  1.4142  |  0.7222  |    0.1615    |   0.4353   | 0.2356  |
[ 12 /300 ]    |  0.5751  |  1.4494  |  0.7228  |    0.1583    |   0.4177   | 0.2296  |
[ 13 /300 ]    |  0.5736  |  1.3584  |  0.7251  |    0.2195    |   0.4216   | 0.2887  |
[ 14 /300 ]    |  0.5019  |  1.4396  |  0.7240  |    0.2335    |   0.2588   | 0.2455  |
[ 15 /300 ]    |  0.4168  |  1.5090  |  0.7220  |    0.2034    |   0.5460   | 0.2964  |
[ 16 /300 ]    |  0.4035  |  1.4761  |  0.7236  |    0.2108    |   0.4266   | 0.2822  |
[ 17 /300 ]    |  0.3812  |  1.5370  |  0.7223  |    0.2487    |   0.3939   | 0.3049  |
[ 18 /300 ]    |  0.3843  |  1.4664  |  0.7241  |    0.2414    |   0.4107   | 0.3041  |
[ 19 /300 ]    |  0.3600  |  1.4013  |  0.7242  |    0.2157    |   0.5284   | 0.3063  |
[ 20 /300 ]    |  0.3588  |  1.4044  |  0.7258  |    0.2721    |   0.5194   | 0.3571  |
[ 21 /300 ]    |  0.3225  |  1.4787  |  0.7264  |    0.2904    |   0.5025   | 0.3681  |
