Namespace(adv_steps=5, att_size=102, batch_size=2048, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='SUN', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=0.0002, manualSeed=4115, matdataset=True, nclass_all=717, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=645, nz=102, outf='./checkpoint/', outname='sun', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=600, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  4115
# of training samples:  10320
MLP_G(
  (fc1): Linear(in_features=204, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2150, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=645)
  (relu): ReLU(inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=102)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    |  4.2767  |  3.7740  |  0.6313  |    0.0201    |   0.0570   | 0.0298  |
[ 2  /300 ]    |  3.9600  |  3.7475  |  0.6767  |    0.0222    |   0.1709   | 0.0393  |
[ 3  /300 ]    |  3.5273  |  3.9840  |  0.7246  |    0.0576    |   0.1857   | 0.0880  |
[ 4  /300 ]    |  3.0454  |  3.6190  |  0.7486  |    0.0917    |   0.1845   | 0.1225  |
[ 5  /300 ]    |  2.8004  |  3.3552  |  0.7937  |    0.1174    |   0.2240   | 0.1540  |
[ 6  /300 ]    |  2.6148  |  3.4268  |  0.6209  |    0.1597    |   0.1942   | 0.1753  |
[ 7  /300 ]    |  2.4707  |  3.1219  |  0.8077  |    0.1389    |   0.2814   | 0.1860  |
[ 8  /300 ]    |  2.3649  |  2.9510  |  0.8219  |    0.1785    |   0.2512   | 0.2087  |
[ 9  /300 ]    |  2.3543  |  2.8151  |  0.8161  |    0.2028    |   0.2329   | 0.2168  |
[ 10 /300 ]    |  2.2654  |  2.7010  |  0.8314  |    0.2236    |   0.2795   | 0.2484  |
[ 11 /300 ]    |  2.2263  |  2.5363  |  0.8350  |    0.2229    |   0.2860   | 0.2506  |
[ 12 /300 ]    |  2.1147  |  2.5560  |  0.8349  |    0.2319    |   0.2891   | 0.2574  |
[ 13 /300 ]    |  2.1348  |  2.5113  |  0.8335  |    0.2743    |   0.2756   | 0.2749  |
[ 14 /300 ]    |  2.1564  |  2.1775  |  0.8471  |    0.2708    |   0.2860   | 0.2782  |
[ 15 /300 ]    |  1.9948  |  2.0695  |  0.8483  |    0.2729    |   0.2798   | 0.2763  |
[ 16 /300 ]    |  1.9916  |  1.9403  |  0.8562  |    0.2847    |   0.2973   | 0.2909  |
[ 17 /300 ]    |  1.8973  |  2.0179  |  0.8580  |    0.3215    |   0.2744   | 0.2961  |
[ 18 /300 ]    |  1.8738  |  1.8402  |  0.8659  |    0.2799    |   0.3322   | 0.3038  |
[ 19 /300 ]    |  1.8087  |  1.8357  |  0.8590  |    0.3111    |   0.3016   | 0.3063  |
[ 20 /300 ]    |  1.7451  |  1.7428  |  0.8812  |    0.3333    |   0.2930   | 0.3119  |
[ 21 /300 ]    |  1.6970  |  1.6876  |  0.8833  |    0.2958    |   0.3391   | 0.3160  |
[ 22 /300 ]    |  1.7320  |  1.5659  |  0.8873  |    0.3375    |   0.2969   | 0.3159  |
[ 23 /300 ]    |  1.6025  |  1.4223  |  0.8931  |    0.3458    |   0.2996   | 0.3211  |
[ 24 /300 ]    |  1.5629  |  1.6153  |  0.7748  |    0.2903    |   0.3163   | 0.3027  |
[ 25 /300 ]    |  1.5498  |  1.3945  |  0.8888  |    0.3403    |   0.3016   | 0.3197  |
[ 26 /300 ]    |  1.5433  |  1.2504  |  0.8992  |    0.3229    |   0.3318   | 0.3273  |
[ 27 /300 ]    |  1.5532  |  1.5467  |  0.9021  |    0.3347    |   0.3178   | 0.3261  |
[ 28 /300 ]    |  1.4620  |  1.3252  |  0.9063  |    0.3563    |   0.3050   | 0.3287  |
[ 29 /300 ]    |  1.4315  |  1.2165  |  0.9105  |    0.3486    |   0.3112   | 0.3289  |
[ 30 /300 ]    |  1.4155  |  1.1849  |  0.9116  |    0.3243    |   0.3391   | 0.3316  |
[ 31 /300 ]    |  1.3850  |  1.1753  |  0.9127  |    0.3389    |   0.3310   | 0.3349  |
[ 32 /300 ]    |  1.3607  |  1.2301  |  0.9148  |    0.3319    |   0.3388   | 0.3353  |
[ 33 /300 ]    |  1.4018  |  1.3232  |  0.9156  |    0.3417    |   0.3233   | 0.3322  |
[ 34 /300 ]    |  1.3411  |  0.9359  |  0.9181  |    0.3424    |   0.3155   | 0.3284  |
[ 35 /300 ]    |  1.3241  |  1.2097  |  0.9177  |    0.3542    |   0.3271   | 0.3401  |
[ 36 /300 ]    |  1.2802  |  1.0266  |  0.9211  |    0.3694    |   0.3217   | 0.3439  |
[ 37 /300 ]    |  1.2660  |  0.9959  |  0.9213  |    0.3521    |   0.3353   | 0.3435  |
[ 38 /300 ]    |  1.2395  |  0.9386  |  0.9209  |    0.3590    |   0.3205   | 0.3387  |
[ 39 /300 ]    |  1.2222  |  0.9819  |  0.9242  |    0.3403    |   0.3415   | 0.3409  |
[ 40 /300 ]    |  1.2236  |  1.0614  |  0.9190  |    0.3556    |   0.3264   | 0.3403  |
[ 41 /300 ]    |  1.1971  |  0.9061  |  0.9267  |    0.3306    |   0.3516   | 0.3407  |
[ 42 /300 ]    |  1.1778  |  0.9331  |  0.9272  |    0.3368    |   0.3407   | 0.3387  |
[ 43 /300 ]    |  1.1511  |  0.9389  |  0.9280  |    0.3639    |   0.3279   | 0.3450  |
[ 44 /300 ]    |  1.1492  |  0.8516  |  0.9271  |    0.3681    |   0.3318   | 0.3490  |
[ 45 /300 ]    |  1.1376  |  0.8373  |  0.9285  |    0.3514    |   0.3298   | 0.3403  |
[ 46 /300 ]    |  1.1303  |  0.8808  |  0.9302  |    0.3625    |   0.3264   | 0.3435  |
[ 47 /300 ]    |  1.1247  |  0.7724  |  0.9319  |    0.3576    |   0.3306   | 0.3436  |
[ 48 /300 ]    |  1.1072  |  0.7860  |  0.9325  |    0.3861    |   0.3178   | 0.3487  |
[ 49 /300 ]    |  1.1073  |  0.7812  |  0.9311  |    0.3403    |   0.3523   | 0.3462  |
[ 50 /300 ]    |  1.1131  |  0.7078  |  0.9345  |    0.3535    |   0.3426   | 0.3480  |
[ 51 /300 ]    |  1.0875  |  0.7416  |  0.9342  |    0.3653    |   0.3326   | 0.3482  |
[ 52 /300 ]    |  1.0994  |  0.9199  |  0.9351  |    0.3812    |   0.3291   | 0.3532  |
[ 53 /300 ]    |  1.0718  |  0.7570  |  0.9354  |    0.3639    |   0.3283   | 0.3452  |
[ 54 /300 ]    |  1.0674  |  0.7753  |  0.9362  |    0.3896    |   0.3132   | 0.3472  |
[ 55 /300 ]    |  1.0645  |  0.7485  |  0.9324  |    0.3750    |   0.3298   | 0.3510  |
[ 56 /300 ]    |  1.0488  |  0.7767  |  0.9367  |    0.3604    |   0.3508   | 0.3555  |
[ 57 /300 ]    |  1.0433  |  0.7528  |  0.9367  |    0.3722    |   0.3322   | 0.3511  |
[ 58 /300 ]    |  1.0398  |  0.7224  |  0.9381  |    0.3625    |   0.3279   | 0.3443  |
[ 59 /300 ]    |  1.0359  |  0.7485  |  0.9378  |    0.3639    |   0.3446   | 0.3540  |
[ 60 /300 ]    |  1.0471  |  0.8571  |  0.9406  |    0.3444    |   0.3500   | 0.3472  |
