Namespace(attSize=64, batch_size=256, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='APY', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=1995, matdataset=True, nclass_all=32, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=64, outf='./checkpoint/', outname='apy', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=2, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=1400, val_every=1, validation=False, workers=2)
Random Seed:  1995
# of training samples:  5932
MLP_G(
  (fc1): Linear(in_features=128, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2112, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_2HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=64)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -0.9865  |  0.9308  |  0.4837  |     1.0197      |    0.0499    |   0.3529   | 0.0874  |
[ 2  /300 ]    | -0.5300  |  0.5239  |  0.5145  |     0.5386      |    0.1181    |   0.1899   | 0.1456  |
[ 3  /300 ]    | -0.1829  |  0.4431  |  0.5159  |     0.1853      |    0.0812    |   0.1728   | 0.1105  |
[ 4  /300 ]    | -0.2812  |  0.2516  |  0.5528  |     0.2842      |    0.0966    |   0.1872   | 0.1274  |
[ 5  /300 ]    | -0.5858  | -0.0205  |  0.5752  |     0.5932      |    0.1126    |   0.2246   | 0.1500  |
[ 6  /300 ]    | -0.8504  | -0.0196  |  0.6082  |     0.8689      |    0.0626    |   0.2212   | 0.0976  |
[ 7  /300 ]    | -1.0181  | -0.0407  |  0.6323  |     1.0606      |    0.1112    |   0.1866   | 0.1394  |
[ 8  /300 ]    | -1.2298  |  0.1270  |  0.6818  |     1.3089      |    0.0751    |   0.4346   | 0.1281  |
[ 9  /300 ]    | -1.4461  |  0.1127  |  0.7159  |     1.5489      |    0.0911    |   0.1783   | 0.1206  |
[ 10 /300 ]    | -1.6367  |  0.1817  |  0.7565  |     1.7499      |    0.0913    |   0.1994   | 0.1253  |
[ 11 /300 ]    | -1.8046  |  0.2516  |  0.7667  |     1.9251      |    0.1108    |   0.4011   | 0.1736  |
[ 12 /300 ]    | -1.9046  |  0.2510  |  0.7829  |     2.0159      |    0.1267    |   0.4160   | 0.1943  |
[ 13 /300 ]    | -2.0613  |  0.2835  |  0.7986  |     2.1959      |    0.1320    |   0.4247   | 0.2015  |
[ 14 /300 ]    | -2.0612  |  0.2763  |  0.8180  |     2.1841      |    0.1427    |   0.4224   | 0.2134  |
[ 15 /300 ]    | -2.1431  |  0.3097  |  0.8259  |     2.2620      |    0.1149    |   0.4162   | 0.1801  |
[ 16 /300 ]    | -2.1497  |  0.3310  |  0.8491  |     2.2672      |    0.1838    |   0.4199   | 0.2557  |
[ 17 /300 ]    | -2.1957  |  0.3235  |  0.8515  |     2.3302      |    0.1228    |   0.4291   | 0.1910  |
[ 18 /300 ]    | -2.2327  |  0.3065  |  0.8498  |     2.3775      |    0.1289    |   0.4313   | 0.1984  |
[ 19 /300 ]    | -2.2033  |  0.2839  |  0.8638  |     2.3388      |    0.1446    |   0.4379   | 0.2174  |
[ 20 /300 ]    | -2.2571  |  0.2724  |  0.8717  |     2.3826      |    0.1334    |   0.4534   | 0.2061  |
[ 21 /300 ]    | -2.1964  |  0.2638  |  0.8810  |     2.3199      |    0.1441    |   0.4364   | 0.2167  |
[ 22 /300 ]    | -2.2178  |  0.1895  |  0.8821  |     2.3509      |    0.1767    |   0.4468   | 0.2533  |
[ 23 /300 ]    | -2.1990  |  0.1805  |  0.8925  |     2.3192      |    0.1238    |   0.4360   | 0.1928  |
[ 24 /300 ]    | -2.1316  |  0.1476  |  0.8996  |     2.2455      |    0.1516    |   0.4233   | 0.2232  |
[ 25 /300 ]    | -2.1662  |  0.0941  |  0.9024  |     2.2900      |    0.2036    |   0.4207   | 0.2744  |
[ 26 /300 ]    | -2.0745  |  0.0776  |  0.9001  |     2.1795      |    0.1943    |   0.4081   | 0.2632  |
[ 27 /300 ]    | -2.0262  |  0.0260  |  0.9038  |     2.1345      |    0.2001    |   0.3909   | 0.2647  |
[ 28 /300 ]    | -1.9952  |  0.0132  |  0.9141  |     2.0984      |    0.1726    |   0.5238   | 0.2597  |
[ 29 /300 ]    | -1.9430  | -0.0474  |  0.9123  |     2.0420      |    0.1867    |   0.3790   | 0.2502  |
[ 30 /300 ]    | -1.9097  | -0.1149  |  0.9251  |     2.0001      |    0.2150    |   0.3447   | 0.2648  |
[ 31 /300 ]    | -1.8176  | -0.1264  |  0.9213  |     1.8953      |    0.2059    |   0.3506   | 0.2595  |
[ 32 /300 ]    | -1.7670  | -0.1524  |  0.9182  |     1.8470      |    0.2101    |   0.4742   | 0.2911  |
[ 33 /300 ]    | -1.7144  | -0.2342  |  0.9329  |     1.7831      |    0.2495    |   0.4671   | 0.3252  |
[ 34 /300 ]    | -1.6777  | -0.2467  |  0.9254  |     1.7470      |    0.2727    |   0.4542   | 0.3408  |
[ 35 /300 ]    | -1.5997  | -0.3141  |  0.9350  |     1.6698      |    0.1897    |   0.5482   | 0.2819  |
[ 36 /300 ]    | -1.4905  | -0.3634  |  0.9376  |     1.5529      |    0.2843    |   0.4251   | 0.3408  |
[ 37 /300 ]    | -1.5136  | -0.3823  |  0.9349  |     1.5657      |    0.2727    |   0.4110   | 0.3278  |
[ 38 /300 ]    | -1.4264  | -0.4188  |  0.9370  |     1.4784      |    0.2346    |   0.4962   | 0.3186  |
[ 39 /300 ]    | -1.4236  | -0.4742  |  0.9310  |     1.4767      |    0.2588    |   0.4884   | 0.3383  |
[ 40 /300 ]    | -1.3368  | -0.5203  |  0.9362  |     1.3836      |    0.2437    |   0.4774   | 0.3227  |
[ 41 /300 ]    | -1.3186  | -0.5545  |  0.9444  |     1.3646      |    0.2442    |   0.4812   | 0.3240  |
