Namespace(att_size=85, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=9182, matdataset=True, nclass_all=50, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=2000, val_every=1, validation=False, workers=2)
Random Seed:  9182
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -1.1920  |  1.4343  |  0.6100  |     1.2388      |    0.0916    |   0.3631   | 0.1463  |
[ 2  /300 ]    | -0.5984  |  0.7916  |  0.6772  |     0.6076      |    0.0885    |   0.2035   | 0.1233  |
[ 3  /300 ]    | -0.2087  |  0.3995  |  0.7148  |     0.2105      |    0.0816    |   0.6264   | 0.1444  |
[ 4  /300 ]    | -0.2108  |  0.0995  |  0.7323  |     0.2132      |    0.1292    |   0.1701   | 0.1469  |
[ 5  /300 ]    | -0.3848  | -0.2381  |  0.7454  |     0.3884      |    0.1062    |   0.2050   | 0.1399  |
[ 6  /300 ]    | -0.6616  | -0.1805  |  0.7552  |     0.6745      |    0.0900    |   0.2179   | 0.1274  |
[ 7  /300 ]    | -0.8514  | -0.2145  |  0.7605  |     0.8820      |    0.0741    |   0.2074   | 0.1092  |
[ 8  /300 ]    | -1.0299  | -0.1688  |  0.7684  |     1.0831      |    0.0941    |   0.6431   | 0.1642  |
[ 9  /300 ]    | -1.1969  | -0.1161  |  0.7720  |     1.2712      |    0.0629    |   0.6275   | 0.1143  |
[ 10 /300 ]    | -1.3709  | -0.0685  |  0.7770  |     1.4653      |    0.0916    |   0.6227   | 0.1596  |
[ 11 /300 ]    | -1.5761  |  0.0284  |  0.7769  |     1.6829      |    0.1200    |   0.6169   | 0.2009  |
[ 12 /300 ]    | -1.6907  |  0.0756  |  0.7824  |     1.7998      |    0.1009    |   0.1611   | 0.1241  |
[ 13 /300 ]    | -1.7839  |  0.1030  |  0.7888  |     1.8945      |    0.1476    |   0.2171   | 0.1757  |
[ 14 /300 ]    | -1.8427  |  0.1121  |  0.7826  |     1.9531      |    0.1236    |   0.2719   | 0.1699  |
[ 15 /300 ]    | -1.8638  |  0.1067  |  0.7850  |     1.9661      |    0.1322    |   0.2807   | 0.1797  |
[ 16 /300 ]    | -1.9065  |  0.1060  |  0.7888  |     2.0081      |    0.1003    |   0.3162   | 0.1523  |
[ 17 /300 ]    | -1.8880  |  0.0922  |  0.7878  |     1.9915      |    0.1088    |   0.3361   | 0.1644  |
[ 18 /300 ]    | -1.9184  |  0.0753  |  0.7838  |     2.0171      |    0.0687    |   0.3399   | 0.1142  |
[ 19 /300 ]    | -1.9237  |  0.0419  |  0.7862  |     2.0271      |    0.0731    |   0.3563   | 0.1214  |
[ 20 /300 ]    | -1.9063  |  0.0208  |  0.7884  |     2.0047      |    0.0815    |   0.3526   | 0.1324  |
[ 21 /300 ]    | -1.8905  | -0.0172  |  0.7919  |     1.9875      |    0.0644    |   0.3585   | 0.1092  |
[ 22 /300 ]    | -1.8688  | -0.0200  |  0.7873  |     1.9595      |    0.1016    |   0.3528   | 0.1577  |
[ 23 /300 ]    | -1.8354  | -0.0553  |  0.7909  |     1.9285      |    0.0663    |   0.3418   | 0.1110  |
[ 24 /300 ]    | -1.8230  | -0.0798  |  0.7888  |     1.9126      |    0.1150    |   0.3146   | 0.1684  |
[ 25 /300 ]    | -1.7883  | -0.1060  |  0.7884  |     1.8709      |    0.1903    |   0.2895   | 0.2296  |
[ 26 /300 ]    | -1.7627  | -0.1164  |  0.7907  |     1.8428      |    0.1629    |   0.2901   | 0.2087  |
[ 27 /300 ]    | -1.7090  | -0.1426  |  0.7931  |     1.7880      |    0.1712    |   0.2498   | 0.2031  |
[ 28 /300 ]    | -1.6660  | -0.1635  |  0.7957  |     1.7411      |    0.1738    |   0.2438   | 0.2029  |
[ 29 /300 ]    | -1.6253  | -0.1798  |  0.7969  |     1.6931      |    0.1610    |   0.2206   | 0.1861  |
[ 30 /300 ]    | -1.5851  | -0.1849  |  0.8050  |     1.6493      |    0.1468    |   0.6333   | 0.2383  |
[ 31 /300 ]    | -1.5339  | -0.1966  |  0.8091  |     1.5950      |    0.2104    |   0.2184   | 0.2144  |
