Namespace(att_size=312, batch_size=64, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='CUB', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=3483, matdataset=True, nclass_all=200, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=312, outf='./checkpoint/', outname='cub', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=3, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=800, val_every=1, validation=False, workers=2)
Random Seed:  3483
# of training samples:  7057
MLP_G(
  (fc1): Linear(in_features=624, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2360, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_3HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=312)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -2.1235  | -0.3166  |  0.7437  |     2.2287      |    0.0401    |   0.3448   | 0.0719  |
[ 2  /300 ]    | -2.1784  | -0.4471  |  0.7562  |     2.2848      |    0.0896    |   0.2322   | 0.1293  |
[ 3  /300 ]    | -1.8832  | -0.3016  |  0.8021  |     1.9483      |    0.1669    |   0.3243   | 0.2204  |
[ 4  /300 ]    | -1.4551  | -0.0273  |  0.8635  |     1.5147      |    0.2320    |   0.4160   | 0.2978  |
[ 5  /300 ]    | -1.3269  |  0.2453  |  0.8771  |     1.3763      |    0.2585    |   0.4499   | 0.3283  |
[ 6  /300 ]    | -1.2796  |  0.2453  |  0.8864  |     1.3317      |    0.2947    |   0.4345   | 0.3512  |
[ 7  /300 ]    | -1.0991  |  0.1345  |  0.9015  |     1.1548      |    0.2962    |   0.5073   | 0.3740  |
[ 8  /300 ]    | -1.1842  |  0.4264  |  0.9023  |     1.2307      |    0.3109    |   0.5299   | 0.3919  |
[ 9  /300 ]    | -1.0892  |  0.2443  |  0.9199  |     1.1270      |    0.3285    |   0.5381   | 0.4080  |
[ 10 /300 ]    | -1.0315  |  0.2759  |  0.9212  |     1.0628      |    0.3477    |   0.5066   | 0.4124  |
[ 11 /300 ]    | -1.0274  |  0.2970  |  0.9267  |     1.0613      |    0.3512    |   0.5183   | 0.4187  |
[ 12 /300 ]    | -1.0756  |  0.0673  |  0.9349  |     1.1229      |    0.3603    |   0.5107   | 0.4225  |
[ 13 /300 ]    | -1.0468  |  0.2422  |  0.9317  |     1.0792      |    0.3474    |   0.5475   | 0.4251  |
[ 14 /300 ]    | -1.0045  | -0.0529  |  0.9395  |     1.0293      |    0.3665    |   0.5353   | 0.4351  |
[ 15 /300 ]    | -0.9929  | -0.1340  |  0.9386  |     1.0286      |    0.3790    |   0.5353   | 0.4438  |
