Namespace(attSize=64, batch_size=2048, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='APY', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=1995, matdataset=True, nclass_all=32, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=64, outf='./checkpoint/', outname='apy', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=2, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=1400, val_every=1, validation=False, workers=2)
Random Seed:  1995
# of training samples:  5932
MLP_G(
  (fc1): Linear(in_features=128, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2112, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_2HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=64)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -0.0941  |  0.0466  |  0.2517  |     0.1429      |    0.0763    |   0.1075   | 0.0893  |
[ 2  /300 ]    | -0.3820  |  0.2934  |  0.3164  |     0.3842      |    0.0761    |   0.0918   | 0.0832  |
[ 3  /300 ]    | -0.6090  |  0.5177  |  0.3750  |     0.6165      |    0.0744    |   0.1094   | 0.0886  |
[ 4  /300 ]    | -0.7677  |  0.6873  |  0.4180  |     0.7855      |    0.0963    |   0.0772   | 0.0857  |
[ 5  /300 ]    | -0.8662  |  0.7999  |  0.4450  |     0.8926      |    0.1330    |   0.0727   | 0.0940  |
[ 6  /300 ]    | -0.9204  |  0.8586  |  0.4622  |     0.9504      |    0.0853    |   0.0764   | 0.0806  |
[ 7  /300 ]    | -0.9343  |  0.8768  |  0.4743  |     0.9654      |    0.0410    |   0.3828   | 0.0741  |
[ 8  /300 ]    | -0.9129  |  0.8675  |  0.4809  |     0.9415      |    0.0353    |   0.3291   | 0.0637  |
[ 9  /300 ]    | -0.8772  |  0.8357  |  0.4922  |     0.9029      |    0.0807    |   0.3083   | 0.1280  |
[ 10 /300 ]    | -0.8249  |  0.7996  |  0.4985  |     0.8478      |    0.0595    |   0.2801   | 0.0981  |
[ 11 /300 ]    | -0.7616  |  0.7542  |  0.5015  |     0.7804      |    0.0819    |   0.2522   | 0.1237  |
[ 12 /300 ]    | -0.6965  |  0.7055  |  0.5099  |     0.7116      |    0.0775    |   0.2535   | 0.1188  |
[ 13 /300 ]    | -0.6331  |  0.6537  |  0.5134  |     0.6449      |    0.0697    |   0.2091   | 0.1045  |
[ 14 /300 ]    | -0.5644  |  0.6130  |  0.5139  |     0.5737      |    0.0833    |   0.2006   | 0.1177  |
[ 15 /300 ]    | -0.5012  |  0.5687  |  0.5194  |     0.5085      |    0.0841    |   0.1856   | 0.1158  |
[ 16 /300 ]    | -0.4392  |  0.5313  |  0.5281  |     0.4450      |    0.0912    |   0.1799   | 0.1211  |
[ 17 /300 ]    | -0.3895  |  0.4987  |  0.5320  |     0.3938      |    0.0925    |   0.4292   | 0.1522  |
[ 18 /300 ]    | -0.3371  |  0.4735  |  0.5322  |     0.3404      |    0.0773    |   0.4307   | 0.1311  |
[ 19 /300 ]    | -0.2952  |  0.4563  |  0.5343  |     0.2984      |    0.1133    |   0.4078   | 0.1774  |
[ 20 /300 ]    | -0.2682  |  0.4471  |  0.5435  |     0.2708      |    0.1155    |   0.1668   | 0.1365  |
[ 21 /300 ]    | -0.2393  |  0.4381  |  0.5463  |     0.2418      |    0.1103    |   0.1627   | 0.1315  |
[ 22 /300 ]    | -0.2161  |  0.4268  |  0.5487  |     0.2188      |    0.0786    |   0.1553   | 0.1044  |
[ 23 /300 ]    | -0.2164  |  0.4095  |  0.5483  |     0.2191      |    0.0903    |   0.4411   | 0.1500  |
[ 24 /300 ]    | -0.2077  |  0.4029  |  0.5559  |     0.2105      |    0.0897    |   0.4315   | 0.1485  |
[ 25 /300 ]    | -0.2140  |  0.3870  |  0.5566  |     0.2169      |    0.0647    |   0.4471   | 0.1130  |
[ 26 /300 ]    | -0.2253  |  0.3697  |  0.5612  |     0.2284      |    0.0859    |   0.1762   | 0.1155  |
[ 27 /300 ]    | -0.2428  |  0.3562  |  0.5624  |     0.2460      |    0.0883    |   0.4478   | 0.1476  |
[ 28 /300 ]    | -0.2675  |  0.3246  |  0.5692  |     0.2706      |    0.0883    |   0.1789   | 0.1183  |
[ 29 /300 ]    | -0.2997  |  0.2876  |  0.5745  |     0.3030      |    0.0950    |   0.1933   | 0.1274  |
[ 30 /300 ]    | -0.3252  |  0.2415  |  0.5776  |     0.3287      |    0.1137    |   0.1975   | 0.1443  |
[ 31 /300 ]    | -0.3585  |  0.2004  |  0.5835  |     0.3623      |    0.0781    |   0.2083   | 0.1137  |
[ 32 /300 ]    | -0.3955  |  0.1610  |  0.5861  |     0.3998      |    0.1061    |   0.1879   | 0.1356  |
[ 33 /300 ]    | -0.4347  |  0.1149  |  0.5879  |     0.4396      |    0.0801    |   0.2240   | 0.1180  |
[ 34 /300 ]    | -0.4804  |  0.0886  |  0.5947  |     0.4863      |    0.0878    |   0.4733   | 0.1481  |
[ 35 /300 ]    | -0.5345  |  0.0702  |  0.6043  |     0.5410      |    0.1045    |   0.2174   | 0.1412  |
[ 36 /300 ]    | -0.6007  |  0.0688  |  0.6028  |     0.6087      |    0.0747    |   0.2374   | 0.1137  |
[ 37 /300 ]    | -0.6521  |  0.0616  |  0.6125  |     0.6611      |    0.0832    |   0.2232   | 0.1212  |
[ 38 /300 ]    | -0.7065  |  0.0561  |  0.6195  |     0.7180      |    0.1045    |   0.2154   | 0.1407  |
[ 39 /300 ]    | -0.7552  |  0.0635  |  0.6227  |     0.7689      |    0.1273    |   0.2316   | 0.1643  |
[ 40 /300 ]    | -0.7927  |  0.0657  |  0.6302  |     0.8084      |    0.0615    |   0.1940   | 0.0933  |
[ 41 /300 ]    | -0.8345  |  0.0584  |  0.6337  |     0.8529      |    0.1274    |   0.2205   | 0.1615  |
[ 42 /300 ]    | -0.8742  |  0.0529  |  0.6427  |     0.8952      |    0.1278    |   0.2121   | 0.1595  |
