Namespace(att_size=64, batch_size=64, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='APY', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=1995, matdataset=True, nclass_all=32, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=64, outf='./checkpoint/', outname='apy', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=2, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=1400, val_every=1, validation=False, workers=2)
Random Seed:  1995
# of training samples:  5932
MLP_G(
  (fc1): Linear(in_features=128, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2112, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_2HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=64)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -0.1289  |  0.4501  |  0.5176  |     0.1322      |    0.1126    |   0.1751   | 0.1371  |
[ 2  /300 ]    | -0.8558  | -0.1510  |  0.5445  |     0.8753      |    0.1193    |   0.2041   | 0.1506  |
[ 3  /300 ]    | -1.4437  |  0.1398  |  0.6754  |     1.5359      |    0.1182    |   0.4332   | 0.1858  |
[ 4  /300 ]    | -1.8313  |  0.1916  |  0.7819  |     1.9466      |    0.0988    |   0.4326   | 0.1608  |
[ 5  /300 ]    | -1.9713  |  0.2507  |  0.8286  |     2.1065      |    0.1611    |   0.4262   | 0.2339  |
[ 6  /300 ]    | -2.1409  |  0.2514  |  0.8399  |     2.3071      |    0.1924    |   0.4151   | 0.2630  |
[ 7  /300 ]    | -2.3300  |  0.2544  |  0.8497  |     2.4759      |    0.1641    |   0.4353   | 0.2384  |
[ 8  /300 ]    | -2.1303  |  0.2019  |  0.8791  |     2.2415      |    0.1753    |   0.4460   | 0.2517  |
[ 9  /300 ]    | -2.0813  |  0.0892  |  0.9071  |     2.1936      |    0.1570    |   0.4288   | 0.2299  |
[ 10 /300 ]    | -2.0916  |  0.0306  |  0.9035  |     2.1962      |    0.1923    |   0.3775   | 0.2548  |
[ 11 /300 ]    | -1.9461  | -0.0635  |  0.9169  |     2.0442      |    0.1886    |   0.5005   | 0.2739  |
[ 12 /300 ]    | -1.7051  | -0.1442  |  0.9330  |     1.7831      |    0.2210    |   0.4701   | 0.3006  |
[ 13 /300 ]    | -1.5799  | -0.2456  |  0.9379  |     1.6277      |    0.2329    |   0.4268   | 0.3014  |
[ 14 /300 ]    | -1.5549  | -0.3565  |  0.9216  |     1.6198      |    0.2637    |   0.5159   | 0.3490  |
[ 15 /300 ]    | -1.2717  | -0.4460  |  0.9410  |     1.3244      |    0.2235    |   0.5768   | 0.3222  |
[ 16 /300 ]    | -1.2011  | -0.5345  |  0.9453  |     1.2380      |    0.2573    |   0.5478   | 0.3501  |
[ 17 /300 ]    | -1.0636  | -0.6229  |  0.9426  |     1.1009      |    0.2357    |   0.5274   | 0.3258  |
[ 18 /300 ]    | -0.8967  | -0.6531  |  0.9393  |     0.9291      |    0.2681    |   0.5809   | 0.3669  |
[ 19 /300 ]    | -1.0725  | -0.6851  |  0.9382  |     1.1157      |    0.2646    |   0.5115   | 0.3488  |
[ 20 /300 ]    | -0.9256  | -0.7170  |  0.9485  |     0.9593      |    0.2539    |   0.6893   | 0.3711  |
[ 21 /300 ]    | -0.9969  | -0.7668  |  0.9339  |     1.0304      |    0.2461    |   0.6578   | 0.3582  |
[ 22 /300 ]    | -0.9388  | -0.8114  |  0.9421  |     0.9773      |    0.2900    |   0.5874   | 0.3883  |
[ 23 /300 ]    | -0.8791  | -0.8466  |  0.9573  |     0.9211      |    0.2802    |   0.6431   | 0.3903  |
[ 24 /300 ]    | -0.8947  | -0.8593  |  0.9466  |     0.9340      |    0.2524    |   0.5780   | 0.3514  |
[ 25 /300 ]    | -0.9131  | -0.8378  |  0.9486  |     0.9502      |    0.2771    |   0.5424   | 0.3668  |
[ 26 /300 ]    | -0.9028  | -0.8125  |  0.9625  |     0.9466      |    0.2936    |   0.6160   | 0.3977  |
[ 27 /300 ]    | -0.8778  | -0.8560  |  0.9508  |     0.9113      |    0.2850    |   0.5720   | 0.3804  |
[ 28 /300 ]    | -0.9663  | -0.8504  |  0.9630  |     1.0102      |    0.2518    |   0.5836   | 0.3518  |
[ 29 /300 ]    | -0.9001  | -0.8190  |  0.9543  |     0.9395      |    0.3075    |   0.5699   | 0.3994  |
[ 30 /300 ]    | -0.9112  | -0.8506  |  0.9699  |     0.9471      |    0.2925    |   0.5279   | 0.3764  |
[ 31 /300 ]    | -0.7883  | -0.8492  |  0.9681  |     0.8262      |    0.2843    |   0.5943   | 0.3846  |
[ 32 /300 ]    | -0.8908  | -0.8119  |  0.9654  |     0.9469      |    0.2870    |   0.5186   | 0.3695  |
[ 33 /300 ]    | -0.8478  | -0.8069  |  0.9682  |     0.8878      |    0.3092    |   0.5104   | 0.3851  |
[ 34 /300 ]    | -0.8400  | -0.8115  |  0.9748  |     0.8950      |    0.2883    |   0.5974   | 0.3889  |
[ 35 /300 ]    | -1.0030  | -0.7018  |  0.9670  |     1.0483      |    0.3038    |   0.5621   | 0.3944  |
[ 36 /300 ]    | -0.8733  | -0.6788  |  0.9754  |     0.9149      |    0.2686    |   0.6269   | 0.3761  |
[ 37 /300 ]    | -1.0480  | -0.7312  |  0.9773  |     1.0975      |    0.2808    |   0.5016   | 0.3601  |
[ 38 /300 ]    | -0.9396  | -0.7356  |  0.9759  |     0.9989      |    0.2683    |   0.5617   | 0.3631  |
[ 39 /300 ]    | -0.9138  | -0.7643  |  0.9790  |     0.9602      |    0.2495    |   0.5715   | 0.3474  |
[ 40 /300 ]    | -0.9918  | -0.7603  |  0.9827  |     1.0410      |    0.2671    |   0.6332   | 0.3757  |
[ 41 /300 ]    | -0.9034  | -0.6450  |  0.9788  |     0.9553      |    0.2737    |   0.5173   | 0.3580  |
[ 42 /300 ]    | -0.8783  | -0.6220  |  0.9837  |     0.9352      |    0.2768    |   0.5980   | 0.3785  |
[ 43 /300 ]    | -0.8151  | -0.6007  |  0.9838  |     0.8547      |    0.2655    |   0.5717   | 0.3626  |
[ 44 /300 ]    | -0.8706  | -0.6275  |  0.9836  |     0.9119      |    0.2488    |   0.6222   | 0.3555  |
[ 45 /300 ]    | -0.9992  | -0.5827  |  0.9810  |     1.0379      |    0.2733    |   0.5589   | 0.3671  |
[ 46 /300 ]    | -0.8884  | -0.5070  |  0.9822  |     0.9571      |    0.2915    |   0.5015   | 0.3687  |
[ 47 /300 ]    | -0.9163  | -0.5380  |  0.9833  |     0.9565      |    0.2517    |   0.6624   | 0.3647  |
[ 48 /300 ]    | -0.9879  | -0.4771  |  0.9794  |     1.0410      |    0.2620    |   0.6455   | 0.3728  |
[ 49 /300 ]    | -0.9938  | -0.4511  |  0.9824  |     1.0682      |    0.2463    |   0.6523   | 0.3576  |
[ 50 /300 ]    | -0.9591  | -0.4819  |  0.9838  |     1.0107      |    0.2489    |   0.6544   | 0.3606  |
[ 51 /300 ]    | -0.8416  | -0.4861  |  0.9879  |     0.8942      |    0.2781    |   0.5566   | 0.3709  |
[ 52 /300 ]    | -0.9641  | -0.5211  |  0.9858  |     1.0261      |    0.2858    |   0.5029   | 0.3644  |
