Namespace(att_size=85, batch_size=128, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA1', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=9182, matdataset=True, nclass_all=50, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=85, outf='./checkpoint/', outname='awa', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=3200, val_every=1, validation=False, workers=2)
Random Seed:  9182
# of training samples:  19832
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -0.5244  | -0.1506  |  0.7486  |     0.5290      |    0.0803    |   0.4774   | 0.1374  |
[ 2  /300 ]    | -1.5153  |  0.0014  |  0.7688  |     1.6188      |    0.0872    |   0.5480   | 0.1505  |
[ 3  /300 ]    | -1.8539  |  0.1226  |  0.7696  |     1.9572      |    0.1446    |   0.5731   | 0.2310  |
[ 4  /300 ]    | -1.8388  |  0.0115  |  0.7836  |     1.9339      |    0.1501    |   0.4678   | 0.2273  |
[ 5  /300 ]    | -1.7149  | -0.1147  |  0.7917  |     1.7930      |    0.2179    |   0.4183   | 0.2865  |
[ 6  /300 ]    | -1.4242  | -0.2415  |  0.7829  |     1.4836      |    0.2356    |   0.5004   | 0.3204  |
[ 7  /300 ]    | -1.2510  | -0.3308  |  0.7933  |     1.2912      |    0.3012    |   0.4342   | 0.3557  |
[ 8  /300 ]    | -1.1275  | -0.4207  |  0.8288  |     1.1673      |    0.2866    |   0.4865   | 0.3607  |
[ 9  /300 ]    | -1.0232  | -0.5091  |  0.8544  |     1.0572      |    0.2960    |   0.6397   | 0.4048  |
[ 10 /300 ]    | -0.9415  | -0.4735  |  0.8681  |     0.9759      |    0.3164    |   0.6186   | 0.4187  |
[ 11 /300 ]    | -0.7705  | -0.5678  |  0.8840  |     0.8058      |    0.3601    |   0.5490   | 0.4350  |
[ 12 /300 ]    | -0.8538  | -0.5481  |  0.8932  |     0.8859      |    0.3856    |   0.5825   | 0.4640  |
[ 13 /300 ]    | -0.8019  | -0.5714  |  0.9026  |     0.8332      |    0.3789    |   0.6127   | 0.4682  |
[ 14 /300 ]    | -0.7627  | -0.6280  |  0.9074  |     0.7858      |    0.4055    |   0.6368   | 0.4955  |
[ 15 /300 ]    | -0.7672  | -0.6451  |  0.9100  |     0.7967      |    0.4431    |   0.6237   | 0.5181  |
