Namespace(attSize=85, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA1', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=9182, matdataset=True, nclass_all=50, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=85, outf='./checkpoint/', outname='awa', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=3200, val_every=1, validation=False, workers=2)
Random Seed:  9182
# of training samples:  19832
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -0.7620  |  0.9338  |  0.6564  |     0.7786      |    0.0589    |   0.5057   | 0.1054  |
[ 2  /300 ]    | -0.1422  |  0.2967  |  0.7151  |     0.1443      |    0.0966    |   0.4052   | 0.1560  |
[ 3  /300 ]    | -0.3514  | -0.1244  |  0.7350  |     0.3541      |    0.0804    |   0.6019   | 0.1419  |
[ 4  /300 ]    | -0.7520  | -0.1570  |  0.7526  |     0.7642      |    0.1074    |   0.4610   | 0.1742  |
[ 5  /300 ]    | -1.0291  | -0.1203  |  0.7608  |     1.0704      |    0.0897    |   0.4242   | 0.1481  |
[ 6  /300 ]    | -1.3188  | -0.0767  |  0.7646  |     1.3938      |    0.1172    |   0.4047   | 0.1818  |
[ 7  /300 ]    | -1.6076  |  0.0896  |  0.7738  |     1.7068      |    0.1406    |   0.5456   | 0.2236  |
[ 8  /300 ]    | -1.8085  |  0.1654  |  0.7837  |     1.9223      |    0.1001    |   0.5567   | 0.1697  |
[ 9  /300 ]    | -1.8966  |  0.1739  |  0.7691  |     2.0038      |    0.1603    |   0.4195   | 0.2320  |
[ 10 /300 ]    | -1.9391  |  0.1714  |  0.7829  |     2.0520      |    0.1508    |   0.4406   | 0.2247  |
[ 11 /300 ]    | -1.9611  |  0.1304  |  0.7800  |     2.0637      |    0.1684    |   0.4700   | 0.2480  |
[ 12 /300 ]    | -1.9337  |  0.1121  |  0.7828  |     2.0391      |    0.1151    |   0.4722   | 0.1851  |
[ 13 /300 ]    | -1.9128  |  0.0476  |  0.7885  |     2.0077      |    0.1539    |   0.4793   | 0.2330  |
[ 14 /300 ]    | -1.8718  |  0.0001  |  0.7816  |     1.9602      |    0.1393    |   0.2143   | 0.1689  |
[ 15 /300 ]    | -1.8200  | -0.0359  |  0.7846  |     1.9101      |    0.1208    |   0.4624   | 0.1915  |
