Namespace(attSize=85, batch_size=2048, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=9182, matdataset=True, nclass_all=50, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=2000, val_every=1, validation=False, workers=2)
Random Seed:  9182
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -1.1046  |  1.3370  |  0.5419  |     1.1353      |    0.0627    |   0.4457   | 0.1099  |
[ 2  /300 ]    | -1.1746  |  1.4049  |  0.6163  |     1.2186      |    0.0456    |   0.3542   | 0.0807  |
[ 3  /300 ]    | -0.8396  |  1.0315  |  0.6534  |     0.8607      |    0.0408    |   0.2447   | 0.0699  |
[ 4  /300 ]    | -0.5252  |  0.7370  |  0.6858  |     0.5322      |    0.0757    |   0.1923   | 0.1086  |
[ 5  /300 ]    | -0.2939  |  0.5312  |  0.7052  |     0.2963      |    0.1378    |   0.1330   | 0.1354  |
[ 6  /300 ]    | -0.1945  |  0.3516  |  0.7194  |     0.1964      |    0.0599    |   0.1677   | 0.0883  |
[ 7  /300 ]    | -0.1929  |  0.1874  |  0.7311  |     0.1950      |    0.1213    |   0.1678   | 0.1408  |
[ 8  /300 ]    | -0.2460  |  0.0289  |  0.7367  |     0.2485      |    0.0659    |   0.1722   | 0.0953  |
[ 9  /300 ]    | -0.3433  | -0.1664  |  0.7462  |     0.3463      |    0.0614    |   0.6423   | 0.1122  |
[ 10 /300 ]    | -0.4784  | -0.2032  |  0.7505  |     0.4843      |    0.0698    |   0.2025   | 0.1038  |
[ 11 /300 ]    | -0.6190  | -0.2222  |  0.7540  |     0.6290      |    0.0613    |   0.2195   | 0.0958  |
[ 12 /300 ]    | -0.7405  | -0.2001  |  0.7591  |     0.7601      |    0.1291    |   0.1823   | 0.1512  |
[ 13 /300 ]    | -0.8282  | -0.1754  |  0.7611  |     0.8582      |    0.0544    |   0.6457   | 0.1004  |
[ 14 /300 ]    | -0.9280  | -0.1815  |  0.7653  |     0.9716      |    0.1523    |   0.1697   | 0.1606  |
[ 15 /300 ]    | -1.0313  | -0.1500  |  0.7676  |     1.0850      |    0.0976    |   0.1828   | 0.1272  |
[ 16 /300 ]    | -1.1139  | -0.1266  |  0.7703  |     1.1806      |    0.0869    |   0.6414   | 0.1531  |
[ 17 /300 ]    | -1.2308  | -0.0870  |  0.7729  |     1.3089      |    0.1218    |   0.1724   | 0.1428  |
[ 18 /300 ]    | -1.3069  | -0.0935  |  0.7735  |     1.3954      |    0.0692    |   0.6208   | 0.1245  |
[ 19 /300 ]    | -1.4286  | -0.0765  |  0.7771  |     1.5253      |    0.1319    |   0.1723   | 0.1494  |
[ 20 /300 ]    | -1.5193  |  0.0020  |  0.7782  |     1.6230      |    0.1168    |   0.1842   | 0.1429  |
[ 21 /300 ]    | -1.6042  |  0.0381  |  0.7805  |     1.7156      |    0.0638    |   0.6259   | 0.1158  |
[ 22 /300 ]    | -1.6707  |  0.0871  |  0.7831  |     1.7809      |    0.0993    |   0.6235   | 0.1713  |
[ 23 /300 ]    | -1.7158  |  0.0919  |  0.7824  |     1.8240      |    0.0840    |   0.1942   | 0.1172  |
[ 24 /300 ]    | -1.7713  |  0.1048  |  0.7848  |     1.8808      |    0.1564    |   0.2118   | 0.1799  |
[ 25 /300 ]    | -1.8066  |  0.1102  |  0.7831  |     1.9134      |    0.0704    |   0.2364   | 0.1085  |
[ 26 /300 ]    | -1.8395  |  0.1166  |  0.7869  |     1.9445      |    0.1531    |   0.2393   | 0.1867  |
[ 27 /300 ]    | -1.8680  |  0.1245  |  0.7838  |     1.9734      |    0.1055    |   0.2800   | 0.1533  |
[ 28 /300 ]    | -1.8667  |  0.1219  |  0.7867  |     1.9685      |    0.1186    |   0.2636   | 0.1636  |
[ 29 /300 ]    | -1.8878  |  0.1225  |  0.7852  |     1.9884      |    0.1023    |   0.3035   | 0.1531  |
[ 30 /300 ]    | -1.9038  |  0.1140  |  0.7871  |     2.0058      |    0.1073    |   0.3309   | 0.1620  |
[ 31 /300 ]    | -1.9222  |  0.1110  |  0.7883  |     2.0259      |    0.0775    |   0.3517   | 0.1271  |
[ 32 /300 ]    | -1.9322  |  0.0987  |  0.7882  |     2.0345      |    0.0986    |   0.3583   | 0.1546  |
[ 33 /300 ]    | -1.9121  |  0.0865  |  0.7871  |     2.0137      |    0.0518    |   0.3692   | 0.0908  |
[ 34 /300 ]    | -1.9276  |  0.0718  |  0.7890  |     2.0322      |    0.0870    |   0.3474   | 0.1392  |
[ 35 /300 ]    | -1.9278  |  0.0437  |  0.7877  |     2.0297      |    0.0886    |   0.3515   | 0.1415  |
[ 36 /300 ]    | -1.9167  |  0.0497  |  0.7910  |     2.0179      |    0.0771    |   0.3607   | 0.1270  |
[ 37 /300 ]    | -1.9207  |  0.0338  |  0.7879  |     2.0188      |    0.1076    |   0.3330   | 0.1627  |
[ 38 /300 ]    | -1.9013  |  0.0185  |  0.7902  |     1.9999      |    0.1140    |   0.3490   | 0.1719  |
[ 39 /300 ]    | -1.9360  |  0.0073  |  0.7887  |     2.0333      |    0.0668    |   0.3402   | 0.1116  |
[ 40 /300 ]    | -1.9127  | -0.0145  |  0.7890  |     2.0121      |    0.0909    |   0.3461   | 0.1440  |
[ 41 /300 ]    | -1.8804  | -0.0101  |  0.7892  |     1.9728      |    0.0904    |   0.3403   | 0.1429  |
[ 42 /300 ]    | -1.8647  | -0.0305  |  0.7887  |     1.9583      |    0.1342    |   0.3615   | 0.1957  |
[ 43 /300 ]    | -1.8665  | -0.0424  |  0.7904  |     1.9591      |    0.1061    |   0.3525   | 0.1632  |
[ 44 /300 ]    | -1.8574  | -0.0576  |  0.7895  |     1.9468      |    0.1365    |   0.3178   | 0.1910  |
[ 45 /300 ]    | -1.8311  | -0.0640  |  0.7902  |     1.9183      |    0.0788    |   0.2921   | 0.1241  |
[ 46 /300 ]    | -1.8239  | -0.0767  |  0.7896  |     1.9111      |    0.1379    |   0.2984   | 0.1887  |
[ 47 /300 ]    | -1.8157  | -0.0915  |  0.7909  |     1.8989      |    0.1613    |   0.3030   | 0.2105  |
