Namespace(att_size=85, batch_size=64, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=9182, matdataset=True, nclass_all=50, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=2000, val_every=1, validation=False, workers=2)
Random Seed:  9182
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -1.4654  | -0.0573  |  0.7735  |     1.5733      |    0.0666    |   0.2057   | 0.1006  |
[ 2  /300 ]    | -1.7049  | -0.0852  |  0.7745  |     1.7924      |    0.0868    |   0.6562   | 0.1533  |
[ 3  /300 ]    | -1.3514  | -0.3218  |  0.7873  |     1.4112      |    0.1371    |   0.6159   | 0.2243  |
[ 4  /300 ]    | -1.1081  | -0.4930  |  0.8364  |     1.1487      |    0.2654    |   0.5139   | 0.3500  |
[ 5  /300 ]    | -0.9090  | -0.5837  |  0.8641  |     0.9420      |    0.2444    |   0.6251   | 0.3514  |
[ 6  /300 ]    | -0.8193  | -0.6901  |  0.8941  |     0.8529      |    0.3585    |   0.4225   | 0.3879  |
[ 7  /300 ]    | -0.8812  | -0.8326  |  0.9022  |     0.9106      |    0.3617    |   0.5933   | 0.4495  |
[ 8  /300 ]    | -0.8455  | -0.8231  |  0.9185  |     0.8814      |    0.4083    |   0.5748   | 0.4775  |
[ 9  /300 ]    | -0.8483  | -0.8600  |  0.9318  |     0.8886      |    0.4127    |   0.5676   | 0.4779  |
[ 10 /300 ]    | -0.8402  | -0.9925  |  0.9325  |     0.8770      |    0.4264    |   0.6472   | 0.5141  |
[ 11 /300 ]    | -0.8969  | -1.0747  |  0.9423  |     0.9472      |    0.4742    |   0.6345   | 0.5428  |
[ 12 /300 ]    | -0.7270  | -1.1310  |  0.9490  |     0.7672      |    0.4427    |   0.6925   | 0.5401  |
[ 13 /300 ]    | -0.8019  | -1.2384  |  0.9530  |     0.8398      |    0.5003    |   0.6303   | 0.5578  |
[ 14 /300 ]    | -0.8419  | -1.3305  |  0.9623  |     0.8790      |    0.4958    |   0.6348   | 0.5567  |
[ 15 /300 ]    | -0.7750  | -1.2882  |  0.9624  |     0.8123      |    0.5204    |   0.6474   | 0.5770  |
[ 16 /300 ]    | -0.9100  | -1.4018  |  0.9648  |     0.9501      |    0.5152    |   0.6934   | 0.5912  |
[ 17 /300 ]    | -0.8166  | -1.5731  |  0.9653  |     0.8601      |    0.5006    |   0.6916   | 0.5808  |
[ 18 /300 ]    | -0.8034  | -1.5580  |  0.9676  |     0.8396      |    0.5338    |   0.6441   | 0.5838  |
[ 19 /300 ]    | -0.7946  | -1.5907  |  0.9712  |     0.8311      |    0.5088    |   0.6870   | 0.5846  |
[ 20 /300 ]    | -0.7702  | -1.5053  |  0.9740  |     0.8008      |    0.5163    |   0.6833   | 0.5882  |
[ 21 /300 ]    | -0.8094  | -1.6145  |  0.9758  |     0.8478      |    0.5362    |   0.6932   | 0.6047  |
[ 22 /300 ]    | -0.7544  | -1.6639  |  0.9779  |     0.7934      |    0.5417    |   0.6905   | 0.6071  |
[ 23 /300 ]    | -0.7305  | -1.8355  |  0.9792  |     0.7592      |    0.5169    |   0.6955   | 0.5931  |
[ 24 /300 ]    | -0.7619  | -1.7851  |  0.9780  |     0.7988      |    0.5654    |   0.6391   | 0.6000  |
[ 25 /300 ]    | -0.7707  | -1.8352  |  0.9789  |     0.7981      |    0.5188    |   0.6949   | 0.5941  |
[ 26 /300 ]    | -0.7240  | -1.8149  |  0.9805  |     0.7496      |    0.5272    |   0.6927   | 0.5987  |
[ 27 /300 ]    | -0.7083  | -1.8204  |  0.9815  |     0.7403      |    0.5720    |   0.6448   | 0.6062  |
[ 28 /300 ]    | -0.7534  | -1.8705  |  0.9831  |     0.7961      |    0.5172    |   0.6983   | 0.5943  |
[ 29 /300 ]    | -0.7550  | -1.8583  |  0.9817  |     0.7898      |    0.5330    |   0.7017   | 0.6058  |
[ 30 /300 ]    | -0.7221  | -2.0172  |  0.9856  |     0.7477      |    0.5205    |   0.7025   | 0.5980  |
[ 31 /300 ]    | -0.7321  | -2.0118  |  0.9849  |     0.7635      |    0.5610    |   0.6620   | 0.6073  |
[ 32 /300 ]    | -0.6708  | -1.9193  |  0.9849  |     0.7010      |    0.5273    |   0.7073   | 0.6042  |
[ 33 /300 ]    | -0.6865  | -1.9957  |  0.9855  |     0.7225      |    0.5535    |   0.6592   | 0.6017  |
[ 34 /300 ]    | -0.7611  | -2.1036  |  0.9872  |     0.8030      |    0.5467    |   0.6661   | 0.6005  |
[ 35 /300 ]    | -0.6934  | -2.0024  |  0.9864  |     0.7323      |    0.5444    |   0.6597   | 0.5966  |
[ 36 /300 ]    | -0.7702  | -1.9876  |  0.9862  |     0.8069      |    0.5409    |   0.6659   | 0.5969  |
[ 37 /300 ]    | -0.7757  | -2.0943  |  0.9879  |     0.8147      |    0.5434    |   0.6584   | 0.5954  |
[ 38 /300 ]    | -0.6547  | -1.9647  |  0.9867  |     0.6895      |    0.4909    |   0.7139   | 0.5817  |
[ 39 /300 ]    | -0.8006  | -2.0019  |  0.9890  |     0.8547      |    0.5574    |   0.6608   | 0.6047  |
[ 40 /300 ]    | -0.7084  | -2.1245  |  0.9880  |     0.7381      |    0.5313    |   0.6691   | 0.5923  |
[ 41 /300 ]    | -0.6887  | -2.1778  |  0.9888  |     0.7254      |    0.5025    |   0.7137   | 0.5897  |
[ 42 /300 ]    | -0.7520  | -2.0329  |  0.9887  |     0.7909      |    0.5244    |   0.6614   | 0.5850  |
[ 43 /300 ]    | -0.6667  | -2.1174  |  0.9882  |     0.6895      |    0.5147    |   0.6658   | 0.5806  |
[ 44 /300 ]    | -0.7677  | -2.1948  |  0.9896  |     0.8118      |    0.5191    |   0.6708   | 0.5853  |
[ 45 /300 ]    | -0.7982  | -2.1730  |  0.9881  |     0.8363      |    0.5324    |   0.6620   | 0.5902  |
[ 46 /300 ]    | -0.7472  | -2.1377  |  0.9888  |     0.7778      |    0.5206    |   0.6671   | 0.5848  |
[ 47 /300 ]    | -0.7931  | -2.0807  |  0.9900  |     0.8469      |    0.5112    |   0.6720   | 0.5807  |
[ 48 /300 ]    | -0.7590  | -2.2073  |  0.9902  |     0.7982      |    0.4687    |   0.7232   | 0.5688  |
[ 49 /300 ]    | -0.7505  | -2.1098  |  0.9902  |     0.7813      |    0.5044    |   0.6667   | 0.5743  |
[ 50 /300 ]    | -0.7034  | -2.2367  |  0.9888  |     0.7425      |    0.5022    |   0.6668   | 0.5729  |
[ 51 /300 ]    | -0.8561  | -2.1902  |  0.9915  |     0.9083      |    0.5298    |   0.5926   | 0.5594  |
[ 52 /300 ]    | -0.7736  | -2.1968  |  0.9906  |     0.8118      |    0.5508    |   0.5839   | 0.5669  |
[ 53 /300 ]    | -0.7299  | -2.1827  |  0.9913  |     0.7606      |    0.5078    |   0.6692   | 0.5775  |
[ 54 /300 ]    | -0.6848  | -2.2872  |  0.9916  |     0.7126      |    0.4719    |   0.6739   | 0.5551  |
