Namespace(attSize=312, batch_size=128, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='CUB', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=3483, matdataset=True, nclass_all=200, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=312, outf='./checkpoint/', outname='cub', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=3, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=800, val_every=1, validation=False, workers=2)
Random Seed:  3483
# of training samples:  7057
MLP_G(
  (fc1): Linear(in_features=624, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2360, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_3HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=312)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -1.7610  | -0.3719  |  0.7370  |     1.8157      |    0.0232    |   0.4116   | 0.0439  |
[ 2  /300 ]    | -2.2755  | -0.4184  |  0.7457  |     2.4117      |    0.0608    |   0.1044   | 0.0768  |
[ 3  /300 ]    | -2.2945  | -0.5152  |  0.7749  |     2.3930      |    0.0666    |   0.2787   | 0.1075  |
[ 4  /300 ]    | -2.0244  | -0.4209  |  0.7667  |     2.0996      |    0.1276    |   0.3195   | 0.1824  |
[ 5  /300 ]    | -1.8169  | -0.4956  |  0.8100  |     1.8958      |    0.1624    |   0.4095   | 0.2325  |
[ 6  /300 ]    | -1.6211  | -0.3725  |  0.8433  |     1.6815      |    0.2062    |   0.4268   | 0.2780  |
[ 7  /300 ]    | -1.4490  | -0.2823  |  0.8630  |     1.5080      |    0.2232    |   0.4524   | 0.2989  |
[ 8  /300 ]    | -1.3478  | -0.0226  |  0.8894  |     1.4028      |    0.2774    |   0.4032   | 0.3287  |
[ 9  /300 ]    | -1.2675  |  0.0046  |  0.8883  |     1.3140      |    0.2785    |   0.4788   | 0.3522  |
[ 10 /300 ]    | -1.2922  |  0.0089  |  0.8974  |     1.3447      |    0.2909    |   0.4905   | 0.3652  |
[ 11 /300 ]    | -1.2628  | -0.1575  |  0.8999  |     1.3194      |    0.3143    |   0.4731   | 0.3777  |
[ 12 /300 ]    | -1.2407  |  0.0202  |  0.9065  |     1.2841      |    0.2953    |   0.5508   | 0.3845  |
[ 13 /300 ]    | -1.1657  |  0.1843  |  0.9159  |     1.2047      |    0.3377    |   0.5056   | 0.4049  |
[ 14 /300 ]    | -1.0968  |  0.0640  |  0.9149  |     1.1388      |    0.3389    |   0.5104   | 0.4073  |
[ 15 /300 ]    | -1.0951  | -0.0151  |  0.9237  |     1.1360      |    0.3630    |   0.4958   | 0.4191  |
[ 16 /300 ]    | -1.0996  | -0.0201  |  0.9205  |     1.1415      |    0.3609    |   0.5206   | 0.4263  |
[ 17 /300 ]    | -1.0329  |  0.1591  |  0.9312  |     1.0685      |    0.3546    |   0.5318   | 0.4255  |
[ 18 /300 ]    | -1.0946  | -0.1640  |  0.9299  |     1.1428      |    0.3630    |   0.5090   | 0.4238  |
[ 19 /300 ]    | -1.0768  | -0.2089  |  0.9360  |     1.1167      |    0.3606    |   0.5434   | 0.4335  |
[ 20 /300 ]    | -1.0586  | -0.1937  |  0.9346  |     1.0967      |    0.3707    |   0.5192   | 0.4326  |
[ 21 /300 ]    | -1.0329  | -0.3296  |  0.9391  |     1.0765      |    0.3643    |   0.5401   | 0.4351  |
[ 22 /300 ]    | -1.0228  | -0.2228  |  0.9443  |     1.0616      |    0.3847    |   0.5083   | 0.4380  |
[ 23 /300 ]    | -1.0291  | -0.5526  |  0.9434  |     1.0701      |    0.3816    |   0.5309   | 0.4440  |
[ 24 /300 ]    | -1.0272  | -0.4603  |  0.9457  |     1.0606      |    0.3767    |   0.5323   | 0.4412  |
[ 25 /300 ]    | -0.9928  | -0.6760  |  0.9455  |     1.0363      |    0.3898    |   0.5384   | 0.4522  |
[ 26 /300 ]    | -0.9902  | -0.6072  |  0.9470  |     1.0333      |    0.3999    |   0.5261   | 0.4544  |
[ 27 /300 ]    | -1.0129  | -0.7787  |  0.9446  |     1.0516      |    0.3912    |   0.5379   | 0.4530  |
[ 28 /300 ]    | -1.0062  | -0.7647  |  0.9492  |     1.0398      |    0.4071    |   0.5323   | 0.4613  |
[ 29 /300 ]    | -0.9603  | -0.9933  |  0.9523  |     0.9944      |    0.4192    |   0.5138   | 0.4617  |
[ 30 /300 ]    | -0.9916  | -1.0846  |  0.9536  |     1.0311      |    0.4071    |   0.5207   | 0.4569  |
[ 31 /300 ]    | -0.9613  | -1.3042  |  0.9545  |     0.9877      |    0.4139    |   0.5265   | 0.4635  |
[ 32 /300 ]    | -0.8925  | -1.3128  |  0.9572  |     0.9276      |    0.4136    |   0.5245   | 0.4625  |
[ 33 /300 ]    | -1.0109  | -1.4660  |  0.9539  |     1.0477      |    0.4191    |   0.5270   | 0.4669  |
[ 34 /300 ]    | -0.9750  | -1.4826  |  0.9587  |     1.0176      |    0.4130    |   0.5173   | 0.4593  |
[ 35 /300 ]    | -0.9622  | -1.6162  |  0.9562  |     0.9988      |    0.4065    |   0.5225   | 0.4573  |
[ 36 /300 ]    | -0.9197  | -1.6036  |  0.9570  |     0.9569      |    0.4188    |   0.5119   | 0.4607  |
[ 37 /300 ]    | -0.9509  | -1.7394  |  0.9597  |     0.9847      |    0.4245    |   0.5023   | 0.4602  |
[ 38 /300 ]    | -0.9871  | -1.8658  |  0.9620  |     1.0175      |    0.4359    |   0.4937   | 0.4630  |
[ 39 /300 ]    | -1.0598  | -1.9088  |  0.9599  |     1.1127      |    0.4137    |   0.5215   | 0.4614  |
[ 40 /300 ]    | -0.9721  | -1.8473  |  0.9613  |     1.0136      |    0.4293    |   0.5262   | 0.4728  |
[ 41 /300 ]    | -0.9521  | -2.0146  |  0.9633  |     1.0006      |    0.4169    |   0.5250   | 0.4647  |
[ 42 /300 ]    | -1.0124  | -2.2636  |  0.9645  |     1.0705      |    0.4234    |   0.5252   | 0.4689  |
[ 43 /300 ]    | -0.9796  | -2.0510  |  0.9654  |     1.0226      |    0.4371    |   0.4979   | 0.4655  |
[ 44 /300 ]    | -0.9951  | -2.2057  |  0.9652  |     1.0425      |    0.4304    |   0.5239   | 0.4725  |
[ 45 /300 ]    | -0.9532  | -2.2860  |  0.9667  |     0.9876      |    0.4342    |   0.5099   | 0.4690  |
[ 46 /300 ]    | -1.0263  | -2.3557  |  0.9677  |     1.0707      |    0.4291    |   0.5262   | 0.4727  |
[ 47 /300 ]    | -0.9408  | -2.2680  |  0.9675  |     0.9871      |    0.4197    |   0.5352   | 0.4705  |
[ 48 /300 ]    | -0.9751  | -2.5543  |  0.9696  |     1.0085      |    0.4342    |   0.5140   | 0.4707  |
[ 49 /300 ]    | -0.9542  | -2.4878  |  0.9674  |     0.9863      |    0.4488    |   0.5213   | 0.4823  |
[ 50 /300 ]    | -0.8672  | -2.3277  |  0.9676  |     0.9032      |    0.4343    |   0.5223   | 0.4743  |
[ 51 /300 ]    | -0.9402  | -2.6011  |  0.9676  |     0.9798      |    0.4443    |   0.5364   | 0.4860  |
[ 52 /300 ]    | -0.8610  | -2.5482  |  0.9689  |     0.8958      |    0.4415    |   0.5335   | 0.4832  |
[ 53 /300 ]    | -0.9948  | -2.6063  |  0.9704  |     1.0253      |    0.4399    |   0.5285   | 0.4802  |
[ 54 /300 ]    | -0.9516  | -2.5533  |  0.9709  |     0.9866      |    0.4450    |   0.5304   | 0.4840  |
[ 55 /300 ]    | -0.9699  | -2.7171  |  0.9723  |     1.0165      |    0.4394    |   0.5448   | 0.4865  |
[ 56 /300 ]    | -0.9679  | -2.7294  |  0.9716  |     1.0104      |    0.4560    |   0.5193   | 0.4856  |
[ 57 /300 ]    | -0.9124  | -2.7001  |  0.9729  |     0.9485      |    0.4455    |   0.5463   | 0.4908  |
[ 58 /300 ]    | -0.9592  | -2.6850  |  0.9748  |     1.0097      |    0.4628    |   0.5284   | 0.4934  |
[ 59 /300 ]    | -0.8824  | -2.8288  |  0.9737  |     0.9213      |    0.4487    |   0.5570   | 0.4970  |
[ 60 /300 ]    | -0.9400  | -2.8342  |  0.9766  |     0.9880      |    0.4487    |   0.5489   | 0.4938  |
[ 61 /300 ]    | -0.9187  | -2.7657  |  0.9730  |     0.9638      |    0.4563    |   0.5458   | 0.4971  |
[ 62 /300 ]    | -0.9127  | -2.8804  |  0.9743  |     0.9562      |    0.4515    |   0.5563   | 0.4985  |
[ 63 /300 ]    | -1.0094  | -2.9609  |  0.9753  |     1.0623      |    0.4664    |   0.5295   | 0.4959  |
[ 64 /300 ]    | -0.9363  | -3.0627  |  0.9750  |     0.9689      |    0.4548    |   0.5507   | 0.4982  |
[ 65 /300 ]    | -0.9423  | -2.9227  |  0.9755  |     0.9827      |    0.4600    |   0.5511   | 0.5015  |
[ 66 /300 ]    | -1.0643  | -2.9938  |  0.9758  |     1.1011      |    0.4653    |   0.5356   | 0.4980  |
[ 67 /300 ]    | -0.9249  | -2.8968  |  0.9760  |     0.9661      |    0.4606    |   0.5587   | 0.5049  |
[ 68 /300 ]    | -0.9063  | -3.0468  |  0.9759  |     0.9546      |    0.4548    |   0.5618   | 0.5026  |
[ 69 /300 ]    | -0.9645  | -2.9550  |  0.9785  |     0.9984      |    0.4531    |   0.5604   | 0.5011  |
[ 70 /300 ]    | -0.8684  | -2.9854  |  0.9780  |     0.9152      |    0.4505    |   0.5565   | 0.4980  |
[ 71 /300 ]    | -0.9848  | -3.1004  |  0.9777  |     1.0274      |    0.4700    |   0.5354   | 0.5006  |
[ 72 /300 ]    | -0.9614  | -3.2466  |  0.9762  |     1.0001      |    0.4630    |   0.5554   | 0.5050  |
[ 73 /300 ]    | -0.9633  | -2.8187  |  0.9769  |     1.0159      |    0.4887    |   0.5203   | 0.5040  |
[ 74 /300 ]    | -0.8809  | -3.1184  |  0.9770  |     0.9286      |    0.4657    |   0.5583   | 0.5078  |
[ 75 /300 ]    | -0.9546  | -3.0818  |  0.9778  |     0.9989      |    0.4549    |   0.5594   | 0.5018  |
[ 76 /300 ]    | -0.9460  | -2.8763  |  0.9785  |     0.9786      |    0.4744    |   0.5505   | 0.5096  |
[ 77 /300 ]    | -1.0190  | -2.8817  |  0.9793  |     1.0499      |    0.4484    |   0.5693   | 0.5017  |
[ 78 /300 ]    | -1.0817  | -3.0508  |  0.9800  |     1.1206      |    0.4538    |   0.5664   | 0.5039  |
[ 79 /300 ]    | -0.9486  | -3.1604  |  0.9801  |     0.9876      |    0.4625    |   0.5635   | 0.5080  |
[ 80 /300 ]    | -0.9585  | -3.1635  |  0.9795  |     1.0116      |    0.4495    |   0.5682   | 0.5019  |
[ 81 /300 ]    | -0.9823  | -3.3104  |  0.9797  |     1.0365      |    0.4527    |   0.5673   | 0.5035  |
