Namespace(att_size=312, batch_size=2048, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='CUB', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=3483, matdataset=True, nclass_all=200, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=312, outf='./checkpoint/', outname='cub', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=3, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=800, val_every=1, validation=False, workers=2)
Random Seed:  3483
# of training samples:  7057
MLP_G(
  (fc1): Linear(in_features=624, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2360, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_3HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=312)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -2.7523  |  3.8190  |  0.4852  |     2.9073      |    0.0121    |   0.2696   | 0.0232  |
[ 2  /300 ]    | -0.8868  |  0.9562  |  0.5934  |     0.8995      |    0.0168    |   0.0363   | 0.0229  |
[ 3  /300 ]    | -0.5365  | -0.1203  |  0.6443  |     0.5439      |    0.0189    |   0.0427   | 0.0262  |
[ 4  /300 ]    | -0.8875  | -0.3713  |  0.6699  |     0.9004      |    0.0174    |   0.0494   | 0.0258  |
[ 5  /300 ]    | -1.1076  | -0.4935  |  0.6881  |     1.1236      |    0.0132    |   0.3094   | 0.0252  |
[ 6  /300 ]    | -1.1338  | -0.6518  |  0.6982  |     1.1459      |    0.0229    |   0.0304   | 0.0261  |
[ 7  /300 ]    | -1.2314  | -0.4672  |  0.7046  |     1.2455      |    0.0267    |   0.0326   | 0.0294  |
[ 8  /300 ]    | -1.4083  | -0.4100  |  0.7114  |     1.4265      |    0.0182    |   0.2568   | 0.0340  |
[ 9  /300 ]    | -1.5060  | -0.4435  |  0.7148  |     1.5269      |    0.0259    |   0.2481   | 0.0468  |
[ 10 /300 ]    | -1.6356  | -0.4401  |  0.7187  |     1.6697      |    0.0320    |   0.2412   | 0.0565  |
[ 11 /300 ]    | -1.7668  | -0.2869  |  0.7209  |     1.8190      |    0.0228    |   0.4085   | 0.0432  |
[ 12 /300 ]    | -1.8696  | -0.3900  |  0.7304  |     1.9150      |    0.0211    |   0.2179   | 0.0386  |
[ 13 /300 ]    | -1.9825  | -0.2376  |  0.7346  |     2.0639      |    0.0325    |   0.2301   | 0.0570  |
[ 14 /300 ]    | -2.0645  | -0.3124  |  0.7316  |     2.1323      |    0.0277    |   0.2238   | 0.0493  |
[ 15 /300 ]    | -2.0877  | -0.2207  |  0.7373  |     2.2395      |    0.0273    |   0.4213   | 0.0514  |
[ 16 /300 ]    | -2.1380  | -0.3655  |  0.7410  |     2.2326      |    0.0416    |   0.2705   | 0.0721  |
[ 17 /300 ]    | -2.1367  | -0.3682  |  0.7411  |     2.2274      |    0.0485    |   0.0783   | 0.0599  |
[ 18 /300 ]    | -2.1734  | -0.3368  |  0.7415  |     2.2764      |    0.0511    |   0.1156   | 0.0709  |
[ 19 /300 ]    | -2.1574  | -0.3859  |  0.7430  |     2.2317      |    0.0297    |   0.3563   | 0.0548  |
[ 20 /300 ]    | -2.1856  | -0.3819  |  0.7442  |     2.2911      |    0.0425    |   0.3587   | 0.0760  |
[ 21 /300 ]    | -2.1710  | -0.4845  |  0.7483  |     2.2242      |    0.0486    |   0.1288   | 0.0706  |
[ 22 /300 ]    | -2.1932  | -0.4096  |  0.7493  |     2.3073      |    0.0446    |   0.3564   | 0.0793  |
[ 23 /300 ]    | -2.2122  | -0.3857  |  0.7493  |     2.3632      |    0.0394    |   0.3432   | 0.0707  |
[ 24 /300 ]    | -2.1964  | -0.4524  |  0.7487  |     2.2734      |    0.0718    |   0.0930   | 0.0811  |
[ 25 /300 ]    | -2.2055  | -0.4300  |  0.7522  |     2.3300      |    0.0788    |   0.0903   | 0.0841  |
[ 26 /300 ]    | -2.2014  | -0.5026  |  0.7514  |     2.2801      |    0.0694    |   0.3193   | 0.1140  |
[ 27 /300 ]    | -2.1808  | -0.4792  |  0.7499  |     2.2809      |    0.0610    |   0.2946   | 0.1011  |
[ 28 /300 ]    | -2.1678  | -0.4457  |  0.7548  |     2.2849      |    0.0542    |   0.2739   | 0.0905  |
[ 29 /300 ]    | -2.1578  | -0.4714  |  0.7544  |     2.2435      |    0.0674    |   0.2650   | 0.1075  |
[ 30 /300 ]    | -2.1360  | -0.4707  |  0.7561  |     2.2384      |    0.0829    |   0.2485   | 0.1243  |
[ 31 /300 ]    | -2.1305  | -0.4643  |  0.7552  |     2.2270      |    0.1132    |   0.2439   | 0.1546  |
[ 32 /300 ]    | -2.1141  | -0.4997  |  0.7553  |     2.1947      |    0.1084    |   0.2087   | 0.1427  |
[ 33 /300 ]    | -2.1005  | -0.4577  |  0.7572  |     2.2041      |    0.0890    |   0.2152   | 0.1259  |
[ 34 /300 ]    | -2.0534  | -0.5299  |  0.7582  |     2.1251      |    0.0978    |   0.1908   | 0.1293  |
[ 35 /300 ]    | -2.0359  | -0.4644  |  0.7564  |     2.1294      |    0.1130    |   0.1730   | 0.1367  |
[ 36 /300 ]    | -2.0200  | -0.5086  |  0.7585  |     2.0873      |    0.1216    |   0.1680   | 0.1411  |
[ 37 /300 ]    | -1.9787  | -0.3958  |  0.7610  |     2.0974      |    0.1265    |   0.3243   | 0.1820  |
[ 38 /300 ]    | -1.9781  | -0.4987  |  0.7633  |     2.0444      |    0.1050    |   0.3061   | 0.1564  |
[ 39 /300 ]    | -1.9395  | -0.4799  |  0.7630  |     2.0190      |    0.1268    |   0.2822   | 0.1750  |
[ 40 /300 ]    | -1.9229  | -0.4843  |  0.7677  |     2.0005      |    0.1358    |   0.2482   | 0.1756  |
