Namespace(attSize=1024, batch_size=2048, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.1, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='FLO', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=806, matdataset=True, nclass_all=102, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=1024, outf='./checkpoint/', outname='flowers', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=800, val_every=1, validation=False, workers=2)
Random Seed:  806
# of training samples:  5631
MLP_G(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=3072, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=1024)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -7.9903  | 10.9552  |  0.1817  |     9.1082      |    0.0443    |   0.0744   | 0.0555  |
[ 2  /300 ]    | -4.1863  |  4.8066  |  0.3160  |     4.4519      |    0.0663    |   0.0211   | 0.0321  |
[ 3  /300 ]    | -2.1424  |  1.4174  |  0.4860  |     2.1916      |    0.0378    |   0.1547   | 0.0607  |
[ 4  /300 ]    | -1.2896  | -0.4387  |  0.6302  |     1.2999      |    0.0316    |   0.2756   | 0.0568  |
[ 5  /300 ]    | -1.0395  | -1.3964  |  0.6754  |     1.0442      |    0.0440    |   0.0920   | 0.0595  |
[ 6  /300 ]    | -1.1375  | -1.5258  |  0.6908  |     1.1474      |    0.0340    |   0.2926   | 0.0609  |
[ 7  /300 ]    | -1.4103  | -1.4605  |  0.7007  |     1.4304      |    0.0396    |   0.1247   | 0.0601  |
[ 8  /300 ]    | -1.5213  | -1.6102  |  0.7083  |     1.5422      |    0.0714    |   0.1127   | 0.0874  |
[ 9  /300 ]    | -1.6776  | -1.5062  |  0.7114  |     1.7018      |    0.0454    |   0.4611   | 0.0827  |
[ 10 /300 ]    | -1.6362  | -1.7091  |  0.7142  |     1.6537      |    0.0575    |   0.2871   | 0.0958  |
[ 11 /300 ]    | -1.7235  | -1.5423  |  0.7140  |     1.7423      |    0.0417    |   0.2911   | 0.0729  |
[ 12 /300 ]    | -1.7757  | -1.3834  |  0.7175  |     1.7918      |    0.0526    |   0.0942   | 0.0675  |
[ 13 /300 ]    | -1.8228  | -1.4336  |  0.7176  |     1.8398      |    0.0308    |   0.2906   | 0.0558  |
[ 14 /300 ]    | -1.8836  | -1.4336  |  0.7177  |     1.9022      |    0.0519    |   0.2574   | 0.0864  |
[ 15 /300 ]    | -1.9864  | -1.3389  |  0.7196  |     2.0066      |    0.0422    |   0.5600   | 0.0784  |
[ 16 /300 ]    | -2.0024  | -1.3264  |  0.7213  |     2.0186      |    0.0503    |   0.4136   | 0.0897  |
[ 17 /300 ]    | -2.0773  | -1.2505  |  0.7198  |     2.0919      |    0.0486    |   0.2649   | 0.0821  |
[ 18 /300 ]    | -2.1404  | -1.2030  |  0.7219  |     2.1622      |    0.0405    |   0.5425   | 0.0753  |
[ 19 /300 ]    | -2.2215  | -1.1004  |  0.7206  |     2.2484      |    0.0541    |   0.2464   | 0.0887  |
[ 20 /300 ]    | -2.2519  | -1.1172  |  0.7208  |     2.2729      |    0.0637    |   0.5385   | 0.1139  |
