Namespace(att_size=1024, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.1, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='FLO', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=806, matdataset=True, nclass_all=102, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=1024, outf='./checkpoint/', outname='flowers', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=800, val_every=1, validation=False, workers=2)
Random Seed:  806
# of training samples:  5631
MLP_G(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=3072, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=1024)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -1.5357  |  0.2119  |  0.5912  |     1.5557      |    0.0594    |   0.3086   | 0.0996  |
[ 2  /300 ]    | -1.4416  | -1.4654  |  0.6982  |     1.4617      |    0.0346    |   0.3225   | 0.0624  |
[ 3  /300 ]    | -1.7141  | -1.4488  |  0.7131  |     1.7375      |    0.0483    |   0.2997   | 0.0833  |
[ 4  /300 ]    | -1.9146  | -1.3974  |  0.7186  |     1.9311      |    0.0381    |   0.1020   | 0.0554  |
[ 5  /300 ]    | -2.1459  | -1.1594  |  0.7172  |     2.1746      |    0.0371    |   0.4147   | 0.0682  |
[ 6  /300 ]    | -2.3399  | -1.0102  |  0.7223  |     2.3952      |    0.0505    |   0.4090   | 0.0899  |
[ 7  /300 ]    | -2.3639  | -0.9429  |  0.7231  |     2.4785      |    0.0534    |   0.3185   | 0.0914  |
[ 8  /300 ]    | -2.4223  | -0.9126  |  0.7223  |     2.5802      |    0.0253    |   0.2198   | 0.0453  |
[ 9  /300 ]    | -2.4859  | -0.8510  |  0.7258  |     2.6765      |    0.0538    |   0.3032   | 0.0914  |
[ 10 /300 ]    | -2.5483  | -0.8067  |  0.7229  |     2.7503      |    0.0172    |   0.4770   | 0.0332  |
[ 11 /300 ]    | -2.5980  | -0.8632  |  0.7229  |     2.7551      |    0.0282    |   0.6064   | 0.0539  |
[ 12 /300 ]    | -2.6429  | -0.8469  |  0.7246  |     2.8311      |    0.0317    |   0.2515   | 0.0563  |
[ 13 /300 ]    | -2.6744  | -0.8663  |  0.7220  |     2.8012      |    0.0448    |   0.2209   | 0.0744  |
[ 14 /300 ]    | -2.7097  | -0.8602  |  0.7220  |     2.8010      |    0.0610    |   0.1987   | 0.0933  |
[ 15 /300 ]    | -2.6724  | -0.8800  |  0.7218  |     2.7473      |    0.0463    |   0.3929   | 0.0828  |
