Namespace(attSize=102, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='SUN', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=0.0002, manualSeed=4115, matdataset=True, nclass_all=717, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=102, outf='./checkpoint/', outname='sun', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=600, val_every=1, validation=False, workers=2)
Random Seed:  4115
# of training samples:  10320
MLP_G(
  (fc1): Linear(in_features=204, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2150, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=102)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -0.8625  | -0.1612  |  0.6565  |     0.8976      |    0.0208    |   0.0953   | 0.0342  |
[ 2  /300 ]    | -1.2916  | -0.3214  |  0.7122  |     1.3439      |    0.0250    |   0.2795   | 0.0459  |
[ 3  /300 ]    | -1.7390  |  0.0201  |  0.6354  |     1.9070      |    0.0299    |   0.3171   | 0.0546  |
[ 4  /300 ]    | -1.7295  | -0.1598  |  0.8139  |     1.8276      |    0.0535    |   0.1337   | 0.0764  |
[ 5  /300 ]    | -1.5467  | -0.1762  |  0.8059  |     1.6382      |    0.0722    |   0.2031   | 0.1066  |
[ 6  /300 ]    | -1.3035  | -0.2305  |  0.7935  |     1.3591      |    0.0924    |   0.1725   | 0.1203  |
[ 7  /300 ]    | -1.1523  | -0.6203  |  0.8258  |     1.1711      |    0.1111    |   0.2415   | 0.1522  |
[ 8  /300 ]    | -0.8574  | -0.3384  |  0.8338  |     0.8874      |    0.1285    |   0.2508   | 0.1699  |
[ 9  /300 ]    | -0.7809  | -0.3227  |  0.8338  |     0.8121      |    0.1771    |   0.2050   | 0.1900  |
[ 10 /300 ]    | -0.8067  | -0.3529  |  0.8296  |     0.8397      |    0.1708    |   0.2628   | 0.2071  |
[ 11 /300 ]    | -0.8089  | -0.2536  |  0.8488  |     0.8427      |    0.2076    |   0.2422   | 0.2236  |
[ 12 /300 ]    | -0.8300  | -0.3080  |  0.8520  |     0.8593      |    0.2264    |   0.2531   | 0.2390  |
[ 13 /300 ]    | -0.8212  | -0.2334  |  0.8505  |     0.8439      |    0.2007    |   0.3043   | 0.2419  |
[ 14 /300 ]    | -0.7834  | -0.3604  |  0.8606  |     0.8050      |    0.2326    |   0.2860   | 0.2566  |
[ 15 /300 ]    | -0.7908  | -0.1863  |  0.8615  |     0.8148      |    0.2562    |   0.2585   | 0.2574  |
