Namespace(att_size=102, batch_size=256, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='SUN', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=0.0002, manualSeed=4115, matdataset=True, nclass_all=717, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=102, outf='./checkpoint/', outname='sun', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=600, val_every=1, validation=False, workers=2)
Random Seed:  4115
# of training samples:  10320
MLP_G(
  (fc1): Linear(in_features=204, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2150, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=102)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -1.7535  | -0.1278  |  0.7871  |     1.8645      |    0.0681    |   0.1512   | 0.0939  |
[ 2  /300 ]    | -1.2242  | -0.1858  |  0.8181  |     1.2656      |    0.1014    |   0.1500   | 0.1210  |
[ 3  /300 ]    | -0.8199  | -0.3051  |  0.8293  |     0.8856      |    0.1542    |   0.2806   | 0.1990  |
[ 4  /300 ]    | -1.1789  | -0.6604  |  0.8200  |     1.2056      |    0.1806    |   0.2516   | 0.2102  |
[ 5  /300 ]    | -0.7429  | -0.2198  |  0.8681  |     0.7588      |    0.2472    |   0.2651   | 0.2559  |
[ 6  /300 ]    | -0.6751  | -0.1750  |  0.8902  |     0.7088      |    0.2486    |   0.2833   | 0.2648  |
[ 7  /300 ]    | -0.6544  | -0.4506  |  0.9076  |     0.6757      |    0.2806    |   0.3035   | 0.2916  |
[ 8  /300 ]    | -0.6393  | -0.4307  |  0.9131  |     0.6619      |    0.2931    |   0.3116   | 0.3021  |
[ 9  /300 ]    | -0.7314  | -0.3608  |  0.9184  |     0.7528      |    0.3090    |   0.3174   | 0.3132  |
[ 10 /300 ]    | -0.6905  | -0.4293  |  0.9233  |     0.7069      |    0.3229    |   0.3136   | 0.3182  |
[ 11 /300 ]    | -0.7183  | -0.4137  |  0.9248  |     0.7342      |    0.3403    |   0.3000   | 0.3189  |
[ 12 /300 ]    | -0.7580  | -0.0979  |  0.9303  |     0.7870      |    0.3264    |   0.3353   | 0.3308  |
[ 13 /300 ]    | -0.5210  | -0.3755  |  0.9330  |     0.5272      |    0.3618    |   0.3178   | 0.3384  |
[ 14 /300 ]    | -0.5338  | -0.6421  |  0.9356  |     0.5467      |    0.3674    |   0.3233   | 0.3439  |
[ 15 /300 ]    | -0.5740  | -0.9922  |  0.9379  |     0.5936      |    0.3743    |   0.3163   | 0.3429  |
[ 16 /300 ]    | -0.6267  | -0.7766  |  0.9394  |     0.6536      |    0.3722    |   0.3016   | 0.3332  |
[ 17 /300 ]    | -0.6449  | -0.9453  |  0.9411  |     0.6719      |    0.3472    |   0.3078   | 0.3263  |
[ 18 /300 ]    | -0.6648  | -0.8323  |  0.9428  |     0.6941      |    0.3562    |   0.3027   | 0.3273  |
[ 19 /300 ]    | -0.6681  | -0.7176  |  0.9431  |     0.6978      |    0.3701    |   0.3097   | 0.3372  |
[ 20 /300 ]    | -0.7312  | -0.6434  |  0.9459  |     0.7663      |    0.3764    |   0.2922   | 0.3290  |
[ 21 /300 ]    | -0.7594  | -0.7231  |  0.9428  |     0.7930      |    0.3875    |   0.3054   | 0.3416  |
[ 22 /300 ]    | -0.7456  | -0.7813  |  0.9435  |     0.7806      |    0.4035    |   0.3062   | 0.3482  |
[ 23 /300 ]    | -0.7408  | -0.8426  |  0.9459  |     0.7744      |    0.4035    |   0.3171   | 0.3551  |
[ 24 /300 ]    | -0.7799  | -0.7555  |  0.9475  |     0.8137      |    0.4111    |   0.3062   | 0.3510  |
[ 25 /300 ]    | -0.8001  | -0.8779  |  0.9479  |     0.8356      |    0.4167    |   0.3066   | 0.3533  |
[ 26 /300 ]    | -0.7834  | -0.9512  |  0.9495  |     0.8132      |    0.4208    |   0.3174   | 0.3619  |
[ 27 /300 ]    | -0.8551  | -0.8863  |  0.9496  |     0.8846      |    0.4486    |   0.3027   | 0.3615  |
[ 28 /300 ]    | -0.8227  | -0.9382  |  0.9529  |     0.8614      |    0.4236    |   0.3116   | 0.3591  |
[ 29 /300 ]    | -0.8897  | -1.0414  |  0.9526  |     0.9290      |    0.4451    |   0.3163   | 0.3698  |
[ 30 /300 ]    | -0.8095  | -1.1036  |  0.9518  |     0.8580      |    0.4403    |   0.3109   | 0.3644  |
[ 31 /300 ]    | -0.8535  | -1.0867  |  0.9533  |     0.8871      |    0.4556    |   0.3081   | 0.3676  |
[ 32 /300 ]    | -0.8577  | -0.9659  |  0.9527  |     0.9003      |    0.4542    |   0.3112   | 0.3694  |
[ 33 /300 ]    | -0.8722  | -0.9831  |  0.9540  |     0.9096      |    0.4486    |   0.3163   | 0.3710  |
[ 34 /300 ]    | -0.8753  | -1.1670  |  0.9537  |     0.9312      |    0.4382    |   0.3233   | 0.3721  |
[ 35 /300 ]    | -0.9141  | -1.2383  |  0.9557  |     0.9544      |    0.4389    |   0.3194   | 0.3697  |
[ 36 /300 ]    | -0.7302  | -0.6200  |  0.9548  |     0.7443      |    0.3951    |   0.3516   | 0.3721  |
[ 37 /300 ]    | -0.5812  | -1.2821  |  0.9579  |     0.5965      |    0.4014    |   0.3488   | 0.3733  |
[ 38 /300 ]    | -0.6045  | -1.3570  |  0.9578  |     0.6254      |    0.4278    |   0.3411   | 0.3795  |
[ 39 /300 ]    | -0.6940  | -1.4828  |  0.9582  |     0.7237      |    0.4201    |   0.3453   | 0.3791  |
[ 40 /300 ]    | -0.7697  | -1.5037  |  0.9564  |     0.8062      |    0.4424    |   0.3236   | 0.3738  |
[ 41 /300 ]    | -0.8113  | -1.3586  |  0.9568  |     0.8481      |    0.4500    |   0.3178   | 0.3725  |
[ 42 /300 ]    | -0.8542  | -1.1736  |  0.9583  |     0.8987      |    0.4306    |   0.3298   | 0.3735  |
[ 43 /300 ]    | -0.8298  | -1.1740  |  0.9568  |     0.8674      |    0.4472    |   0.3233   | 0.3753  |
[ 44 /300 ]    | -0.8092  | -1.2052  |  0.9588  |     0.8511      |    0.4382    |   0.3217   | 0.3710  |
[ 45 /300 ]    | -0.8650  | -1.2022  |  0.9594  |     0.9008      |    0.4285    |   0.3349   | 0.3759  |
[ 46 /300 ]    | -0.8577  | -1.3537  |  0.9592  |     0.8943      |    0.4333    |   0.3291   | 0.3741  |
[ 47 /300 ]    | -0.8869  | -1.3294  |  0.9591  |     0.9306      |    0.4431    |   0.3244   | 0.3746  |
[ 48 /300 ]    | -0.8564  | -1.0623  |  0.9597  |     0.9079      |    0.4319    |   0.3388   | 0.3797  |
[ 49 /300 ]    | -0.8657  | -1.3420  |  0.9595  |     0.9048      |    0.4306    |   0.3326   | 0.3753  |
[ 50 /300 ]    | -0.8494  | -1.2998  |  0.9599  |     0.8974      |    0.4243    |   0.3388   | 0.3767  |
[ 51 /300 ]    | -0.8543  | -1.4065  |  0.9587  |     0.8972      |    0.4396    |   0.3337   | 0.3794  |
[ 52 /300 ]    | -0.8675  | -1.2238  |  0.9619  |     0.9133      |    0.4333    |   0.3407   | 0.3815  |
[ 53 /300 ]    | -0.8465  | -1.3374  |  0.9602  |     0.8803      |    0.4306    |   0.3453   | 0.3833  |
[ 54 /300 ]    | -0.9134  | -1.3574  |  0.9615  |     0.9603      |    0.4201    |   0.3426   | 0.3774  |
[ 55 /300 ]    | -0.8961  | -1.4169  |  0.9594  |     0.9296      |    0.4257    |   0.3438   | 0.3804  |
[ 56 /300 ]    | -0.8884  | -1.2482  |  0.9624  |     0.9243      |    0.4424    |   0.3353   | 0.3814  |
[ 57 /300 ]    | -0.8908  | -1.5470  |  0.9613  |     0.9166      |    0.4236    |   0.3570   | 0.3874  |
[ 58 /300 ]    | -0.8473  | -1.4818  |  0.9623  |     0.8894      |    0.4271    |   0.3434   | 0.3807  |
[ 59 /300 ]    | -0.9114  | -1.4650  |  0.9635  |     0.9381      |    0.4326    |   0.3368   | 0.3788  |
[ 60 /300 ]    | -0.9421  | -1.4671  |  0.9637  |     0.9772      |    0.4458    |   0.3419   | 0.3870  |
[ 61 /300 ]    | -0.9315  | -1.4685  |  0.9620  |     0.9702      |    0.4326    |   0.3566   | 0.3909  |
[ 62 /300 ]    | -0.8829  | -1.5260  |  0.9615  |     0.9303      |    0.4271    |   0.3516   | 0.3857  |
[ 63 /300 ]    | -0.9141  | -1.5497  |  0.9633  |     0.9464      |    0.4090    |   0.3620   | 0.3841  |
[ 64 /300 ]    | -0.8893  | -1.2827  |  0.9636  |     0.9313      |    0.4368    |   0.3488   | 0.3879  |
[ 65 /300 ]    | -0.5696  | -1.5011  |  0.9641  |     0.5829      |    0.4250    |   0.3508   | 0.3843  |
[ 66 /300 ]    | -0.5769  | -1.5466  |  0.9632  |     0.5897      |    0.4160    |   0.3632   | 0.3878  |
[ 67 /300 ]    | -0.6942  | -1.3220  |  0.9643  |     0.7133      |    0.4479    |   0.3434   | 0.3888  |
[ 68 /300 ]    | -0.7875  | -1.4783  |  0.9650  |     0.8179      |    0.4590    |   0.3388   | 0.3898  |
[ 69 /300 ]    | -0.8466  | -1.5891  |  0.9640  |     0.8830      |    0.4167    |   0.3705   | 0.3923  |
[ 70 /300 ]    | -0.8530  | -1.5404  |  0.9614  |     0.8996      |    0.4278    |   0.3527   | 0.3866  |
[ 71 /300 ]    | -0.8971  | -1.4842  |  0.9643  |     0.9334      |    0.4222    |   0.3578   | 0.3873  |
[ 72 /300 ]    | -0.8856  | -1.5612  |  0.9644  |     0.9286      |    0.4299    |   0.3550   | 0.3889  |
[ 73 /300 ]    | -0.8811  | -1.3063  |  0.9634  |     0.9254      |    0.4507    |   0.3345   | 0.3840  |
[ 74 /300 ]    | -0.8994  | -1.6085  |  0.9643  |     0.9427      |    0.4417    |   0.3422   | 0.3857  |
[ 75 /300 ]    | -0.8851  | -1.3667  |  0.9639  |     0.9211      |    0.4549    |   0.3310   | 0.3832  |
[ 76 /300 ]    | -0.9014  | -1.5684  |  0.9648  |     0.9441      |    0.4097    |   0.3756   | 0.3919  |
[ 77 /300 ]    | -0.8760  | -1.4935  |  0.9634  |     0.9088      |    0.4361    |   0.3554   | 0.3917  |
[ 78 /300 ]    | -0.8921  | -1.3390  |  0.9667  |     0.9444      |    0.4132    |   0.3605   | 0.3850  |
[ 79 /300 ]    | -0.9217  | -1.4248  |  0.9655  |     0.9719      |    0.4306    |   0.3465   | 0.3840  |
[ 80 /300 ]    | -0.8672  | -1.4674  |  0.9645  |     0.9054      |    0.4472    |   0.3422   | 0.3878  |
[ 81 /300 ]    | -0.9025  | -1.5617  |  0.9649  |     0.9439      |    0.4382    |   0.3391   | 0.3824  |
[ 82 /300 ]    | -0.9131  | -1.5569  |  0.9660  |     0.9674      |    0.4292    |   0.3535   | 0.3877  |
[ 83 /300 ]    | -0.8981  | -1.2651  |  0.9666  |     0.9484      |    0.4257    |   0.3585   | 0.3892  |
[ 84 /300 ]    | -0.9289  | -1.5779  |  0.9664  |     0.9829      |    0.4396    |   0.3419   | 0.3846  |
[ 85 /300 ]    | -0.9111  | -1.7099  |  0.9665  |     0.9488      |    0.4222    |   0.3554   | 0.3860  |
[ 86 /300 ]    | -0.8590  | -1.4720  |  0.9650  |     0.9307      |    0.4569    |   0.3360   | 0.3873  |
[ 87 /300 ]    | -0.9202  | -1.4868  |  0.9661  |     0.9688      |    0.4160    |   0.3667   | 0.3898  |
[ 88 /300 ]    | -0.8362  | -1.5599  |  0.9650  |     0.9283      |    0.4264    |   0.3620   | 0.3916  |
