Namespace(attSize=64, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='APY', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=1995, matdataset=True, nclass_all=32, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=64, outf='./checkpoint/', outname='apy', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=2, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=1400, val_every=1, validation=False, workers=2)
Random Seed:  1995
# of training samples:  5932
MLP_G(
  (fc1): Linear(in_features=128, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2112, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_2HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=64)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -0.7787  |  0.6967  |  0.4089  |     0.7960      |    0.0759    |   0.1075   | 0.0889  |
[ 2  /300 ]    | -0.9448  |  0.8959  |  0.4775  |     0.9769      |    0.0431    |   0.3554   | 0.0769  |
[ 3  /300 ]    | -0.7340  |  0.7159  |  0.5104  |     0.7517      |    0.0486    |   0.2597   | 0.0819  |
[ 4  /300 ]    | -0.4944  |  0.5200  |  0.5179  |     0.5003      |    0.0589    |   0.4535   | 0.1043  |
[ 5  /300 ]    | -0.2782  |  0.4510  |  0.5264  |     0.2812      |    0.0980    |   0.4229   | 0.1591  |
[ 6  /300 ]    | -0.2058  |  0.4253  |  0.5400  |     0.2083      |    0.1229    |   0.1638   | 0.1405  |
[ 7  /300 ]    | -0.2311  |  0.3372  |  0.5530  |     0.2335      |    0.1019    |   0.1924   | 0.1333  |
[ 8  /300 ]    | -0.3375  |  0.2118  |  0.5642  |     0.3406      |    0.0594    |   0.4499   | 0.1050  |
[ 9  /300 ]    | -0.4953  |  0.0730  |  0.5870  |     0.5004      |    0.0756    |   0.4805   | 0.1306  |
[ 10 /300 ]    | -0.6923  |  0.0391  |  0.5985  |     0.7008      |    0.1023    |   0.2334   | 0.1422  |
[ 11 /300 ]    | -0.8270  |  0.0030  |  0.6105  |     0.8449      |    0.1581    |   0.2196   | 0.1838  |
[ 12 /300 ]    | -0.9705  | -0.0203  |  0.6362  |     0.9989      |    0.1341    |   0.1952   | 0.1590  |
[ 13 /300 ]    | -1.0619  | -0.0192  |  0.6456  |     1.1057      |    0.1084    |   0.1923   | 0.1387  |
