Namespace(att_size=64, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='APY', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=1995, matdataset=True, nclass_all=32, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=64, outf='./checkpoint/', outname='apy', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=2, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=1500, val_every=1, validation=False, workers=2)
Random Seed:  1995
# of training samples:  5932
MLP_G(
  (fc1): Linear(in_features=128, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2112, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_2HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=64)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -0.7787  |  0.6967  |  0.4089  |     0.7960      |    0.0769    |   0.0584   | 0.0664  |
[ 2  /300 ]    | -0.9534  |  0.8913  |  0.4857  |     0.9851      |    0.0521    |   0.2585   | 0.0867  |
[ 3  /300 ]    | -0.7379  |  0.7172  |  0.5052  |     0.7557      |    0.0792    |   0.1923   | 0.1122  |
[ 4  /300 ]    | -0.4835  |  0.5356  |  0.5137  |     0.4906      |    0.0665    |   0.1236   | 0.0864  |
[ 5  /300 ]    | -0.2699  |  0.4364  |  0.5196  |     0.2729      |    0.0866    |   0.3390   | 0.1380  |
[ 6  /300 ]    | -0.2116  |  0.4148  |  0.5477  |     0.2140      |    0.0769    |   0.3724   | 0.1274  |
[ 7  /300 ]    | -0.2412  |  0.3550  |  0.5529  |     0.2443      |    0.0692    |   0.3860   | 0.1174  |
[ 8  /300 ]    | -0.3329  |  0.1841  |  0.5614  |     0.3361      |    0.0934    |   0.3878   | 0.1506  |
[ 9  /300 ]    | -0.4963  |  0.0978  |  0.5829  |     0.5010      |    0.0988    |   0.4062   | 0.1589  |
[ 10 /300 ]    | -0.6779  |  0.0067  |  0.5927  |     0.6874      |    0.1006    |   0.1416   | 0.1176  |
[ 11 /300 ]    | -0.8254  |  0.0220  |  0.6194  |     0.8455      |    0.0961    |   0.4249   | 0.1568  |
[ 12 /300 ]    | -0.9729  | -0.0096  |  0.6336  |     1.0031      |    0.0856    |   0.3885   | 0.1403  |
[ 13 /300 ]    | -1.0776  | -0.0447  |  0.6528  |     1.1233      |    0.0718    |   0.3878   | 0.1212  |
