Namespace(attSize=85, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA1', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=9182, matdataset=True, nclass_all=50, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=85, outf='./checkpoint/', outname='awa', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=2600, val_every=1, validation=False, workers=2)
Random Seed:  9182
# of training samples:  19832
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -1.1901  |  1.4289  |  0.5899  |     1.2378      |    0.0586    |   0.5123   | 0.1052  |
[ 2  /300 ]    | -0.7206  |  0.8978  |  0.6571  |     0.7352      |    0.0927    |   0.3469   | 0.1463  |
[ 3  /300 ]    | -0.2816  |  0.4991  |  0.6953  |     0.2839      |    0.1006    |   0.2578   | 0.1448  |
[ 4  /300 ]    | -0.1577  |  0.2465  |  0.7167  |     0.1598      |    0.1084    |   0.2608   | 0.1532  |
[ 5  /300 ]    | -0.2421  |  0.0040  |  0.7338  |     0.2444      |    0.0971    |   0.2904   | 0.1456  |
[ 6  /300 ]    | -0.4368  | -0.1578  |  0.7371  |     0.4404      |    0.0743    |   0.3246   | 0.1210  |
[ 7  /300 ]    | -0.6526  | -0.1522  |  0.7506  |     0.6615      |    0.0988    |   0.5626   | 0.1680  |
[ 8  /300 ]    | -0.8251  | -0.1852  |  0.7536  |     0.8465      |    0.0853    |   0.3007   | 0.1329  |
[ 9  /300 ]    | -0.9770  | -0.1206  |  0.7594  |     1.0143      |    0.1156    |   0.5426   | 0.1906  |
[ 10 /300 ]    | -1.1025  | -0.1096  |  0.7634  |     1.1578      |    0.1335    |   0.2875   | 0.1823  |
[ 11 /300 ]    | -1.2899  | -0.0615  |  0.7656  |     1.3660      |    0.1077    |   0.2876   | 0.1567  |
[ 12 /300 ]    | -1.4634  | -0.0069  |  0.7713  |     1.5508      |    0.1117    |   0.2770   | 0.1592  |
[ 13 /300 ]    | -1.6102  |  0.0905  |  0.7720  |     1.7115      |    0.0808    |   0.5146   | 0.1396  |
[ 14 /300 ]    | -1.7154  |  0.1448  |  0.7762  |     1.8223      |    0.1042    |   0.6144   | 0.1781  |
[ 15 /300 ]    | -1.8144  |  0.1674  |  0.7760  |     1.9296      |    0.1510    |   0.5254   | 0.2346  |
[ 16 /300 ]    | -1.8601  |  0.1792  |  0.7794  |     1.9718      |    0.1361    |   0.2969   | 0.1866  |
[ 17 /300 ]    | -1.9047  |  0.1853  |  0.7764  |     2.0110      |    0.1716    |   0.3140   | 0.2219  |
[ 18 /300 ]    | -1.9427  |  0.1768  |  0.7825  |     2.0485      |    0.0974    |   0.5511   | 0.1655  |
[ 19 /300 ]    | -1.9649  |  0.1699  |  0.7813  |     2.0698      |    0.1286    |   0.5544   | 0.2088  |
[ 20 /300 ]    | -1.9656  |  0.1519  |  0.7802  |     2.0689      |    0.1492    |   0.3593   | 0.2108  |
[ 21 /300 ]    | -1.9533  |  0.1276  |  0.7838  |     2.0638      |    0.1302    |   0.3592   | 0.1911  |
[ 22 /300 ]    | -1.9663  |  0.1175  |  0.7792  |     2.0688      |    0.1341    |   0.3501   | 0.1939  |
[ 23 /300 ]    | -1.9326  |  0.0880  |  0.7848  |     2.0364      |    0.0949    |   0.3757   | 0.1515  |
[ 24 /300 ]    | -1.9587  |  0.0641  |  0.7803  |     2.0617      |    0.1240    |   0.3678   | 0.1855  |
[ 25 /300 ]    | -1.9362  |  0.0358  |  0.7850  |     2.0385      |    0.0986    |   0.5662   | 0.1679  |
[ 26 /300 ]    | -1.9165  |  0.0107  |  0.7835  |     2.0136      |    0.1211    |   0.3528   | 0.1803  |
[ 27 /300 ]    | -1.8955  |  0.0061  |  0.7809  |     1.9875      |    0.1427    |   0.3657   | 0.2053  |
[ 28 /300 ]    | -1.8558  | -0.0109  |  0.7831  |     1.9428      |    0.1959    |   0.3605   | 0.2539  |
[ 29 /300 ]    | -1.8348  | -0.0406  |  0.7818  |     1.9235      |    0.1282    |   0.5493   | 0.2079  |
[ 30 /300 ]    | -1.7837  | -0.0536  |  0.7855  |     1.8637      |    0.1986    |   0.3145   | 0.2434  |
[ 31 /300 ]    | -1.7671  | -0.0827  |  0.7830  |     1.8472      |    0.1322    |   0.5492   | 0.2131  |
[ 32 /300 ]    | -1.7336  | -0.0977  |  0.7880  |     1.8051      |    0.1592    |   0.6323   | 0.2543  |
[ 33 /300 ]    | -1.6842  | -0.1067  |  0.7892  |     1.7535      |    0.1574    |   0.5202   | 0.2417  |
[ 34 /300 ]    | -1.6472  | -0.1249  |  0.7906  |     1.7133      |    0.2189    |   0.5035   | 0.3051  |
[ 35 /300 ]    | -1.6102  | -0.1480  |  0.7919  |     1.6774      |    0.2690    |   0.2580   | 0.2634  |
[ 36 /300 ]    | -1.5893  | -0.1664  |  0.7960  |     1.6504      |    0.2238    |   0.4948   | 0.3082  |
[ 37 /300 ]    | -1.5618  | -0.1591  |  0.8008  |     1.6233      |    0.2070    |   0.4686   | 0.2872  |
[ 38 /300 ]    | -1.5059  | -0.2013  |  0.8066  |     1.5642      |    0.1802    |   0.4684   | 0.2603  |
[ 39 /300 ]    | -1.4774  | -0.2143  |  0.8117  |     1.5327      |    0.2094    |   0.4532   | 0.2865  |
[ 40 /300 ]    | -1.4254  | -0.2444  |  0.8180  |     1.4802      |    0.2390    |   0.4527   | 0.3129  |
[ 41 /300 ]    | -1.4037  | -0.2419  |  0.8229  |     1.4548      |    0.2614    |   0.5738   | 0.3591  |
[ 42 /300 ]    | -1.3874  | -0.2434  |  0.8333  |     1.4351      |    0.2545    |   0.4239   | 0.3180  |
[ 43 /300 ]    | -1.3431  | -0.2766  |  0.8406  |     1.3904      |    0.2437    |   0.5573   | 0.3392  |
[ 44 /300 ]    | -1.2976  | -0.2959  |  0.8425  |     1.3448      |    0.2340    |   0.5480   | 0.3280  |
[ 45 /300 ]    | -1.2539  | -0.3192  |  0.8484  |     1.2979      |    0.3036    |   0.5311   | 0.3864  |
[ 46 /300 ]    | -1.2605  | -0.3444  |  0.8517  |     1.3033      |    0.2333    |   0.5323   | 0.3244  |
[ 47 /300 ]    | -1.2266  | -0.3364  |  0.8549  |     1.2676      |    0.2412    |   0.6705   | 0.3548  |
[ 48 /300 ]    | -1.1941  | -0.3383  |  0.8587  |     1.2368      |    0.2482    |   0.5133   | 0.3346  |
[ 49 /300 ]    | -1.2042  | -0.3518  |  0.8622  |     1.2429      |    0.2838    |   0.5145   | 0.3658  |
[ 50 /300 ]    | -1.1868  | -0.3691  |  0.8656  |     1.2281      |    0.2594    |   0.6606   | 0.3725  |
[ 51 /300 ]    | -1.1478  | -0.3666  |  0.8659  |     1.1859      |    0.2724    |   0.6462   | 0.3833  |
[ 52 /300 ]    | -1.1458  | -0.3889  |  0.8697  |     1.1823      |    0.2629    |   0.6820   | 0.3795  |
[ 53 /300 ]    | -1.1364  | -0.3802  |  0.8713  |     1.1752      |    0.3019    |   0.6386   | 0.4100  |
[ 54 /300 ]    | -1.0932  | -0.3912  |  0.8723  |     1.1317      |    0.2907    |   0.6279   | 0.3974  |
[ 55 /300 ]    | -1.1119  | -0.3831  |  0.8743  |     1.1493      |    0.2498    |   0.6965   | 0.3677  |
[ 56 /300 ]    | -1.0895  | -0.3574  |  0.8751  |     1.1253      |    0.2906    |   0.6253   | 0.3968  |
[ 57 /300 ]    | -1.0730  | -0.3757  |  0.8754  |     1.1100      |    0.3545    |   0.5528   | 0.4320  |
[ 58 /300 ]    | -1.0671  | -0.3603  |  0.8808  |     1.1032      |    0.3454    |   0.5546   | 0.4257  |
[ 59 /300 ]    | -1.0655  | -0.3678  |  0.8822  |     1.1012      |    0.3804    |   0.5491   | 0.4494  |
