Namespace(att_size=85, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA1', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=9182, matdataset=True, nclass_all=50, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=85, outf='./checkpoint/', outname='awa', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=3400, val_every=1, validation=False, workers=2)
Random Seed:  9182
# of training samples:  19832
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -1.1901  |  1.4289  |  0.5899  |     1.2378      |    0.0757    |   0.3136   | 0.1219  |
[ 2  /300 ]    | -0.7179  |  0.8935  |  0.6575  |     0.7327      |    0.0698    |   0.4390   | 0.1204  |
[ 3  /300 ]    | -0.2732  |  0.5024  |  0.6911  |     0.2756      |    0.0750    |   0.6036   | 0.1335  |
[ 4  /300 ]    | -0.1502  |  0.2417  |  0.7143  |     0.1524      |    0.0980    |   0.5259   | 0.1653  |
[ 5  /300 ]    | -0.2372  | -0.0069  |  0.7298  |     0.2396      |    0.0858    |   0.3760   | 0.1397  |
[ 6  /300 ]    | -0.4402  | -0.1652  |  0.7392  |     0.4437      |    0.1010    |   0.3977   | 0.1611  |
[ 7  /300 ]    | -0.6627  | -0.1499  |  0.7518  |     0.6717      |    0.0827    |   0.5656   | 0.1443  |
[ 8  /300 ]    | -0.8184  | -0.1877  |  0.7588  |     0.8391      |    0.0847    |   0.3760   | 0.1382  |
[ 9  /300 ]    | -0.9621  | -0.1253  |  0.7612  |     1.0004      |    0.0957    |   0.5369   | 0.1624  |
[ 10 /300 ]    | -1.1299  | -0.0920  |  0.7639  |     1.1850      |    0.1060    |   0.3563   | 0.1634  |
[ 11 /300 ]    | -1.3034  | -0.0654  |  0.7650  |     1.3786      |    0.0891    |   0.5124   | 0.1518  |
[ 12 /300 ]    | -1.4448  |  0.0053  |  0.7752  |     1.5342      |    0.0923    |   0.5017   | 0.1559  |
[ 13 /300 ]    | -1.6167  |  0.0917  |  0.7707  |     1.7157      |    0.1348    |   0.3285   | 0.1911  |
[ 14 /300 ]    | -1.7355  |  0.1432  |  0.7751  |     1.8479      |    0.1174    |   0.4959   | 0.1899  |
[ 15 /300 ]    | -1.8128  |  0.1686  |  0.7776  |     1.9285      |    0.1717    |   0.3445   | 0.2291  |
[ 16 /300 ]    | -1.8835  |  0.1654  |  0.7784  |     1.9944      |    0.1546    |   0.5114   | 0.2374  |
[ 17 /300 ]    | -1.8912  |  0.1789  |  0.7793  |     1.9965      |    0.1078    |   0.3703   | 0.1670  |
[ 18 /300 ]    | -1.9434  |  0.1842  |  0.7800  |     2.0487      |    0.1689    |   0.3800   | 0.2339  |
[ 19 /300 ]    | -1.9700  |  0.1701  |  0.7806  |     2.0772      |    0.1744    |   0.5447   | 0.2643  |
[ 20 /300 ]    | -1.9233  |  0.1579  |  0.7820  |     2.0325      |    0.0952    |   0.4040   | 0.1541  |
[ 21 /300 ]    | -1.9619  |  0.1473  |  0.7809  |     2.0679      |    0.1803    |   0.4061   | 0.2497  |
[ 22 /300 ]    | -1.9861  |  0.1194  |  0.7823  |     2.0947      |    0.1428    |   0.5625   | 0.2278  |
[ 23 /300 ]    | -1.9334  |  0.0971  |  0.7862  |     2.0329      |    0.0907    |   0.4278   | 0.1497  |
[ 24 /300 ]    | -1.9605  |  0.0544  |  0.7832  |     2.0608      |    0.1474    |   0.4159   | 0.2177  |
[ 25 /300 ]    | -1.8973  |  0.0419  |  0.7834  |     1.9978      |    0.1639    |   0.4193   | 0.2357  |
[ 26 /300 ]    | -1.8940  |  0.0245  |  0.7862  |     1.9927      |    0.1837    |   0.4135   | 0.2544  |
[ 27 /300 ]    | -1.8894  |  0.0096  |  0.7855  |     1.9832      |    0.1319    |   0.4042   | 0.1989  |
[ 28 /300 ]    | -1.8744  | -0.0332  |  0.7832  |     1.9640      |    0.1579    |   0.4097   | 0.2280  |
[ 29 /300 ]    | -1.8176  | -0.0159  |  0.7863  |     1.8999      |    0.2011    |   0.3760   | 0.2620  |
[ 30 /300 ]    | -1.8090  | -0.0463  |  0.7816  |     1.8911      |    0.1880    |   0.3740   | 0.2502  |
[ 31 /300 ]    | -1.7425  | -0.0743  |  0.7879  |     1.8232      |    0.2175    |   0.3617   | 0.2717  |
[ 32 /300 ]    | -1.7249  | -0.0901  |  0.7884  |     1.7983      |    0.1701    |   0.5124   | 0.2554  |
