Namespace(att_size=85, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=9182, matdataset=True, nclass_all=50, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=1400, val_every=1, validation=False, workers=2)
Random Seed:  9182
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -1.1920  |  1.4343  |  0.6100  |     1.2388      |    0.0177    |   0.5845   | 0.0344  |
[ 2  /300 ]    | -0.5861  |  0.7882  |  0.6822  |     0.5952      |    0.0660    |   0.5378   | 0.1176  |
[ 3  /300 ]    | -0.2213  |  0.4199  |  0.7156  |     0.2233      |    0.0433    |   0.5514   | 0.0803  |
[ 4  /300 ]    | -0.2157  |  0.1029  |  0.7347  |     0.2183      |    0.0397    |   0.5260   | 0.0738  |
[ 5  /300 ]    | -0.3898  | -0.2094  |  0.7436  |     0.3934      |    0.0684    |   0.5560   | 0.1218  |
[ 6  /300 ]    | -0.6662  | -0.2079  |  0.7546  |     0.6787      |    0.0290    |   0.5733   | 0.0552  |
[ 7  /300 ]    | -0.8385  | -0.2022  |  0.7616  |     0.8672      |    0.0582    |   0.5423   | 0.1051  |
[ 8  /300 ]    | -1.0134  | -0.1149  |  0.7695  |     1.0693      |    0.0334    |   0.5367   | 0.0628  |
[ 9  /300 ]    | -1.1990  | -0.1209  |  0.7655  |     1.2746      |    0.0605    |   0.5454   | 0.1089  |
[ 10 /300 ]    | -1.3984  | -0.0872  |  0.7714  |     1.5004      |    0.0364    |   0.5371   | 0.0681  |
[ 11 /300 ]    | -1.5538  |  0.0113  |  0.7779  |     1.6665      |    0.1257    |   0.5039   | 0.2012  |
[ 12 /300 ]    | -1.6927  |  0.0804  |  0.7800  |     1.8067      |    0.0546    |   0.5657   | 0.0995  |
[ 13 /300 ]    | -1.7661  |  0.1066  |  0.7837  |     1.8794      |    0.0427    |   0.5646   | 0.0794  |
[ 14 /300 ]    | -1.8358  |  0.1084  |  0.7848  |     1.9447      |    0.0276    |   0.7235   | 0.0531  |
[ 15 /300 ]    | -1.8852  |  0.1061  |  0.7877  |     1.9907      |    0.0390    |   0.5685   | 0.0730  |
[ 16 /300 ]    | -1.9018  |  0.1054  |  0.7848  |     2.0028      |    0.0335    |   0.5930   | 0.0634  |
[ 17 /300 ]    | -1.8712  |  0.0811  |  0.7858  |     1.9726      |    0.0328    |   0.5886   | 0.0621  |
[ 18 /300 ]    | -1.9186  |  0.0595  |  0.7855  |     2.0194      |    0.0560    |   0.5850   | 0.1023  |
[ 19 /300 ]    | -1.9265  |  0.0419  |  0.7869  |     2.0304      |    0.0150    |   0.6097   | 0.0293  |
[ 20 /300 ]    | -1.9017  |  0.0172  |  0.7865  |     1.9997      |    0.0126    |   0.5829   | 0.0248  |
[ 21 /300 ]    | -1.8820  | -0.0024  |  0.7864  |     1.9863      |    0.0103    |   0.9149   | 0.0203  |
[ 22 /300 ]    | -1.9118  | -0.0286  |  0.7887  |     2.0098      |    0.0539    |   0.5991   | 0.0990  |
[ 23 /300 ]    | -1.8702  | -0.0488  |  0.7892  |     1.9660      |    0.0154    |   0.7115   | 0.0302  |
[ 24 /300 ]    | -1.8158  | -0.0706  |  0.7916  |     1.9020      |    0.0139    |   0.5764   | 0.0272  |
[ 25 /300 ]    | -1.7823  | -0.1006  |  0.7934  |     1.8637      |    0.0169    |   0.5706   | 0.0329  |
[ 26 /300 ]    | -1.7517  | -0.1145  |  0.7899  |     1.8354      |    0.0216    |   0.5580   | 0.0415  |
[ 27 /300 ]    | -1.7123  | -0.1410  |  0.7930  |     1.7890      |    0.0932    |   0.5534   | 0.1595  |
[ 28 /300 ]    | -1.6917  | -0.1615  |  0.7943  |     1.7614      |    0.1217    |   0.5731   | 0.2008  |
[ 29 /300 ]    | -1.6387  | -0.1591  |  0.7949  |     1.7078      |    0.1314    |   0.5437   | 0.2116  |
[ 30 /300 ]    | -1.5957  | -0.1945  |  0.8001  |     1.6619      |    0.0614    |   0.5356   | 0.1102  |
