Namespace(attSize=85, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=9182, matdataset=True, nclass_all=50, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=2200, val_every=1, validation=False, workers=2)
Random Seed:  9182
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -1.1920  |  1.4343  |  0.6100  |     1.2388      |    0.0708    |   0.2799   | 0.1130  |
[ 2  /300 ]    | -0.5975  |  0.7976  |  0.6798  |     0.6068      |    0.0607    |   0.6250   | 0.1106  |
[ 3  /300 ]    | -0.2114  |  0.4152  |  0.7121  |     0.2136      |    0.0651    |   0.5715   | 0.1169  |
[ 4  /300 ]    | -0.2172  |  0.1154  |  0.7328  |     0.2196      |    0.0602    |   0.5992   | 0.1093  |
[ 5  /300 ]    | -0.3893  | -0.1576  |  0.7496  |     0.3929      |    0.0719    |   0.1228   | 0.0907  |
[ 6  /300 ]    | -0.6662  | -0.1724  |  0.7538  |     0.6776      |    0.1134    |   0.1092   | 0.1113  |
[ 7  /300 ]    | -0.8424  | -0.2003  |  0.7642  |     0.8723      |    0.0582    |   0.6085   | 0.1062  |
[ 8  /300 ]    | -1.0210  | -0.1566  |  0.7661  |     1.0772      |    0.0452    |   0.5914   | 0.0839  |
[ 9  /300 ]    | -1.2045  | -0.1206  |  0.7713  |     1.2789      |    0.1012    |   0.5815   | 0.1723  |
[ 10 /300 ]    | -1.3848  | -0.0741  |  0.7736  |     1.4874      |    0.1208    |   0.0808   | 0.0968  |
[ 11 /300 ]    | -1.5867  |  0.0192  |  0.7793  |     1.6969      |    0.0523    |   0.7526   | 0.0979  |
[ 12 /300 ]    | -1.7225  |  0.0886  |  0.7820  |     1.8413      |    0.0848    |   0.5920   | 0.1483  |
[ 13 /300 ]    | -1.7943  |  0.1006  |  0.7833  |     1.9018      |    0.1075    |   0.6029   | 0.1825  |
[ 14 /300 ]    | -1.8424  |  0.1069  |  0.7827  |     1.9477      |    0.0765    |   0.6131   | 0.1361  |
[ 15 /300 ]    | -1.8746  |  0.1209  |  0.7861  |     1.9801      |    0.1053    |   0.6225   | 0.1801  |
[ 16 /300 ]    | -1.8782  |  0.1020  |  0.7834  |     1.9813      |    0.1185    |   0.1897   | 0.1458  |
[ 17 /300 ]    | -1.9221  |  0.0903  |  0.7882  |     2.0269      |    0.1738    |   0.2324   | 0.1988  |
