Namespace(att_size=312, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='CUB', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=3483, matdataset=True, nclass_all=200, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=312, outf='./checkpoint/', outname='cub', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=3, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=600, val_every=1, validation=False, workers=2)
Random Seed:  3483
# of training samples:  7057
MLP_G(
  (fc1): Linear(in_features=624, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2360, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_3HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=312)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -0.6820  | -0.1413  |  0.6588  |     0.6915      |    0.0120    |   0.1561   | 0.0222  |
[ 2  /300 ]    | -1.1784  | -0.4503  |  0.7016  |     1.1935      |    0.0134    |   0.1305   | 0.0243  |
[ 3  /300 ]    | -1.6154  | -0.4101  |  0.7203  |     1.6503      |    0.0232    |   0.1071   | 0.0381  |
[ 4  /300 ]    | -1.9950  | -0.2583  |  0.7275  |     2.0664      |    0.0259    |   0.3257   | 0.0479  |
[ 5  /300 ]    | -2.1374  | -0.3198  |  0.7338  |     2.2573      |    0.0254    |   0.1806   | 0.0446  |
[ 6  /300 ]    | -2.2428  | -0.4436  |  0.7420  |     2.3665      |    0.0310    |   0.2482   | 0.0552  |
[ 7  /300 ]    | -2.2587  | -0.4834  |  0.7489  |     2.3737      |    0.0473    |   0.2326   | 0.0786  |
[ 8  /300 ]    | -2.2724  | -0.4932  |  0.7516  |     2.3769      |    0.0650    |   0.2005   | 0.0982  |
[ 9  /300 ]    | -2.3162  | -0.4600  |  0.7561  |     2.4326      |    0.0735    |   0.1623   | 0.1012  |
[ 10 /300 ]    | -2.2479  | -0.4917  |  0.7621  |     2.3676      |    0.0980    |   0.1593   | 0.1214  |
[ 11 /300 ]    | -2.1852  | -0.5511  |  0.7586  |     2.2807      |    0.0663    |   0.3334   | 0.1106  |
[ 12 /300 ]    | -2.0609  | -0.4708  |  0.7601  |     2.1710      |    0.1079    |   0.2893   | 0.1572  |
[ 13 /300 ]    | -1.9800  | -0.5301  |  0.7690  |     2.0665      |    0.1462    |   0.2167   | 0.1746  |
[ 14 /300 ]    | -1.8891  | -0.4621  |  0.7772  |     1.9596      |    0.1269    |   0.3417   | 0.1851  |
[ 15 /300 ]    | -1.7906  | -0.4400  |  0.8008  |     1.8375      |    0.1701    |   0.2945   | 0.2157  |
[ 16 /300 ]    | -1.7572  | -0.4960  |  0.8099  |     1.8119      |    0.1359    |   0.4658   | 0.2104  |
[ 17 /300 ]    | -1.6459  | -0.2461  |  0.8254  |     1.7059      |    0.2029    |   0.3162   | 0.2472  |
[ 18 /300 ]    | -1.5874  | -0.3289  |  0.8374  |     1.6462      |    0.1839    |   0.4635   | 0.2634  |
[ 19 /300 ]    | -1.5348  | -0.2426  |  0.8422  |     1.5874      |    0.2081    |   0.4306   | 0.2806  |
[ 20 /300 ]    | -1.4952  | -0.3183  |  0.8545  |     1.5512      |    0.2008    |   0.4726   | 0.2819  |
[ 21 /300 ]    | -1.4493  | -0.3140  |  0.8645  |     1.4842      |    0.2226    |   0.4894   | 0.3060  |
[ 22 /300 ]    | -1.4230  | -0.2879  |  0.8659  |     1.4613      |    0.2249    |   0.4987   | 0.3100  |
[ 23 /300 ]    | -1.3705  | -0.1547  |  0.8713  |     1.4149      |    0.2486    |   0.4557   | 0.3217  |
[ 24 /300 ]    | -1.3616  | -0.0800  |  0.8828  |     1.4074      |    0.2623    |   0.4837   | 0.3402  |
[ 25 /300 ]    | -1.3383  | -0.2417  |  0.8820  |     1.3881      |    0.2434    |   0.4854   | 0.3243  |
[ 26 /300 ]    | -1.2934  | -0.2589  |  0.8851  |     1.3363      |    0.2723    |   0.4899   | 0.3500  |
[ 27 /300 ]    | -1.3042  | -0.2794  |  0.8879  |     1.3550      |    0.2626    |   0.5160   | 0.3481  |
[ 28 /300 ]    | -1.2925  | -0.1748  |  0.8902  |     1.3377      |    0.2898    |   0.4561   | 0.3544  |
[ 29 /300 ]    | -1.3089  | -0.3005  |  0.8958  |     1.3439      |    0.2995    |   0.4916   | 0.3722  |
[ 30 /300 ]    | -1.2505  | -0.3571  |  0.8959  |     1.3005      |    0.2944    |   0.5115   | 0.3737  |
[ 31 /300 ]    | -1.2721  | -0.1444  |  0.8966  |     1.3173      |    0.3203    |   0.4713   | 0.3814  |
[ 32 /300 ]    | -1.2694  | -0.2539  |  0.8994  |     1.3170      |    0.3125    |   0.5345   | 0.3944  |
[ 33 /300 ]    | -1.2410  | -0.2106  |  0.9014  |     1.2831      |    0.3102    |   0.5085   | 0.3853  |
[ 34 /300 ]    | -1.2300  | -0.2458  |  0.9042  |     1.2769      |    0.3117    |   0.5353   | 0.3940  |
[ 35 /300 ]    | -1.2215  | -0.2560  |  0.9057  |     1.2625      |    0.3254    |   0.5124   | 0.3981  |
[ 36 /300 ]    | -1.1973  | -0.2891  |  0.9102  |     1.2403      |    0.3332    |   0.5029   | 0.4009  |
[ 37 /300 ]    | -1.1966  | -0.3483  |  0.9138  |     1.2360      |    0.3310    |   0.5459   | 0.4121  |
[ 38 /300 ]    | -1.1511  | -0.2369  |  0.9101  |     1.1948      |    0.3483    |   0.5166   | 0.4160  |
