Namespace(attSize=312, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='CUB', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=3483, matdataset=True, nclass_all=200, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=312, outf='./checkpoint/', outname='cub', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=3, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=900, val_every=1, validation=False, workers=2)
Random Seed:  3483
# of training samples:  7057
MLP_G(
  (fc1): Linear(in_features=624, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2360, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_3HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=312)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -0.6820  | -0.1413  |  0.6588  |     0.6915      |    0.0144    |   0.2611   | 0.0274  |
[ 2  /300 ]    | -1.1965  | -0.4195  |  0.6997  |     1.2092      |    0.0160    |   0.2181   | 0.0298  |
[ 3  /300 ]    | -1.6184  | -0.3654  |  0.7156  |     1.6506      |    0.0307    |   0.1965   | 0.0531  |
[ 4  /300 ]    | -1.9988  | -0.2117  |  0.7255  |     2.0604      |    0.0312    |   0.1714   | 0.0528  |
[ 5  /300 ]    | -2.1501  | -0.3442  |  0.7386  |     2.2784      |    0.0348    |   0.2459   | 0.0610  |
[ 6  /300 ]    | -2.1884  | -0.3992  |  0.7357  |     2.3147      |    0.0410    |   0.3140   | 0.0725  |
[ 7  /300 ]    | -2.2572  | -0.4394  |  0.7466  |     2.3601      |    0.0504    |   0.3047   | 0.0864  |
[ 8  /300 ]    | -2.2440  | -0.4479  |  0.7569  |     2.3838      |    0.0619    |   0.2796   | 0.1014  |
[ 9  /300 ]    | -2.2499  | -0.4871  |  0.7573  |     2.3531      |    0.0850    |   0.2345   | 0.1248  |
[ 10 /300 ]    | -2.2345  | -0.5081  |  0.7561  |     2.3511      |    0.1000    |   0.1997   | 0.1333  |
[ 11 /300 ]    | -2.1437  | -0.5193  |  0.7559  |     2.2651      |    0.0847    |   0.3325   | 0.1350  |
[ 12 /300 ]    | -2.0887  | -0.5362  |  0.7625  |     2.1805      |    0.1018    |   0.2951   | 0.1513  |
[ 13 /300 ]    | -1.9861  | -0.5263  |  0.7607  |     2.0813      |    0.1207    |   0.2454   | 0.1618  |
[ 14 /300 ]    | -1.8850  | -0.4849  |  0.7801  |     1.9563      |    0.1499    |   0.3053   | 0.2011  |
[ 15 /300 ]    | -1.8001  | -0.4913  |  0.7933  |     1.8591      |    0.1513    |   0.4465   | 0.2260  |
