Namespace(attSize=1024, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.1, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='FLO', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=806, matdataset=True, nclass_all=102, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=1024, outf='./checkpoint/', outname='flowers', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=600, val_every=1, validation=False, workers=2)
Random Seed:  806
# of training samples:  5631
MLP_G(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=3072, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=1024)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -4.2090  |  4.9150  |  0.3148  |     4.4793      |    0.0660    |   0.0655   | 0.0657  |
[ 2  /300 ]    | -1.3151  | -0.3544  |  0.6298  |     1.3265      |    0.0356    |   0.1997   | 0.0605  |
[ 3  /300 ]    | -1.1700  | -1.4881  |  0.6900  |     1.1788      |    0.0701    |   0.1886   | 0.1022  |
[ 4  /300 ]    | -1.5058  | -1.5702  |  0.7055  |     1.5278      |    0.0344    |   0.2175   | 0.0594  |
[ 5  /300 ]    | -1.6458  | -1.7795  |  0.7142  |     1.6668      |    0.0365    |   0.1927   | 0.0613  |
[ 6  /300 ]    | -1.7529  | -1.4136  |  0.7166  |     1.7657      |    0.0321    |   0.1968   | 0.0552  |
[ 7  /300 ]    | -1.9247  | -1.3963  |  0.7157  |     1.9406      |    0.0315    |   0.1849   | 0.0539  |
[ 8  /300 ]    | -2.0091  | -1.2484  |  0.7202  |     2.0290      |    0.0537    |   0.1851   | 0.0832  |
[ 9  /300 ]    | -2.1618  | -1.2414  |  0.7216  |     2.1885      |    0.0321    |   0.5244   | 0.0605  |
[ 10 /300 ]    | -2.2701  | -1.0761  |  0.7192  |     2.2979      |    0.0710    |   0.3870   | 0.1200  |
[ 11 /300 ]    | -2.3485  | -1.0222  |  0.7211  |     2.3977      |    0.0332    |   0.3882   | 0.0612  |
[ 12 /300 ]    | -2.3802  | -0.9433  |  0.7209  |     2.4672      |    0.0361    |   0.2192   | 0.0620  |
[ 13 /300 ]    | -2.3932  | -0.9414  |  0.7223  |     2.5092      |    0.0447    |   0.0674   | 0.0537  |
[ 14 /300 ]    | -2.4071  | -0.8883  |  0.7217  |     2.5925      |    0.0404    |   0.1105   | 0.0591  |
[ 15 /300 ]    | -2.4365  | -0.8409  |  0.7227  |     2.5767      |    0.0311    |   0.3541   | 0.0573  |
