Namespace(att_size=1024, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.1, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='FLO', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=806, matdataset=True, nclass_all=102, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=1024, outf='./checkpoint/', outname='flowers', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=800, val_every=1, validation=False, workers=2)
Random Seed:  806
# of training samples:  5631
MLP_G(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=3072, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=1024)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -4.2090  |  4.9150  |  0.3148  |     4.4793      |    0.0235    |   0.2396   | 0.0428  |
[ 2  /300 ]    | -1.3362  | -0.3499  |  0.6266  |     1.3471      |    0.0812    |   0.1160   | 0.0955  |
[ 3  /300 ]    | -1.1681  | -1.4893  |  0.6892  |     1.1796      |    0.0328    |   0.3058   | 0.0593  |
[ 4  /300 ]    | -1.5142  | -1.5960  |  0.7067  |     1.5315      |    0.0563    |   0.1197   | 0.0766  |
[ 5  /300 ]    | -1.6865  | -1.6184  |  0.7141  |     1.7080      |    0.0593    |   0.1129   | 0.0777  |
[ 6  /300 ]    | -1.7951  | -1.3305  |  0.7176  |     1.8133      |    0.0221    |   0.1022   | 0.0364  |
[ 7  /300 ]    | -1.9203  | -1.3944  |  0.7182  |     1.9397      |    0.0471    |   0.2669   | 0.0800  |
[ 8  /300 ]    | -1.9856  | -1.3311  |  0.7217  |     2.0015      |    0.0405    |   0.5562   | 0.0755  |
[ 9  /300 ]    | -2.1393  | -1.2816  |  0.7209  |     2.1584      |    0.0609    |   0.4134   | 0.1062  |
[ 10 /300 ]    | -2.2587  | -1.1381  |  0.7223  |     2.2870      |    0.0459    |   0.3935   | 0.0823  |
[ 11 /300 ]    | -2.3553  | -1.0002  |  0.7220  |     2.4015      |    0.0356    |   0.5517   | 0.0669  |
[ 12 /300 ]    | -2.3798  | -0.9744  |  0.7202  |     2.4483      |    0.0452    |   0.4495   | 0.0822  |
[ 13 /300 ]    | -2.3854  | -0.9275  |  0.7225  |     2.5147      |    0.0410    |   0.3361   | 0.0732  |
[ 14 /300 ]    | -2.3711  | -0.9648  |  0.7205  |     2.4355      |    0.0199    |   0.5439   | 0.0384  |
[ 15 /300 ]    | -2.4362  | -0.8177  |  0.7242  |     2.6265      |    0.0452    |   0.5598   | 0.0836  |
