Namespace(attSize=102, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='SUN', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=0.0002, manualSeed=4115, matdataset=True, nclass_all=717, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=102, outf='./checkpoint/', outname='sun', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=800, val_every=1, validation=False, workers=2)
Random Seed:  4115
# of training samples:  10320
MLP_G(
  (fc1): Linear(in_features=204, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2150, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=102)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -1.2033  | -0.3254  |  0.6953  |     1.2585      |    0.0382    |   0.0864   | 0.0530  |
[ 2  /300 ]    | -1.7915  | -0.1144  |  0.7617  |     1.8997      |    0.0743    |   0.1752   | 0.1044  |
[ 3  /300 ]    | -1.4398  | -0.2264  |  0.7776  |     1.5003      |    0.0729    |   0.1984   | 0.1066  |
[ 4  /300 ]    | -1.0561  | -0.2236  |  0.8177  |     1.0932      |    0.1333    |   0.1857   | 0.1552  |
[ 5  /300 ]    | -0.8697  | -0.2905  |  0.8390  |     0.9142      |    0.1674    |   0.2601   | 0.2037  |
[ 6  /300 ]    | -0.8206  | -0.4728  |  0.8475  |     0.8330      |    0.2083    |   0.2101   | 0.2092  |
[ 7  /300 ]    | -0.7940  | -0.4533  |  0.8440  |     0.8090      |    0.1958    |   0.2713   | 0.2275  |
[ 8  /300 ]    | -0.7833  | -0.5787  |  0.8546  |     0.8014      |    0.2125    |   0.2702   | 0.2379  |
[ 9  /300 ]    | -0.7080  | -0.7785  |  0.8674  |     0.7317      |    0.2424    |   0.2694   | 0.2552  |
[ 10 /300 ]    | -0.7060  | -0.5875  |  0.8764  |     0.7365      |    0.2319    |   0.2922   | 0.2586  |
[ 11 /300 ]    | -0.6477  | -0.7445  |  0.8869  |     0.6770      |    0.2569    |   0.2872   | 0.2712  |
[ 12 /300 ]    | -0.6486  | -0.6831  |  0.8992  |     0.6719      |    0.2722    |   0.2915   | 0.2815  |
[ 13 /300 ]    | -0.6684  | -0.7610  |  0.9097  |     0.6907      |    0.2944    |   0.2942   | 0.2943  |
[ 14 /300 ]    | -0.6709  | -0.9065  |  0.9116  |     0.6865      |    0.3014    |   0.2965   | 0.2989  |
[ 15 /300 ]    | -0.6683  | -0.6228  |  0.9131  |     0.6868      |    0.3153    |   0.2876   | 0.3008  |
