Namespace(att_size=64, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='APY', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=1995, matdataset=True, nclass_all=32, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh=1024, nrh1=1024, nrh2=521, nrh3=256, nrh4=128, nz=64, outf='./checkpoint/', outname='apy', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, save_every=100, standardization=False, start_epoch=0, syn_num=1000, val_every=1, validation=False, workers=2)
Random Seed:  1995
# of training samples:  5932
MLP_G(
  (fc1): Linear(in_features=128, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2112, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=521)
  (fc3): Linear(in_features=521, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=64)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -0.7461  |  0.6495  |  0.3688  |     0.7624      |    0.0354    |   0.1640   | 0.0582  |
[ 2  /300 ]    | -0.9231  |  0.8328  |  0.4449  |     0.9523      |    0.0217    |   0.1487   | 0.0378  |
[ 3  /300 ]    | -0.7162  |  0.6469  |  0.4682  |     0.7339      |    0.0681    |   0.1181   | 0.0864  |
[ 4  /300 ]    | -0.4481  |  0.4294  |  0.5013  |     0.4543      |    0.0954    |   0.3863   | 0.1530  |
[ 5  /300 ]    | -0.2670  |  0.3381  |  0.5120  |     0.2700      |    0.0509    |   0.3481   | 0.0888  |
[ 6  /300 ]    | -0.1970  |  0.3400  |  0.5183  |     0.1996      |    0.0663    |   0.4092   | 0.1142  |
[ 7  /300 ]    | -0.2463  |  0.2473  |  0.5244  |     0.2491      |    0.1176    |   0.0795   | 0.0948  |
[ 8  /300 ]    | -0.3558  |  0.2124  |  0.5297  |     0.3593      |    0.0754    |   0.4363   | 0.1286  |
[ 9  /300 ]    | -0.5165  |  0.0482  |  0.5421  |     0.5212      |    0.0886    |   0.0909   | 0.0897  |
[ 10 /300 ]    | -0.6992  |  0.0019  |  0.5525  |     0.7087      |    0.0743    |   0.4253   | 0.1265  |
[ 11 /300 ]    | -0.8395  |  0.0068  |  0.5687  |     0.8547      |    0.1118    |   0.0833   | 0.0955  |
[ 12 /300 ]    | -0.9601  | -0.0276  |  0.5936  |     0.9884      |    0.0570    |   0.4036   | 0.0999  |
[ 13 /300 ]    | -1.0658  |  0.0281  |  0.6169  |     1.1100      |    0.0534    |   0.5864   | 0.0979  |
[ 14 /300 ]    | -1.1356  |  0.0360  |  0.6329  |     1.1962      |    0.0977    |   0.0930   | 0.0953  |
[ 15 /300 ]    | -1.2658  |  0.0928  |  0.6526  |     1.3430      |    0.0372    |   0.3941   | 0.0680  |
[ 16 /300 ]    | -1.3598  |  0.1342  |  0.6773  |     1.4529      |    0.0692    |   0.4070   | 0.1183  |
[ 17 /300 ]    | -1.4491  |  0.1361  |  0.6865  |     1.5583      |    0.1165    |   0.0751   | 0.0913  |
[ 18 /300 ]    | -1.5809  |  0.1328  |  0.6943  |     1.6942      |    0.0889    |   0.5492   | 0.1531  |
[ 19 /300 ]    | -1.6748  |  0.1982  |  0.7017  |     1.7889      |    0.0593    |   0.3797   | 0.1025  |
[ 20 /300 ]    | -1.7593  |  0.2330  |  0.7158  |     1.8798      |    0.0593    |   0.4191   | 0.1039  |
[ 21 /300 ]    | -1.8235  |  0.2543  |  0.7235  |     1.9452      |    0.0792    |   0.5500   | 0.1384  |
[ 22 /300 ]    | -1.9088  |  0.2765  |  0.7377  |     2.0322      |    0.1024    |   0.3675   | 0.1602  |
[ 23 /300 ]    | -1.9624  |  0.2771  |  0.7499  |     2.0807      |    0.1433    |   0.4023   | 0.2113  |
[ 24 /300 ]    | -2.0037  |  0.2765  |  0.7569  |     2.1232      |    0.0888    |   0.3812   | 0.1441  |
[ 25 /300 ]    | -2.0641  |  0.3035  |  0.7665  |     2.1930      |    0.1084    |   0.3887   | 0.1696  |
[ 26 /300 ]    | -2.0773  |  0.3166  |  0.7868  |     2.2038      |    0.1388    |   0.3681   | 0.2016  |
