Namespace(attSize=64, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='APY', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=1995, matdataset=True, nclass_all=32, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh=1024, nrh1=1024, nrh2=521, nrh3=256, nrh4=128, nz=64, outf='./checkpoint/', outname='apy', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=1, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, save_every=100, standardization=False, start_epoch=0, syn_num=1000, val_every=1, validation=False, workers=2)
Random Seed:  1995
# of training samples:  5932
MLP_G(
  (fc1): Linear(in_features=128, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2112, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_1HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=64)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -0.7790  |  0.7126  |  0.3923  |     0.7977      |    0.0534    |   0.1800   | 0.0823  |
[ 2  /300 ]    | -0.9761  |  0.9224  |  0.4739  |     1.0081      |    0.0868    |   0.1414   | 0.1076  |
[ 3  /300 ]    | -0.7551  |  0.7403  |  0.4977  |     0.7742      |    0.0638    |   0.0876   | 0.0739  |
[ 4  /300 ]    | -0.5011  |  0.5542  |  0.5140  |     0.5076      |    0.0927    |   0.0985   | 0.0955  |
[ 5  /300 ]    | -0.2958  |  0.4818  |  0.5330  |     0.2989      |    0.0927    |   0.3553   | 0.1470  |
[ 6  /300 ]    | -0.2265  |  0.4858  |  0.5518  |     0.2289      |    0.0564    |   0.3739   | 0.0981  |
[ 7  /300 ]    | -0.2360  |  0.3571  |  0.5649  |     0.2391      |    0.0465    |   0.4039   | 0.0833  |
[ 8  /300 ]    | -0.3390  |  0.1812  |  0.5807  |     0.3422      |    0.0429    |   0.3880   | 0.0773  |
[ 9  /300 ]    | -0.5059  |  0.1100  |  0.5931  |     0.5113      |    0.0658    |   0.4186   | 0.1137  |
[ 10 /300 ]    | -0.6720  |  0.0024  |  0.6123  |     0.6810      |    0.0626    |   0.0821   | 0.0711  |
[ 11 /300 ]    | -0.8287  | -0.0073  |  0.6213  |     0.8470      |    0.0466    |   0.5691   | 0.0862  |
[ 12 /300 ]    | -0.9238  | -0.0120  |  0.6442  |     0.9541      |    0.0769    |   0.4178   | 0.1299  |
[ 13 /300 ]    | -1.0629  |  0.0263  |  0.6617  |     1.1094      |    0.0829    |   0.0915   | 0.0870  |
[ 14 /300 ]    | -1.1679  |  0.0820  |  0.6774  |     1.2376      |    0.0561    |   0.4224   | 0.0990  |
[ 15 /300 ]    | -1.2773  |  0.1253  |  0.6999  |     1.3490      |    0.0759    |   0.4166   | 0.1283  |
[ 16 /300 ]    | -1.3824  |  0.1266  |  0.7301  |     1.4711      |    0.0769    |   0.3953   | 0.1287  |
[ 17 /300 ]    | -1.4944  |  0.1511  |  0.7546  |     1.6068      |    0.1022    |   0.0769   | 0.0878  |
[ 18 /300 ]    | -1.5741  |  0.1877  |  0.7652  |     1.6790      |    0.0583    |   0.3836   | 0.1012  |
[ 19 /300 ]    | -1.6830  |  0.2216  |  0.7839  |     1.8106      |    0.1143    |   0.3699   | 0.1746  |
[ 20 /300 ]    | -1.7790  |  0.2591  |  0.7865  |     1.8913      |    0.0767    |   0.3893   | 0.1281  |
[ 21 /300 ]    | -1.8173  |  0.2919  |  0.8024  |     1.9424      |    0.0561    |   0.5579   | 0.1019  |
[ 22 /300 ]    | -1.8883  |  0.3043  |  0.8168  |     2.0035      |    0.1013    |   0.3939   | 0.1612  |
[ 23 /300 ]    | -1.9802  |  0.3106  |  0.8319  |     2.1026      |    0.1387    |   0.3798   | 0.2032  |
[ 24 /300 ]    | -2.0191  |  0.3206  |  0.8370  |     2.1412      |    0.0902    |   0.3870   | 0.1463  |
[ 25 /300 ]    | -2.0596  |  0.3212  |  0.8322  |     2.1818      |    0.1037    |   0.3913   | 0.1639  |
[ 26 /300 ]    | -2.1139  |  0.3330  |  0.8483  |     2.2398      |    0.1173    |   0.3836   | 0.1796  |
[ 27 /300 ]    | -2.1010  |  0.3359  |  0.8576  |     2.2181      |    0.1313    |   0.3737   | 0.1944  |
[ 28 /300 ]    | -2.1530  |  0.3580  |  0.8515  |     2.2922      |    0.1165    |   0.3878   | 0.1792  |
[ 29 /300 ]    | -2.1768  |  0.3472  |  0.8585  |     2.2974      |    0.1135    |   0.3881   | 0.1756  |
[ 30 /300 ]    | -2.1923  |  0.3609  |  0.8692  |     2.3281      |    0.0923    |   0.3936   | 0.1495  |
[ 31 /300 ]    | -2.1690  |  0.3555  |  0.8725  |     2.3006      |    0.0791    |   0.3940   | 0.1318  |
[ 32 /300 ]    | -2.2407  |  0.3434  |  0.8689  |     2.3818      |    0.0947    |   0.4105   | 0.1539  |
[ 33 /300 ]    | -2.2238  |  0.3437  |  0.8794  |     2.3603      |    0.1285    |   0.3983   | 0.1944  |
[ 34 /300 ]    | -2.2191  |  0.3328  |  0.8835  |     2.3603      |    0.1112    |   0.4010   | 0.1741  |
[ 35 /300 ]    | -2.2391  |  0.3152  |  0.8920  |     2.3676      |    0.0965    |   0.4067   | 0.1560  |
