Namespace(att_size=64, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='APY', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=1995, matdataset=True, nclass_all=32, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh=1024, nrh1=1024, nrh2=521, nrh3=256, nrh4=128, nz=64, outf='./checkpoint/', outname='apy', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=3, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, save_every=100, standardization=False, start_epoch=0, syn_num=1000, val_every=1, validation=False, workers=2)
Random Seed:  1995
# of training samples:  5932
MLP_G(
  (fc1): Linear(in_features=128, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2112, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_3HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=521)
  (fc3): Linear(in_features=521, out_features=256)
  (fc4): Linear(in_features=256, out_features=64)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -0.7639  |  0.6748  |  0.3872  |     0.7815      |    0.0215    |   0.1943   | 0.0387  |
[ 2  /300 ]    | -0.9260  |  0.8688  |  0.4575  |     0.9557      |    0.0522    |   0.1301   | 0.0745  |
[ 3  /300 ]    | -0.7315  |  0.6826  |  0.4878  |     0.7486      |    0.0858    |   0.0999   | 0.0923  |
[ 4  /300 ]    | -0.4529  |  0.4856  |  0.5015  |     0.4590      |    0.0592    |   0.3986   | 0.1031  |
[ 5  /300 ]    | -0.2716  |  0.4170  |  0.5146  |     0.2742      |    0.0410    |   0.4069   | 0.0744  |
[ 6  /300 ]    | -0.2052  |  0.3905  |  0.5242  |     0.2075      |    0.0957    |   0.0667   | 0.0786  |
[ 7  /300 ]    | -0.2263  |  0.2947  |  0.5364  |     0.2297      |    0.0594    |   0.3923   | 0.1031  |
[ 8  /300 ]    | -0.3528  |  0.1821  |  0.5538  |     0.3558      |    0.1132    |   0.0841   | 0.0965  |
[ 9  /300 ]    | -0.5280  |  0.0126  |  0.5523  |     0.5328      |    0.0733    |   0.0901   | 0.0808  |
[ 10 /300 ]    | -0.6867  |  0.0618  |  0.5719  |     0.6966      |    0.1045    |   0.0797   | 0.0904  |
[ 11 /300 ]    | -0.8211  |  0.0062  |  0.5827  |     0.8398      |    0.0704    |   0.0703   | 0.0703  |
[ 12 /300 ]    | -0.9602  | -0.0518  |  0.5911  |     0.9908      |    0.0567    |   0.4257   | 0.1001  |
[ 13 /300 ]    | -1.0488  |  0.0181  |  0.6216  |     1.0915      |    0.0702    |   0.0536   | 0.0608  |
[ 14 /300 ]    | -1.1464  |  0.0638  |  0.6434  |     1.2087      |    0.0612    |   0.3829   | 0.1055  |
[ 15 /300 ]    | -1.2505  |  0.0836  |  0.6681  |     1.3267      |    0.0567    |   0.4009   | 0.0993  |
[ 16 /300 ]    | -1.3497  |  0.0942  |  0.6916  |     1.4343      |    0.0621    |   0.3897   | 0.1072  |
[ 17 /300 ]    | -1.4840  |  0.1112  |  0.7006  |     1.5842      |    0.1128    |   0.0601   | 0.0784  |
[ 18 /300 ]    | -1.5894  |  0.1423  |  0.7220  |     1.7090      |    0.0651    |   0.3687   | 0.1107  |
[ 19 /300 ]    | -1.6856  |  0.1890  |  0.7357  |     1.8112      |    0.0881    |   0.3831   | 0.1432  |
[ 20 /300 ]    | -1.7549  |  0.2304  |  0.7459  |     1.8812      |    0.0605    |   0.3931   | 0.1048  |
[ 21 /300 ]    | -1.8231  |  0.2589  |  0.7612  |     1.9413      |    0.1129    |   0.3825   | 0.1743  |
[ 22 /300 ]    | -1.9160  |  0.2763  |  0.7789  |     2.0348      |    0.1064    |   0.3803   | 0.1663  |
[ 23 /300 ]    | -1.9409  |  0.2845  |  0.7906  |     2.0648      |    0.1129    |   0.3980   | 0.1759  |
[ 24 /300 ]    | -1.9969  |  0.3006  |  0.7984  |     2.1203      |    0.0717    |   0.3536   | 0.1192  |
[ 25 /300 ]    | -2.0588  |  0.3158  |  0.8069  |     2.1755      |    0.0793    |   0.3827   | 0.1314  |
[ 26 /300 ]    | -2.0913  |  0.3061  |  0.8164  |     2.2114      |    0.1711    |   0.4042   | 0.2404  |
[ 27 /300 ]    | -2.1198  |  0.3218  |  0.8275  |     2.2421      |    0.0860    |   0.3904   | 0.1410  |
[ 28 /300 ]    | -2.1205  |  0.3130  |  0.8329  |     2.2388      |    0.0735    |   0.4088   | 0.1246  |
[ 29 /300 ]    | -2.1578  |  0.3149  |  0.8330  |     2.2832      |    0.0957    |   0.3925   | 0.1539  |
[ 30 /300 ]    | -2.1833  |  0.3263  |  0.8329  |     2.3171      |    0.0657    |   0.4147   | 0.1134  |
[ 31 /300 ]    | -2.2168  |  0.3177  |  0.8342  |     2.3516      |    0.0963    |   0.3815   | 0.1538  |
[ 32 /300 ]    | -2.1906  |  0.3168  |  0.8436  |     2.3300      |    0.0928    |   0.3973   | 0.1505  |
[ 33 /300 ]    | -2.2255  |  0.3125  |  0.8461  |     2.3556      |    0.1298    |   0.3891   | 0.1946  |
[ 34 /300 ]    | -2.2356  |  0.3039  |  0.8508  |     2.3633      |    0.0785    |   0.4018   | 0.1313  |
[ 35 /300 ]    | -2.1903  |  0.2916  |  0.8522  |     2.3220      |    0.0887    |   0.4273   | 0.1469  |
[ 36 /300 ]    | -2.2424  |  0.2798  |  0.8555  |     2.3722      |    0.0876    |   0.4178   | 0.1448  |
[ 37 /300 ]    | -2.2142  |  0.2428  |  0.8547  |     2.3406      |    0.0905    |   0.4208   | 0.1490  |
[ 38 /300 ]    | -2.2008  |  0.2417  |  0.8644  |     2.3326      |    0.1108    |   0.4227   | 0.1756  |
[ 39 /300 ]    | -2.2335  |  0.2313  |  0.8556  |     2.3623      |    0.1116    |   0.4189   | 0.1762  |
[ 40 /300 ]    | -2.2007  |  0.2224  |  0.8692  |     2.3305      |    0.0904    |   0.1009   | 0.0953  |
[ 41 /300 ]    | -2.1951  |  0.1811  |  0.8642  |     2.3206      |    0.1143    |   0.4077   | 0.1785  |
[ 42 /300 ]    | -2.1641  |  0.1671  |  0.8731  |     2.2880      |    0.1288    |   0.3988   | 0.1947  |
[ 43 /300 ]    | -2.1395  |  0.1671  |  0.8778  |     2.2625      |    0.1347    |   0.1024   | 0.1164  |
[ 44 /300 ]    | -2.1382  |  0.1231  |  0.8805  |     2.2576      |    0.1185    |   0.3858   | 0.1813  |
