Namespace(att_size=64, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='APY', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=1995, matdataset=True, nclass_all=32, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh=1024, nrh1=1024, nrh2=521, nrh3=256, nrh4=128, nz=64, outf='./checkpoint/', outname='apy', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=2, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, save_every=100, standardization=False, start_epoch=0, syn_num=1000, val_every=1, validation=False, workers=2)
Random Seed:  1995
# of training samples:  5932
MLP_G(
  (fc1): Linear(in_features=128, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2112, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_2HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=521)
  (fc3): Linear(in_features=521, out_features=64)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -0.7623  |  0.6702  |  0.3489  |     0.7793      |    0.0471    |   0.1881   | 0.0754  |
[ 2  /300 ]    | -0.9458  |  0.8798  |  0.4521  |     0.9775      |    0.0553    |   0.1221   | 0.0761  |
[ 3  /300 ]    | -0.7539  |  0.7061  |  0.4991  |     0.7718      |    0.0902    |   0.1024   | 0.0959  |
[ 4  /300 ]    | -0.4892  |  0.5173  |  0.5189  |     0.4959      |    0.0624    |   0.4037   | 0.1080  |
[ 5  /300 ]    | -0.2947  |  0.4459  |  0.5364  |     0.2979      |    0.0656    |   0.0765   | 0.0706  |
[ 6  /300 ]    | -0.1989  |  0.4582  |  0.5384  |     0.2013      |    0.0472    |   0.3864   | 0.0841  |
[ 7  /300 ]    | -0.2459  |  0.3527  |  0.5614  |     0.2486      |    0.0727    |   0.3783   | 0.1219  |
[ 8  /300 ]    | -0.3570  |  0.2343  |  0.5642  |     0.3600      |    0.1157    |   0.0906   | 0.1016  |
[ 9  /300 ]    | -0.5013  |  0.0804  |  0.5745  |     0.5066      |    0.0619    |   0.0922   | 0.0741  |
[ 10 /300 ]    | -0.6582  | -0.0141  |  0.5925  |     0.6689      |    0.0488    |   0.4188   | 0.0874  |
[ 11 /300 ]    | -0.8005  | -0.0214  |  0.6053  |     0.8186      |    0.1118    |   0.1025   | 0.1070  |
[ 12 /300 ]    | -0.9458  | -0.0326  |  0.6183  |     0.9810      |    0.0697    |   0.4033   | 0.1188  |
[ 13 /300 ]    | -1.0362  |  0.0483  |  0.6409  |     1.0788      |    0.0563    |   0.4000   | 0.0987  |
