Namespace(att_size=85, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA1', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=9182, matdataset=True, nclass_all=50, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=85, outf='./checkpoint/', outname='awa', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=3000, val_every=1, validation=False, workers=2)
Random Seed:  9182
# of training samples:  19832
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -1.1901  |  1.4289  |  0.5899  |     1.2378      |    0.0516    |   0.4156   | 0.0918  |
[ 2  /300 ]    | -0.7061  |  0.8857  |  0.6584  |     0.7211      |    0.1019    |   0.5264   | 0.1708  |
[ 3  /300 ]    | -0.2771  |  0.5018  |  0.6945  |     0.2794      |    0.0677    |   0.1553   | 0.0943  |
[ 4  /300 ]    | -0.1488  |  0.2549  |  0.7154  |     0.1510      |    0.1112    |   0.4503   | 0.1784  |
[ 5  /300 ]    | -0.2406  |  0.0147  |  0.7325  |     0.2429      |    0.0676    |   0.4670   | 0.1181  |
[ 6  /300 ]    | -0.4384  | -0.1872  |  0.7360  |     0.4418      |    0.0609    |   0.4958   | 0.1085  |
[ 7  /300 ]    | -0.6679  | -0.1710  |  0.7439  |     0.6766      |    0.0725    |   0.4897   | 0.1263  |
[ 8  /300 ]    | -0.8265  | -0.1703  |  0.7518  |     0.8478      |    0.0752    |   0.1622   | 0.1027  |
[ 9  /300 ]    | -0.9674  | -0.1248  |  0.7625  |     1.0020      |    0.0898    |   0.5874   | 0.1558  |
[ 10 /300 ]    | -1.1317  | -0.0875  |  0.7641  |     1.1897      |    0.0867    |   0.4426   | 0.1451  |
[ 11 /300 ]    | -1.2960  | -0.0354  |  0.7689  |     1.3674      |    0.0989    |   0.5716   | 0.1686  |
[ 12 /300 ]    | -1.4627  | -0.0001  |  0.7678  |     1.5489      |    0.1402    |   0.4313   | 0.2116  |
[ 13 /300 ]    | -1.6187  |  0.0863  |  0.7790  |     1.7210      |    0.1040    |   0.4175   | 0.1666  |
[ 14 /300 ]    | -1.7443  |  0.1474  |  0.7760  |     1.8585      |    0.1014    |   0.6395   | 0.1751  |
[ 15 /300 ]    | -1.8060  |  0.1582  |  0.7793  |     1.9207      |    0.1431    |   0.4387   | 0.2158  |
[ 16 /300 ]    | -1.8693  |  0.1750  |  0.7768  |     1.9789      |    0.1494    |   0.4392   | 0.2229  |
[ 17 /300 ]    | -1.9063  |  0.1801  |  0.7801  |     2.0167      |    0.0994    |   0.4502   | 0.1629  |
[ 18 /300 ]    | -1.9438  |  0.1770  |  0.7780  |     2.0531      |    0.1586    |   0.4618   | 0.2361  |
[ 19 /300 ]    | -1.9518  |  0.1720  |  0.7824  |     2.0575      |    0.2059    |   0.2324   | 0.2184  |
[ 20 /300 ]    | -1.9487  |  0.1524  |  0.7847  |     2.0555      |    0.1730    |   0.2570   | 0.2068  |
[ 21 /300 ]    | -1.9560  |  0.1340  |  0.7797  |     2.0641      |    0.1906    |   0.2531   | 0.2175  |
[ 22 /300 ]    | -1.9488  |  0.0993  |  0.7837  |     2.0543      |    0.1283    |   0.2617   | 0.1721  |
[ 23 /300 ]    | -1.9587  |  0.0774  |  0.7861  |     2.0616      |    0.1604    |   0.5020   | 0.2431  |
[ 24 /300 ]    | -1.9785  |  0.0543  |  0.7843  |     2.0798      |    0.1276    |   0.2528   | 0.1696  |
[ 25 /300 ]    | -1.9524  |  0.0410  |  0.7820  |     2.0484      |    0.1321    |   0.5003   | 0.2090  |
[ 26 /300 ]    | -1.8830  |  0.0275  |  0.7839  |     1.9750      |    0.1356    |   0.4996   | 0.2134  |
[ 27 /300 ]    | -1.9020  |  0.0066  |  0.7861  |     1.9940      |    0.1526    |   0.4845   | 0.2321  |
[ 28 /300 ]    | -1.8594  | -0.0228  |  0.7845  |     1.9486      |    0.1621    |   0.2482   | 0.1961  |
[ 29 /300 ]    | -1.8285  | -0.0379  |  0.7784  |     1.9147      |    0.1777    |   0.4780   | 0.2590  |
[ 30 /300 ]    | -1.8020  | -0.0503  |  0.7841  |     1.8783      |    0.1524    |   0.4605   | 0.2290  |
[ 31 /300 ]    | -1.7748  | -0.0838  |  0.7844  |     1.8537      |    0.1860    |   0.4618   | 0.2652  |
[ 32 /300 ]    | -1.7210  | -0.0879  |  0.7872  |     1.7953      |    0.2340    |   0.4489   | 0.3076  |
[ 33 /300 ]    | -1.6864  | -0.1073  |  0.7843  |     1.7577      |    0.1593    |   0.4335   | 0.2330  |
[ 34 /300 ]    | -1.6406  | -0.1365  |  0.7907  |     1.7142      |    0.2164    |   0.4287   | 0.2876  |
[ 35 /300 ]    | -1.6078  | -0.1112  |  0.7930  |     1.6709      |    0.2481    |   0.3988   | 0.3059  |
[ 36 /300 ]    | -1.5971  | -0.1419  |  0.7969  |     1.6617      |    0.1872    |   0.3913   | 0.2533  |
[ 37 /300 ]    | -1.5553  | -0.1602  |  0.8016  |     1.6137      |    0.2478    |   0.3810   | 0.3003  |
[ 38 /300 ]    | -1.4859  | -0.2077  |  0.8076  |     1.5429      |    0.2501    |   0.6143   | 0.3554  |
[ 39 /300 ]    | -1.4763  | -0.2030  |  0.8164  |     1.5339      |    0.2047    |   0.5283   | 0.2951  |
[ 40 /300 ]    | -1.4339  | -0.2378  |  0.8203  |     1.4867      |    0.2290    |   0.6019   | 0.3318  |
[ 41 /300 ]    | -1.4024  | -0.2391  |  0.8233  |     1.4538      |    0.2406    |   0.4961   | 0.3240  |
[ 42 /300 ]    | -1.3455  | -0.2546  |  0.8312  |     1.3940      |    0.2889    |   0.5742   | 0.3844  |
[ 43 /300 ]    | -1.3380  | -0.2757  |  0.8375  |     1.3868      |    0.2124    |   0.6479   | 0.3199  |
[ 44 /300 ]    | -1.3223  | -0.2892  |  0.8408  |     1.3687      |    0.2597    |   0.4679   | 0.3340  |
[ 45 /300 ]    | -1.2791  | -0.2812  |  0.8484  |     1.3232      |    0.2744    |   0.5587   | 0.3680  |
[ 46 /300 ]    | -1.2364  | -0.3014  |  0.8505  |     1.2786      |    0.2704    |   0.5451   | 0.3615  |
[ 47 /300 ]    | -1.2325  | -0.3230  |  0.8561  |     1.2737      |    0.3030    |   0.4411   | 0.3592  |
[ 48 /300 ]    | -1.2053  | -0.3322  |  0.8590  |     1.2484      |    0.2787    |   0.6089   | 0.3824  |
[ 49 /300 ]    | -1.2061  | -0.3555  |  0.8625  |     1.2470      |    0.3104    |   0.5211   | 0.3891  |
[ 50 /300 ]    | -1.1689  | -0.3558  |  0.8659  |     1.2105      |    0.3146    |   0.5330   | 0.3957  |
[ 51 /300 ]    | -1.1575  | -0.3462  |  0.8678  |     1.1957      |    0.2825    |   0.5870   | 0.3814  |
[ 52 /300 ]    | -1.1329  | -0.3636  |  0.8674  |     1.1737      |    0.3079    |   0.5810   | 0.4025  |
[ 53 /300 ]    | -1.1276  | -0.3468  |  0.8703  |     1.1643      |    0.3032    |   0.5745   | 0.3969  |
[ 54 /300 ]    | -1.1109  | -0.3514  |  0.8721  |     1.1480      |    0.3002    |   0.5825   | 0.3962  |
[ 55 /300 ]    | -1.1070  | -0.3799  |  0.8739  |     1.1435      |    0.3068    |   0.6264   | 0.4119  |
[ 56 /300 ]    | -1.0967  | -0.3448  |  0.8758  |     1.1325      |    0.2971    |   0.6168   | 0.4010  |
[ 57 /300 ]    | -1.0718  | -0.3855  |  0.8803  |     1.1084      |    0.3215    |   0.6150   | 0.4222  |
[ 58 /300 ]    | -1.0665  | -0.4017  |  0.8806  |     1.1014      |    0.3403    |   0.5592   | 0.4231  |
[ 59 /300 ]    | -1.0622  | -0.3689  |  0.8824  |     1.0974      |    0.3726    |   0.5486   | 0.4438  |
[ 60 /300 ]    | -1.0696  | -0.3443  |  0.8858  |     1.1063      |    0.3909    |   0.5405   | 0.4537  |
[ 61 /300 ]    | -1.0312  | -0.3427  |  0.8857  |     1.0660      |    0.3692    |   0.5507   | 0.4420  |
[ 62 /300 ]    | -1.0295  | -0.3710  |  0.8879  |     1.0644      |    0.3501    |   0.5368   | 0.4238  |
[ 63 /300 ]    | -1.0197  | -0.3248  |  0.8897  |     1.0541      |    0.3879    |   0.5322   | 0.4487  |
[ 64 /300 ]    | -1.0397  | -0.3786  |  0.8904  |     1.0738      |    0.3848    |   0.5834   | 0.4637  |
[ 65 /300 ]    | -1.0255  | -0.3577  |  0.8927  |     1.0611      |    0.3560    |   0.6248   | 0.4536  |
[ 66 /300 ]    | -0.9989  | -0.3546  |  0.8943  |     1.0327      |    0.3213    |   0.6750   | 0.4354  |
[ 67 /300 ]    | -1.0210  | -0.3378  |  0.8957  |     1.0566      |    0.3464    |   0.6144   | 0.4430  |
[ 68 /300 ]    | -1.0262  | -0.3391  |  0.8976  |     1.0615      |    0.3922    |   0.5701   | 0.4647  |
[ 69 /300 ]    | -0.9908  | -0.3423  |  0.8993  |     1.0253      |    0.3934    |   0.5076   | 0.4433  |
[ 70 /300 ]    | -0.9972  | -0.3250  |  0.9021  |     1.0317      |    0.3775    |   0.6011   | 0.4638  |
[ 71 /300 ]    | -0.9522  | -0.3011  |  0.9004  |     0.9850      |    0.4130    |   0.5525   | 0.4727  |
[ 72 /300 ]    | -0.9916  | -0.3350  |  0.9055  |     1.0254      |    0.3908    |   0.6027   | 0.4741  |
[ 73 /300 ]    | -0.9902  | -0.3471  |  0.9059  |     1.0241      |    0.3724    |   0.6581   | 0.4757  |
[ 74 /300 ]    | -0.9866  | -0.3646  |  0.9052  |     1.0232      |    0.3840    |   0.6609   | 0.4858  |
[ 75 /300 ]    | -0.9763  | -0.3210  |  0.9092  |     1.0131      |    0.4030    |   0.6304   | 0.4916  |
[ 76 /300 ]    | -0.9802  | -0.3512  |  0.9105  |     1.0157      |    0.3646    |   0.6624   | 0.4703  |
[ 77 /300 ]    | -0.9559  | -0.3190  |  0.9105  |     0.9902      |    0.4272    |   0.5796   | 0.4919  |
[ 78 /300 ]    | -0.9770  | -0.2970  |  0.9130  |     1.0141      |    0.4186    |   0.5785   | 0.4857  |
[ 79 /300 ]    | -0.9990  | -0.3286  |  0.9137  |     1.0373      |    0.4038    |   0.6150   | 0.4875  |
[ 80 /300 ]    | -0.9526  | -0.3794  |  0.9143  |     0.9882      |    0.4200    |   0.6115   | 0.4980  |
[ 81 /300 ]    | -0.9569  | -0.3286  |  0.9161  |     0.9926      |    0.4126    |   0.6434   | 0.5027  |
[ 82 /300 ]    | -0.9525  | -0.3408  |  0.9177  |     0.9885      |    0.4245    |   0.6491   | 0.5133  |
[ 83 /300 ]    | -0.9688  | -0.3400  |  0.9190  |     1.0055      |    0.4328    |   0.6422   | 0.5171  |
[ 84 /300 ]    | -0.9538  | -0.3323  |  0.9202  |     0.9901      |    0.4233    |   0.6401   | 0.5096  |
