Namespace(attSize=85, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA1', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=9182, matdataset=True, nclass_all=50, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=85, outf='./checkpoint/', outname='awa', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=1, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=3000, val_every=1, validation=False, workers=2)
Random Seed:  9182
# of training samples:  19832
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_1HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=85)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -1.2484  |  1.4986  |  0.6759  |     1.2980      |    0.0416    |   0.4301   | 0.0759  |
[ 2  /300 ]    | -0.7594  |  0.9937  |  0.7195  |     0.7761      |    0.0773    |   0.5129   | 0.1343  |
[ 3  /300 ]    | -0.3039  |  0.6450  |  0.7454  |     0.3063      |    0.0962    |   0.4539   | 0.1588  |
[ 4  /300 ]    | -0.1642  |  0.3606  |  0.7549  |     0.1663      |    0.0821    |   0.5861   | 0.1440  |
[ 5  /300 ]    | -0.2272  |  0.0525  |  0.7634  |     0.2294      |    0.1396    |   0.1591   | 0.1487  |
[ 6  /300 ]    | -0.4253  | -0.0552  |  0.7682  |     0.4295      |    0.0986    |   0.1987   | 0.1318  |
[ 7  /300 ]    | -0.6666  | -0.1803  |  0.7693  |     0.6753      |    0.0823    |   0.1821   | 0.1134  |
[ 8  /300 ]    | -0.8143  | -0.1319  |  0.7711  |     0.8347      |    0.1049    |   0.4807   | 0.1722  |
[ 9  /300 ]    | -0.9707  | -0.0923  |  0.7726  |     1.0103      |    0.1122    |   0.1605   | 0.1321  |
[ 10 /300 ]    | -1.1183  | -0.0805  |  0.7812  |     1.1779      |    0.0975    |   0.5851   | 0.1672  |
[ 11 /300 ]    | -1.2966  | -0.0073  |  0.7801  |     1.3746      |    0.0961    |   0.4396   | 0.1577  |
[ 12 /300 ]    | -1.4429  |  0.0024  |  0.7810  |     1.5311      |    0.1605    |   0.4331   | 0.2343  |
[ 13 /300 ]    | -1.6175  |  0.1040  |  0.7844  |     1.7292      |    0.0992    |   0.4389   | 0.1619  |
[ 14 /300 ]    | -1.7371  |  0.1588  |  0.7809  |     1.8484      |    0.0809    |   0.4221   | 0.1358  |
[ 15 /300 ]    | -1.7994  |  0.1715  |  0.7823  |     1.9079      |    0.1585    |   0.4231   | 0.2306  |
[ 16 /300 ]    | -1.8630  |  0.1930  |  0.7873  |     1.9671      |    0.1514    |   0.4466   | 0.2261  |
[ 17 /300 ]    | -1.9084  |  0.2016  |  0.7895  |     2.0125      |    0.1176    |   0.5768   | 0.1953  |
[ 18 /300 ]    | -1.9099  |  0.1879  |  0.7861  |     2.0160      |    0.1759    |   0.2188   | 0.1950  |
[ 19 /300 ]    | -1.9304  |  0.1830  |  0.7918  |     2.0359      |    0.1288    |   0.4816   | 0.2032  |
[ 20 /300 ]    | -1.9494  |  0.1603  |  0.7943  |     2.0545      |    0.1773    |   0.2476   | 0.2066  |
[ 21 /300 ]    | -1.9400  |  0.1502  |  0.7972  |     2.0426      |    0.1197    |   0.2530   | 0.1625  |
[ 22 /300 ]    | -1.9510  |  0.1169  |  0.7981  |     2.0484      |    0.1132    |   0.4944   | 0.1842  |
[ 23 /300 ]    | -1.9271  |  0.0858  |  0.8018  |     2.0212      |    0.1547    |   0.2614   | 0.1943  |
[ 24 /300 ]    | -1.9191  |  0.0741  |  0.8089  |     2.0209      |    0.1393    |   0.2730   | 0.1845  |
[ 25 /300 ]    | -1.9027  |  0.0444  |  0.8126  |     1.9994      |    0.1248    |   0.4850   | 0.1985  |
[ 26 /300 ]    | -1.8731  |  0.0128  |  0.8160  |     1.9655      |    0.1111    |   0.2649   | 0.1566  |
[ 27 /300 ]    | -1.8675  |  0.0053  |  0.8227  |     1.9546      |    0.1435    |   0.4896   | 0.2220  |
[ 28 /300 ]    | -1.8032  | -0.0243  |  0.8320  |     1.8899      |    0.1659    |   0.4716   | 0.2454  |
[ 29 /300 ]    | -1.7928  | -0.0440  |  0.8398  |     1.8759      |    0.1585    |   0.4766   | 0.2379  |
[ 30 /300 ]    | -1.7962  | -0.0579  |  0.8502  |     1.8753      |    0.1626    |   0.4539   | 0.2394  |
[ 31 /300 ]    | -1.7506  | -0.0725  |  0.8547  |     1.8281      |    0.1638    |   0.4419   | 0.2390  |
[ 32 /300 ]    | -1.6990  | -0.0962  |  0.8609  |     1.7707      |    0.2076    |   0.4328   | 0.2806  |
[ 33 /300 ]    | -1.6581  | -0.0992  |  0.8692  |     1.7263      |    0.2166    |   0.4279   | 0.2876  |
[ 34 /300 ]    | -1.6368  | -0.1274  |  0.8725  |     1.7048      |    0.1719    |   0.5544   | 0.2624  |
[ 35 /300 ]    | -1.6026  | -0.1544  |  0.8786  |     1.6661      |    0.1982    |   0.5406   | 0.2900  |
[ 36 /300 ]    | -1.5476  | -0.1590  |  0.8823  |     1.6099      |    0.2301    |   0.5480   | 0.3241  |
[ 37 /300 ]    | -1.5169  | -0.1849  |  0.8855  |     1.5765      |    0.2396    |   0.3776   | 0.2932  |
[ 38 /300 ]    | -1.5023  | -0.1763  |  0.8911  |     1.5615      |    0.2508    |   0.3703   | 0.2990  |
[ 39 /300 ]    | -1.4553  | -0.2044  |  0.8929  |     1.5094      |    0.2050    |   0.6105   | 0.3069  |
[ 40 /300 ]    | -1.4422  | -0.2145  |  0.8943  |     1.4959      |    0.2159    |   0.5098   | 0.3033  |
