Namespace(att_size=85, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA1', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=9182, matdataset=True, nclass_all=50, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=85, outf='./checkpoint/', outname='awa', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=3, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=3000, val_every=1, validation=False, workers=2)
Random Seed:  9182
# of training samples:  19832
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_3HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -1.2213  |  1.4562  |  0.5591  |     1.2704      |    0.0525    |   0.4231   | 0.0934  |
[ 2  /300 ]    | -0.7489  |  0.9534  |  0.6487  |     0.7654      |    0.1060    |   0.2484   | 0.1486  |
[ 3  /300 ]    | -0.3097  |  0.5786  |  0.6781  |     0.3121      |    0.0821    |   0.4436   | 0.1386  |
[ 4  /300 ]    | -0.1511  |  0.3358  |  0.7007  |     0.1530      |    0.0773    |   0.4531   | 0.1321  |
[ 5  /300 ]    | -0.2306  |  0.0355  |  0.7126  |     0.2327      |    0.0918    |   0.4711   | 0.1537  |
[ 6  /300 ]    | -0.4111  | -0.0734  |  0.7257  |     0.4148      |    0.1015    |   0.4963   | 0.1686  |
[ 7  /300 ]    | -0.6632  | -0.1516  |  0.7317  |     0.6722      |    0.0826    |   0.4928   | 0.1414  |
[ 8  /300 ]    | -0.8236  | -0.1796  |  0.7366  |     0.8426      |    0.1093    |   0.4882   | 0.1785  |
[ 9  /300 ]    | -0.9572  | -0.1236  |  0.7413  |     0.9935      |    0.1084    |   0.5895   | 0.1831  |
[ 10 /300 ]    | -1.1107  | -0.0787  |  0.7409  |     1.1669      |    0.0904    |   0.4419   | 0.1500  |
[ 11 /300 ]    | -1.2882  | -0.0449  |  0.7454  |     1.3637      |    0.1385    |   0.4492   | 0.2118  |
[ 12 /300 ]    | -1.4530  | -0.0062  |  0.7453  |     1.5378      |    0.0770    |   0.4365   | 0.1308  |
[ 13 /300 ]    | -1.6003  |  0.0953  |  0.7544  |     1.7047      |    0.1212    |   0.6404   | 0.2039  |
[ 14 /300 ]    | -1.7331  |  0.1525  |  0.7525  |     1.8386      |    0.1093    |   0.4269   | 0.1740  |
[ 15 /300 ]    | -1.7975  |  0.1651  |  0.7533  |     1.9108      |    0.1422    |   0.4352   | 0.2144  |
