Namespace(att_size=85, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA1', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=9182, matdataset=True, nclass_all=50, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=85, outf='./checkpoint/', outname='awa', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=2, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=3000, val_every=1, validation=False, workers=2)
Random Seed:  9182
# of training samples:  19832
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_2HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -1.2319  |  1.4724  |  0.5975  |     1.2824      |    0.0527    |   0.4387   | 0.0941  |
[ 2  /300 ]    | -0.7530  |  0.9751  |  0.6661  |     0.7691      |    0.1330    |   0.2230   | 0.1666  |
[ 3  /300 ]    | -0.3054  |  0.6371  |  0.6927  |     0.3079      |    0.1010    |   0.4360   | 0.1640  |
[ 4  /300 ]    | -0.1500  |  0.3881  |  0.7166  |     0.1522      |    0.0916    |   0.4404   | 0.1516  |
[ 5  /300 ]    | -0.2347  |  0.0685  |  0.7259  |     0.2370      |    0.0671    |   0.4717   | 0.1175  |
[ 6  /300 ]    | -0.4112  | -0.1395  |  0.7355  |     0.4146      |    0.1316    |   0.5031   | 0.2086  |
[ 7  /300 ]    | -0.6474  | -0.1207  |  0.7428  |     0.6567      |    0.0601    |   0.4965   | 0.1072  |
[ 8  /300 ]    | -0.8254  | -0.1573  |  0.7530  |     0.8476      |    0.0585    |   0.4828   | 0.1044  |
[ 9  /300 ]    | -0.9717  | -0.1060  |  0.7542  |     1.0078      |    0.0923    |   0.4651   | 0.1540  |
[ 10 /300 ]    | -1.1202  | -0.0846  |  0.7613  |     1.1774      |    0.0804    |   0.5839   | 0.1413  |
[ 11 /300 ]    | -1.2817  | -0.0468  |  0.7627  |     1.3514      |    0.1162    |   0.4490   | 0.1847  |
[ 12 /300 ]    | -1.4570  |  0.0172  |  0.7604  |     1.5480      |    0.0974    |   0.4238   | 0.1584  |
[ 13 /300 ]    | -1.6000  |  0.1125  |  0.7641  |     1.7064      |    0.1234    |   0.5652   | 0.2026  |
[ 14 /300 ]    | -1.7247  |  0.1587  |  0.7660  |     1.8355      |    0.1442    |   0.4220   | 0.2149  |
[ 15 /300 ]    | -1.8031  |  0.1819  |  0.7655  |     1.9133      |    0.1197    |   0.6538   | 0.2024  |
[ 16 /300 ]    | -1.8563  |  0.1897  |  0.7717  |     1.9733      |    0.1237    |   0.5772   | 0.2038  |
[ 17 /300 ]    | -1.9109  |  0.2002  |  0.7658  |     2.0221      |    0.1404    |   0.4618   | 0.2153  |
[ 18 /300 ]    | -1.9423  |  0.2061  |  0.7715  |     2.0516      |    0.1594    |   0.4676   | 0.2378  |
[ 19 /300 ]    | -1.9305  |  0.1873  |  0.7764  |     2.0306      |    0.1588    |   0.4718   | 0.2376  |
[ 20 /300 ]    | -1.9617  |  0.1645  |  0.7693  |     2.0657      |    0.2116    |   0.2503   | 0.2293  |
[ 21 /300 ]    | -1.9744  |  0.1534  |  0.7741  |     2.0830      |    0.1460    |   0.2494   | 0.1842  |
[ 22 /300 ]    | -1.9865  |  0.1207  |  0.7769  |     2.0938      |    0.1464    |   0.4970   | 0.2262  |
[ 23 /300 ]    | -1.9517  |  0.0988  |  0.7750  |     2.0538      |    0.1887    |   0.2610   | 0.2190  |
[ 24 /300 ]    | -1.9330  |  0.0746  |  0.7783  |     2.0372      |    0.1249    |   0.4990   | 0.1998  |
[ 25 /300 ]    | -1.9374  |  0.0536  |  0.7805  |     2.0373      |    0.1735    |   0.4984   | 0.2574  |
[ 26 /300 ]    | -1.9078  |  0.0332  |  0.7824  |     2.0049      |    0.1132    |   0.4885   | 0.1838  |
[ 27 /300 ]    | -1.8642  |  0.0109  |  0.7828  |     1.9587      |    0.1250    |   0.4936   | 0.1995  |
[ 28 /300 ]    | -1.8418  | -0.0131  |  0.7843  |     1.9341      |    0.1870    |   0.2354   | 0.2084  |
[ 29 /300 ]    | -1.8354  | -0.0360  |  0.7879  |     1.9224      |    0.1982    |   0.4742   | 0.2796  |
[ 30 /300 ]    | -1.8152  | -0.0576  |  0.7825  |     1.8958      |    0.1975    |   0.4704   | 0.2782  |
[ 31 /300 ]    | -1.7345  | -0.0771  |  0.7910  |     1.8164      |    0.1766    |   0.4563   | 0.2546  |
[ 32 /300 ]    | -1.7271  | -0.1126  |  0.7941  |     1.7995      |    0.1657    |   0.4376   | 0.2404  |
[ 33 /300 ]    | -1.6886  | -0.1052  |  0.7962  |     1.7592      |    0.2211    |   0.4299   | 0.2920  |
[ 34 /300 ]    | -1.6512  | -0.1236  |  0.8026  |     1.7187      |    0.1828    |   0.4168   | 0.2542  |
[ 35 /300 ]    | -1.6174  | -0.1550  |  0.8089  |     1.6803      |    0.2318    |   0.3950   | 0.2922  |
[ 36 /300 ]    | -1.5820  | -0.1678  |  0.8189  |     1.6449      |    0.1900    |   0.5427   | 0.2814  |
[ 37 /300 ]    | -1.5237  | -0.1763  |  0.8209  |     1.5823      |    0.2351    |   0.6189   | 0.3408  |
[ 38 /300 ]    | -1.5160  | -0.1991  |  0.8292  |     1.5752      |    0.2283    |   0.5245   | 0.3181  |
[ 39 /300 ]    | -1.4620  | -0.2043  |  0.8346  |     1.5167      |    0.2315    |   0.6086   | 0.3354  |
[ 40 /300 ]    | -1.4357  | -0.2256  |  0.8397  |     1.4891      |    0.2166    |   0.6051   | 0.3190  |
[ 41 /300 ]    | -1.3989  | -0.2504  |  0.8440  |     1.4475      |    0.2533    |   0.4931   | 0.3347  |
[ 42 /300 ]    | -1.3677  | -0.2697  |  0.8524  |     1.4171      |    0.2455    |   0.5857   | 0.3460  |
[ 43 /300 ]    | -1.3523  | -0.2756  |  0.8525  |     1.4008      |    0.2504    |   0.4771   | 0.3284  |
