Namespace(att_size=85, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=9182, matdataset=True, nclass_all=50, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=3000, val_every=1, validation=False, workers=2)
Random Seed:  9182
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -1.1920  |  1.4343  |  0.6100  |     1.2388      |    0.0704    |   0.5549   | 0.1249  |
[ 2  /300 ]    | -0.5981  |  0.7921  |  0.6771  |     0.6075      |    0.0475    |   0.3866   | 0.0847  |
[ 3  /300 ]    | -0.2104  |  0.4182  |  0.7127  |     0.2124      |    0.0677    |   0.6100   | 0.1219  |
[ 4  /300 ]    | -0.2077  |  0.0812  |  0.7353  |     0.2102      |    0.1271    |   0.3512   | 0.1866  |
[ 5  /300 ]    | -0.3886  | -0.2210  |  0.7503  |     0.3921      |    0.0783    |   0.6335   | 0.1394  |
[ 6  /300 ]    | -0.6536  | -0.2185  |  0.7556  |     0.6649      |    0.1044    |   0.3689   | 0.1628  |
[ 7  /300 ]    | -0.8427  | -0.1876  |  0.7615  |     0.8718      |    0.0669    |   0.3572   | 0.1127  |
[ 8  /300 ]    | -1.0302  | -0.1670  |  0.7672  |     1.0849      |    0.1139    |   0.3397   | 0.1706  |
[ 9  /300 ]    | -1.2072  | -0.1054  |  0.7702  |     1.2801      |    0.0990    |   0.3412   | 0.1535  |
[ 10 /300 ]    | -1.3915  | -0.0709  |  0.7701  |     1.4943      |    0.1153    |   0.3145   | 0.1688  |
[ 11 /300 ]    | -1.5595  |  0.0167  |  0.7751  |     1.6702      |    0.0922    |   0.5987   | 0.1597  |
[ 12 /300 ]    | -1.7079  |  0.0777  |  0.7789  |     1.8198      |    0.1371    |   0.3086   | 0.1899  |
[ 13 /300 ]    | -1.7930  |  0.0969  |  0.7858  |     1.9034      |    0.0807    |   0.6050   | 0.1425  |
[ 14 /300 ]    | -1.8283  |  0.1133  |  0.7851  |     1.9340      |    0.0963    |   0.6198   | 0.1667  |
[ 15 /300 ]    | -1.8734  |  0.1149  |  0.7872  |     1.9771      |    0.0961    |   0.6320   | 0.1669  |
[ 16 /300 ]    | -1.8922  |  0.1029  |  0.7869  |     1.9928      |    0.2191    |   0.4269   | 0.2896  |
[ 17 /300 ]    | -1.9021  |  0.0966  |  0.7846  |     2.0011      |    0.1775    |   0.4441   | 0.2536  |
[ 18 /300 ]    | -1.8993  |  0.0667  |  0.7904  |     2.0000      |    0.1151    |   0.4571   | 0.1839  |
[ 19 /300 ]    | -1.8872  |  0.0353  |  0.7867  |     1.9819      |    0.1369    |   0.4537   | 0.2103  |
[ 20 /300 ]    | -1.8930  |  0.0174  |  0.7915  |     1.9907      |    0.1231    |   0.4543   | 0.1937  |
[ 21 /300 ]    | -1.8981  | -0.0216  |  0.7875  |     1.9965      |    0.1422    |   0.4408   | 0.2150  |
[ 22 /300 ]    | -1.8622  | -0.0353  |  0.7882  |     1.9556      |    0.1592    |   0.4467   | 0.2348  |
[ 23 /300 ]    | -1.8431  | -0.0479  |  0.7901  |     1.9415      |    0.0934    |   0.4389   | 0.1540  |
[ 24 /300 ]    | -1.8131  | -0.0922  |  0.7896  |     1.8980      |    0.1405    |   0.6445   | 0.2307  |
[ 25 /300 ]    | -1.7611  | -0.0976  |  0.7923  |     1.8428      |    0.1497    |   0.4079   | 0.2190  |
[ 26 /300 ]    | -1.7336  | -0.1286  |  0.7924  |     1.8132      |    0.1625    |   0.4012   | 0.2313  |
[ 27 /300 ]    | -1.6855  | -0.1526  |  0.7934  |     1.7580      |    0.1866    |   0.3974   | 0.2539  |
[ 28 /300 ]    | -1.6864  | -0.1597  |  0.7919  |     1.7622      |    0.2017    |   0.3736   | 0.2620  |
[ 29 /300 ]    | -1.6309  | -0.1679  |  0.7968  |     1.6963      |    0.1904    |   0.5900   | 0.2879  |
[ 30 /300 ]    | -1.6063  | -0.2034  |  0.8026  |     1.6742      |    0.1627    |   0.5933   | 0.2553  |
[ 31 /300 ]    | -1.5657  | -0.2002  |  0.8091  |     1.6265      |    0.1699    |   0.5889   | 0.2637  |
[ 32 /300 ]    | -1.5367  | -0.2382  |  0.8117  |     1.5989      |    0.2398    |   0.3002   | 0.2666  |
[ 33 /300 ]    | -1.4940  | -0.2331  |  0.8236  |     1.5508      |    0.1715    |   0.5542   | 0.2619  |
[ 34 /300 ]    | -1.4576  | -0.2568  |  0.8287  |     1.5122      |    0.1915    |   0.5481   | 0.2839  |
[ 35 /300 ]    | -1.4280  | -0.2752  |  0.8354  |     1.4813      |    0.2263    |   0.5500   | 0.3207  |
[ 36 /300 ]    | -1.3676  | -0.3095  |  0.8430  |     1.4174      |    0.2259    |   0.5258   | 0.3160  |
[ 37 /300 ]    | -1.3361  | -0.2988  |  0.8448  |     1.3863      |    0.2455    |   0.5159   | 0.3327  |
[ 38 /300 ]    | -1.3134  | -0.3189  |  0.8533  |     1.3597      |    0.2265    |   0.5156   | 0.3148  |
[ 39 /300 ]    | -1.3143  | -0.3416  |  0.8550  |     1.3609      |    0.2364    |   0.6252   | 0.3431  |
[ 40 /300 ]    | -1.2838  | -0.3655  |  0.8575  |     1.3290      |    0.2076    |   0.4911   | 0.2918  |
[ 41 /300 ]    | -1.2736  | -0.3753  |  0.8609  |     1.3163      |    0.2735    |   0.4812   | 0.3488  |
[ 42 /300 ]    | -1.2535  | -0.3780  |  0.8642  |     1.2964      |    0.2634    |   0.6010   | 0.3663  |
[ 43 /300 ]    | -1.2378  | -0.3843  |  0.8663  |     1.2811      |    0.2367    |   0.5978   | 0.3391  |
[ 44 /300 ]    | -1.2041  | -0.4083  |  0.8688  |     1.2472      |    0.3645    |   0.4416   | 0.3993  |
[ 45 /300 ]    | -1.2142  | -0.4387  |  0.8736  |     1.2570      |    0.2856    |   0.5857   | 0.3839  |
