Namespace(attSize=85, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=9182, matdataset=True, nclass_all=50, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=1, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=3000, val_every=1, validation=False, workers=2)
Random Seed:  9182
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_1HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=85)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -1.2472  |  1.5130  |  0.6910  |     1.2983      |    0.0357    |   0.5675   | 0.0672  |
[ 2  /300 ]    | -0.6264  |  0.9010  |  0.7377  |     0.6370      |    0.0651    |   0.6329   | 0.1180  |
[ 3  /300 ]    | -0.2284  |  0.5535  |  0.7527  |     0.2302      |    0.0885    |   0.3244   | 0.1391  |
[ 4  /300 ]    | -0.1949  |  0.1941  |  0.7641  |     0.1974      |    0.1159    |   0.3391   | 0.1727  |
[ 5  /300 ]    | -0.3792  | -0.1373  |  0.7721  |     0.3826      |    0.0836    |   0.3693   | 0.1363  |
[ 6  /300 ]    | -0.6401  | -0.1978  |  0.7762  |     0.6521      |    0.0471    |   0.3756   | 0.0837  |
[ 7  /300 ]    | -0.8455  | -0.1869  |  0.7800  |     0.8776      |    0.0782    |   0.6187   | 0.1389  |
[ 8  /300 ]    | -1.0296  | -0.1040  |  0.7789  |     1.0809      |    0.0810    |   0.3486   | 0.1315  |
[ 9  /300 ]    | -1.1917  | -0.1238  |  0.7895  |     1.2677      |    0.0426    |   0.3395   | 0.0757  |
[ 10 /300 ]    | -1.3812  | -0.0688  |  0.7817  |     1.4714      |    0.1070    |   0.5857   | 0.1810  |
[ 11 /300 ]    | -1.5696  |  0.0248  |  0.7878  |     1.6803      |    0.1303    |   0.3087   | 0.1832  |
[ 12 /300 ]    | -1.6843  |  0.0745  |  0.7904  |     1.7969      |    0.1293    |   0.5873   | 0.2119  |
[ 13 /300 ]    | -1.7713  |  0.0900  |  0.7884  |     1.8848      |    0.0950    |   0.5994   | 0.1639  |
[ 14 /300 ]    | -1.8274  |  0.1223  |  0.7925  |     1.9345      |    0.1333    |   0.3553   | 0.1939  |
[ 15 /300 ]    | -1.8800  |  0.1077  |  0.7965  |     1.9802      |    0.1816    |   0.3793   | 0.2456  |
[ 16 /300 ]    | -1.9006  |  0.1108  |  0.7964  |     2.0015      |    0.1190    |   0.6335   | 0.2004  |
[ 17 /300 ]    | -1.9033  |  0.1026  |  0.7996  |     2.0023      |    0.0897    |   0.6438   | 0.1575  |
[ 18 /300 ]    | -1.9003  |  0.0791  |  0.7990  |     1.9985      |    0.1488    |   0.4316   | 0.2213  |
[ 19 /300 ]    | -1.8970  |  0.0510  |  0.8058  |     1.9966      |    0.1220    |   0.4603   | 0.1928  |
[ 20 /300 ]    | -1.8997  |  0.0146  |  0.8097  |     1.9935      |    0.1381    |   0.4514   | 0.2115  |
[ 21 /300 ]    | -1.8685  | -0.0077  |  0.8123  |     1.9605      |    0.0808    |   0.7119   | 0.1452  |
[ 22 /300 ]    | -1.8625  | -0.0322  |  0.8174  |     1.9572      |    0.1287    |   0.4356   | 0.1987  |
[ 23 /300 ]    | -1.8482  | -0.0582  |  0.8256  |     1.9374      |    0.1198    |   0.4482   | 0.1891  |
[ 24 /300 ]    | -1.8010  | -0.0626  |  0.8327  |     1.8859      |    0.1414    |   0.4341   | 0.2133  |
[ 25 /300 ]    | -1.7730  | -0.0864  |  0.8454  |     1.8534      |    0.1845    |   0.4064   | 0.2538  |
[ 26 /300 ]    | -1.7020  | -0.1072  |  0.8534  |     1.7776      |    0.1735    |   0.4337   | 0.2478  |
[ 27 /300 ]    | -1.7104  | -0.1207  |  0.8582  |     1.7814      |    0.1398    |   0.6114   | 0.2275  |
[ 28 /300 ]    | -1.6610  | -0.1536  |  0.8650  |     1.7340      |    0.1955    |   0.3792   | 0.2580  |
[ 29 /300 ]    | -1.6400  | -0.1571  |  0.8732  |     1.7072      |    0.1988    |   0.6053   | 0.2993  |
[ 30 /300 ]    | -1.5952  | -0.1758  |  0.8752  |     1.6608      |    0.1728    |   0.3474   | 0.2307  |
[ 31 /300 ]    | -1.5574  | -0.1907  |  0.8824  |     1.6215      |    0.1775    |   0.5812   | 0.2720  |
[ 32 /300 ]    | -1.5065  | -0.2273  |  0.8892  |     1.5655      |    0.1510    |   0.5805   | 0.2396  |
[ 33 /300 ]    | -1.4901  | -0.2278  |  0.8925  |     1.5471      |    0.2031    |   0.5733   | 0.2999  |
