Namespace(attSize=85, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=9182, matdataset=True, nclass_all=50, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=3, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=3000, val_every=1, validation=False, workers=2)
Random Seed:  9182
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_3HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -1.2468  |  1.4812  |  0.5842  |     1.2980      |    0.0331    |   0.5456   | 0.0624  |
[ 2  /300 ]    | -0.6080  |  0.8592  |  0.6625  |     0.6182      |    0.0841    |   0.3706   | 0.1371  |
[ 3  /300 ]    | -0.2238  |  0.4906  |  0.6918  |     0.2258      |    0.1426    |   0.5953   | 0.2301  |
[ 4  /300 ]    | -0.1973  |  0.1706  |  0.7159  |     0.2000      |    0.0684    |   0.3366   | 0.1136  |
[ 5  /300 ]    | -0.3833  | -0.1398  |  0.7254  |     0.3871      |    0.0832    |   0.3713   | 0.1359  |
[ 6  /300 ]    | -0.6550  | -0.2346  |  0.7371  |     0.6664      |    0.0783    |   0.3644   | 0.1289  |
[ 7  /300 ]    | -0.8360  | -0.1570  |  0.7401  |     0.8656      |    0.1038    |   0.3586   | 0.1609  |
[ 8  /300 ]    | -1.0263  | -0.1540  |  0.7461  |     1.0767      |    0.0637    |   0.3508   | 0.1079  |
[ 9  /300 ]    | -1.1893  | -0.1094  |  0.7500  |     1.2610      |    0.0772    |   0.5933   | 0.1366  |
[ 10 /300 ]    | -1.3777  | -0.0427  |  0.7498  |     1.4755      |    0.1523    |   0.3165   | 0.2057  |
[ 11 /300 ]    | -1.5483  |  0.0076  |  0.7556  |     1.6498      |    0.1216    |   0.3010   | 0.1732  |
[ 12 /300 ]    | -1.6771  |  0.0891  |  0.7572  |     1.7907      |    0.1203    |   0.5884   | 0.1998  |
[ 13 /300 ]    | -1.7591  |  0.1093  |  0.7591  |     1.8714      |    0.1257    |   0.3451   | 0.1843  |
[ 14 /300 ]    | -1.8406  |  0.1171  |  0.7606  |     1.9484      |    0.1158    |   0.3835   | 0.1779  |
[ 15 /300 ]    | -1.8590  |  0.1222  |  0.7653  |     1.9670      |    0.1087    |   0.4136   | 0.1722  |
