Namespace(attSize=85, batch_size=1024, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=9182, matdataset=True, nclass_all=50, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=2, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=3000, val_every=1, validation=False, workers=2)
Random Seed:  9182
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2133, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_2HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=85)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -1.2232  |  1.4803  |  0.6193  |     1.2729      |    0.0484    |   0.5624   | 0.0891  |
[ 2  /300 ]    | -0.6235  |  0.8906  |  0.6807  |     0.6339      |    0.0943    |   0.3762   | 0.1507  |
[ 3  /300 ]    | -0.2304  |  0.5444  |  0.7134  |     0.2323      |    0.1042    |   0.3058   | 0.1554  |
[ 4  /300 ]    | -0.1908  |  0.1794  |  0.7316  |     0.1934      |    0.0903    |   0.3602   | 0.1444  |
[ 5  /300 ]    | -0.3754  | -0.1523  |  0.7382  |     0.3792      |    0.0612    |   0.3638   | 0.1048  |
[ 6  /300 ]    | -0.6601  | -0.1562  |  0.7531  |     0.6718      |    0.1003    |   0.3811   | 0.1588  |
[ 7  /300 ]    | -0.8440  | -0.2043  |  0.7540  |     0.8744      |    0.0922    |   0.6216   | 0.1606  |
[ 8  /300 ]    | -1.0224  | -0.1009  |  0.7622  |     1.0747      |    0.0922    |   0.3393   | 0.1450  |
[ 9  /300 ]    | -1.2025  | -0.0926  |  0.7642  |     1.2781      |    0.0937    |   0.6082   | 0.1624  |
[ 10 /300 ]    | -1.3842  | -0.0679  |  0.7606  |     1.4767      |    0.0885    |   0.5954   | 0.1540  |
[ 11 /300 ]    | -1.5557  |  0.0236  |  0.7673  |     1.6721      |    0.0842    |   0.5921   | 0.1475  |
[ 12 /300 ]    | -1.6866  |  0.0707  |  0.7718  |     1.7951      |    0.0904    |   0.5933   | 0.1569  |
[ 13 /300 ]    | -1.7602  |  0.1049  |  0.7688  |     1.8651      |    0.1564    |   0.5949   | 0.2477  |
[ 14 /300 ]    | -1.8310  |  0.1191  |  0.7738  |     1.9310      |    0.1412    |   0.3801   | 0.2059  |
