Namespace(attSize=312, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='CUB', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=3483, matdataset=True, nclass_all=200, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=312, outf='./checkpoint/', outname='cub', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=500, val_every=1, validation=False, workers=2)
Random Seed:  3483
# of training samples:  7057
MLP_G(
  (fc1): Linear(in_features=624, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2360, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_4HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=128)
  (fc5): Linear(in_features=128, out_features=312)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -0.7110  | -0.2234  |  0.7130  |     0.7232      |    0.0185    |   0.2611   | 0.0345  |
[ 2  /300 ]    | -1.1900  | -0.4000  |  0.7559  |     1.2022      |    0.0145    |   0.2132   | 0.0271  |
[ 3  /300 ]    | -1.6245  | -0.4147  |  0.7607  |     1.6557      |    0.0123    |   0.1977   | 0.0232  |
[ 4  /300 ]    | -2.0223  | -0.2088  |  0.7570  |     2.0827      |    0.0224    |   0.1844   | 0.0399  |
[ 5  /300 ]    | -2.1484  | -0.3466  |  0.7604  |     2.2563      |    0.0327    |   0.2657   | 0.0582  |
[ 6  /300 ]    | -2.2169  | -0.4431  |  0.7578  |     2.3265      |    0.0304    |   0.3190   | 0.0555  |
[ 7  /300 ]    | -2.2584  | -0.4553  |  0.7628  |     2.3809      |    0.0485    |   0.3058   | 0.0836  |
[ 8  /300 ]    | -2.2570  | -0.4536  |  0.7618  |     2.3499      |    0.0461    |   0.2571   | 0.0781  |
[ 9  /300 ]    | -2.2797  | -0.5626  |  0.7608  |     2.3656      |    0.0690    |   0.2502   | 0.1082  |
[ 10 /300 ]    | -2.2334  | -0.5536  |  0.7643  |     2.3387      |    0.0904    |   0.2274   | 0.1294  |
[ 11 /300 ]    | -2.1612  | -0.5159  |  0.7658  |     2.2727      |    0.0993    |   0.1748   | 0.1266  |
[ 12 /300 ]    | -2.0941  | -0.4946  |  0.7752  |     2.2102      |    0.0660    |   0.3505   | 0.1110  |
[ 13 /300 ]    | -1.9686  | -0.5426  |  0.7821  |     2.0534      |    0.0946    |   0.3265   | 0.1467  |
[ 14 /300 ]    | -1.8916  | -0.4720  |  0.7877  |     1.9540      |    0.1331    |   0.2628   | 0.1767  |
[ 15 /300 ]    | -1.8210  | -0.4454  |  0.8107  |     1.9019      |    0.1269    |   0.3962   | 0.1922  |
[ 16 /300 ]    | -1.7145  | -0.4343  |  0.8147  |     1.7835      |    0.1566    |   0.3436   | 0.2152  |
[ 17 /300 ]    | -1.6316  | -0.3955  |  0.8259  |     1.6959      |    0.1623    |   0.4047   | 0.2317  |
[ 18 /300 ]    | -1.6050  | -0.5050  |  0.8361  |     1.6663      |    0.1944    |   0.3816   | 0.2576  |
[ 19 /300 ]    | -1.5703  | -0.4003  |  0.8406  |     1.6252      |    0.1910    |   0.4319   | 0.2648  |
[ 20 /300 ]    | -1.5004  | -0.3074  |  0.8470  |     1.5485      |    0.2053    |   0.4150   | 0.2747  |
[ 21 /300 ]    | -1.4353  | -0.3675  |  0.8531  |     1.4857      |    0.2073    |   0.4939   | 0.2920  |
[ 22 /300 ]    | -1.4181  | -0.2606  |  0.8548  |     1.4592      |    0.2378    |   0.4123   | 0.3016  |
[ 23 /300 ]    | -1.4076  | -0.2986  |  0.8683  |     1.4554      |    0.2414    |   0.4783   | 0.3209  |
[ 24 /300 ]    | -1.3459  | -0.3114  |  0.8651  |     1.4004      |    0.2199    |   0.5347   | 0.3116  |
[ 25 /300 ]    | -1.3488  | -0.1538  |  0.8707  |     1.3941      |    0.2538    |   0.4793   | 0.3319  |
[ 26 /300 ]    | -1.3129  | -0.2619  |  0.8716  |     1.3541      |    0.2822    |   0.4430   | 0.3447  |
[ 27 /300 ]    | -1.3225  | -0.1311  |  0.8771  |     1.3705      |    0.2715    |   0.4918   | 0.3499  |
[ 28 /300 ]    | -1.2909  | -0.1386  |  0.8773  |     1.3373      |    0.2942    |   0.4823   | 0.3654  |
[ 29 /300 ]    | -1.2942  | -0.2337  |  0.8815  |     1.3353      |    0.2791    |   0.4710   | 0.3505  |
[ 30 /300 ]    | -1.2736  | -0.2663  |  0.8815  |     1.3153      |    0.3072    |   0.4796   | 0.3745  |
[ 31 /300 ]    | -1.2660  | -0.2667  |  0.8883  |     1.3148      |    0.2916    |   0.4962   | 0.3674  |
[ 32 /300 ]    | -1.2472  | -0.2438  |  0.8893  |     1.2922      |    0.3076    |   0.4825   | 0.3757  |
[ 33 /300 ]    | -1.2242  | -0.2775  |  0.8908  |     1.2688      |    0.3275    |   0.4656   | 0.3845  |
[ 34 /300 ]    | -1.1975  | -0.2044  |  0.8923  |     1.2367      |    0.3124    |   0.4858   | 0.3803  |
[ 35 /300 ]    | -1.2187  | -0.3162  |  0.8894  |     1.2605      |    0.3241    |   0.5134   | 0.3974  |
[ 36 /300 ]    | -1.2182  | -0.3522  |  0.8976  |     1.2653      |    0.3329    |   0.5406   | 0.4121  |
[ 37 /300 ]    | -1.1884  | -0.2210  |  0.8976  |     1.2256      |    0.3162    |   0.5340   | 0.3972  |
[ 38 /300 ]    | -1.1913  | -0.3076  |  0.9028  |     1.2456      |    0.3381    |   0.5330   | 0.4137  |
[ 39 /300 ]    | -1.1587  | -0.3231  |  0.9007  |     1.2039      |    0.3457    |   0.5264   | 0.4174  |
[ 40 /300 ]    | -1.1574  | -0.2136  |  0.9039  |     1.1977      |    0.3409    |   0.5425   | 0.4187  |
[ 41 /300 ]    | -1.1574  | -0.3888  |  0.9067  |     1.2024      |    0.3483    |   0.5322   | 0.4210  |
[ 42 /300 ]    | -1.1848  | -0.3276  |  0.9072  |     1.2308      |    0.3515    |   0.5345   | 0.4241  |
[ 43 /300 ]    | -1.1564  | -0.3125  |  0.9092  |     1.1992      |    0.3464    |   0.5288   | 0.4186  |
[ 44 /300 ]    | -1.1385  | -0.3427  |  0.9114  |     1.1885      |    0.3452    |   0.5517   | 0.4247  |
[ 45 /300 ]    | -1.1673  | -0.4210  |  0.9112  |     1.2183      |    0.3487    |   0.5712   | 0.4331  |
[ 46 /300 ]    | -1.1427  | -0.4387  |  0.9134  |     1.1793      |    0.3576    |   0.5234   | 0.4249  |
[ 47 /300 ]    | -1.1089  | -0.4559  |  0.9121  |     1.1529      |    0.3660    |   0.5369   | 0.4353  |
[ 48 /300 ]    | -1.1380  | -0.3793  |  0.9156  |     1.1810      |    0.3382    |   0.5860   | 0.4289  |
[ 49 /300 ]    | -1.1237  | -0.2592  |  0.9158  |     1.1637      |    0.3476    |   0.5696   | 0.4317  |
[ 50 /300 ]    | -1.0980  | -0.3329  |  0.9174  |     1.1455      |    0.3718    |   0.5180   | 0.4329  |
[ 51 /300 ]    | -1.1032  | -0.4415  |  0.9169  |     1.1450      |    0.3576    |   0.5458   | 0.4321  |
[ 52 /300 ]    | -1.0906  | -0.5020  |  0.9185  |     1.1297      |    0.3765    |   0.5460   | 0.4457  |
[ 53 /300 ]    | -1.1038  | -0.4322  |  0.9211  |     1.1455      |    0.3704    |   0.5416   | 0.4399  |
[ 54 /300 ]    | -1.1149  | -0.5548  |  0.9215  |     1.1571      |    0.3718    |   0.5437   | 0.4416  |
