Namespace(attSize=312, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='CUB', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=3483, matdataset=True, nclass_all=200, ndh=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=312, outf='./checkpoint/', outname='cub', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=1, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, resSize=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=500, val_every=1, validation=False, workers=2)
Random Seed:  3483
# of training samples:  7057
MLP_G(
  (fc1): Linear(in_features=624, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2360, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_1HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=312)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -0.6809  | -0.1444  |  0.7293  |     0.6917      |    0.0250    |   0.2457   | 0.0455  |
[ 2  /300 ]    | -1.1931  | -0.4125  |  0.7454  |     1.2073      |    0.0163    |   0.1930   | 0.0301  |
[ 3  /300 ]    | -1.6033  | -0.2990  |  0.7515  |     1.6364      |    0.0195    |   0.1897   | 0.0353  |
[ 4  /300 ]    | -2.0090  | -0.2869  |  0.7613  |     2.0674      |    0.0235    |   0.4013   | 0.0444  |
[ 5  /300 ]    | -2.1079  | -0.3242  |  0.7590  |     2.2278      |    0.0319    |   0.2393   | 0.0562  |
[ 6  /300 ]    | -2.2368  | -0.4122  |  0.7612  |     2.3484      |    0.0256    |   0.3139   | 0.0473  |
[ 7  /300 ]    | -2.2450  | -0.3820  |  0.7618  |     2.3783      |    0.0348    |   0.3049   | 0.0625  |
[ 8  /300 ]    | -2.2895  | -0.4622  |  0.7667  |     2.4251      |    0.0421    |   0.2908   | 0.0736  |
[ 9  /300 ]    | -2.2239  | -0.4976  |  0.7652  |     2.3407      |    0.0509    |   0.2475   | 0.0844  |
[ 10 /300 ]    | -2.2014  | -0.4838  |  0.7766  |     2.3251      |    0.0757    |   0.2221   | 0.1130  |
[ 11 /300 ]    | -2.1361  | -0.5498  |  0.7722  |     2.2388      |    0.1012    |   0.1971   | 0.1338  |
[ 12 /300 ]    | -2.0845  | -0.5596  |  0.7865  |     2.1600      |    0.0820    |   0.3622   | 0.1337  |
[ 13 /300 ]    | -1.9676  | -0.5305  |  0.8046  |     2.0675      |    0.1164    |   0.3146   | 0.1700  |
[ 14 /300 ]    | -1.9076  | -0.5138  |  0.8176  |     1.9911      |    0.1115    |   0.4111   | 0.1754  |
