Namespace(att_size=312, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='CUB', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=3483, matdataset=True, nclass_all=200, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=312, outf='./checkpoint/', outname='cub', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=3, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=500, val_every=1, validation=False, workers=2)
Random Seed:  3483
# of training samples:  7057
MLP_G(
  (fc1): Linear(in_features=624, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2360, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_3HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=256)
  (fc4): Linear(in_features=256, out_features=312)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -0.6820  | -0.1413  |  0.6588  |     0.6915      |    0.0175    |   0.2530   | 0.0327  |
[ 2  /300 ]    | -1.2015  | -0.4010  |  0.7043  |     1.2159      |    0.0285    |   0.2316   | 0.0507  |
[ 3  /300 ]    | -1.6050  | -0.4500  |  0.7164  |     1.6340      |    0.0188    |   0.1951   | 0.0343  |
[ 4  /300 ]    | -1.9844  | -0.2776  |  0.7278  |     2.0517      |    0.0274    |   0.1716   | 0.0473  |
[ 5  /300 ]    | -2.1344  | -0.3004  |  0.7370  |     2.2746      |    0.0261    |   0.2622   | 0.0474  |
[ 6  /300 ]    | -2.2025  | -0.3751  |  0.7410  |     2.3235      |    0.0280    |   0.3265   | 0.0515  |
[ 7  /300 ]    | -2.2917  | -0.4991  |  0.7421  |     2.4097      |    0.0267    |   0.3205   | 0.0493  |
[ 8  /300 ]    | -2.2979  | -0.4912  |  0.7399  |     2.4134      |    0.0608    |   0.2791   | 0.0998  |
[ 9  /300 ]    | -2.3234  | -0.5554  |  0.7577  |     2.4393      |    0.0594    |   0.2387   | 0.0952  |
[ 10 /300 ]    | -2.2233  | -0.5309  |  0.7505  |     2.3393      |    0.0579    |   0.2289   | 0.0924  |
[ 11 /300 ]    | -2.1548  | -0.5037  |  0.7605  |     2.2743      |    0.0905    |   0.1892   | 0.1225  |
[ 12 /300 ]    | -2.1087  | -0.5570  |  0.7617  |     2.1893      |    0.0932    |   0.3840   | 0.1500  |
[ 13 /300 ]    | -1.9841  | -0.4507  |  0.7663  |     2.0730      |    0.0986    |   0.3115   | 0.1497  |
[ 14 /300 ]    | -1.8799  | -0.5079  |  0.7836  |     1.9460      |    0.1372    |   0.2654   | 0.1809  |
[ 15 /300 ]    | -1.7721  | -0.4142  |  0.8007  |     1.8395      |    0.1408    |   0.3814   | 0.2057  |
[ 16 /300 ]    | -1.7859  | -0.3960  |  0.8141  |     1.8386      |    0.1662    |   0.3300   | 0.2211  |
[ 17 /300 ]    | -1.6766  | -0.3657  |  0.8291  |     1.7278      |    0.1569    |   0.4711   | 0.2354  |
[ 18 /300 ]    | -1.6135  | -0.4036  |  0.8313  |     1.6638      |    0.2029    |   0.3712   | 0.2624  |
[ 19 /300 ]    | -1.5576  | -0.4265  |  0.8456  |     1.6103      |    0.1983    |   0.4341   | 0.2722  |
[ 20 /300 ]    | -1.4791  | -0.1148  |  0.8512  |     1.5246      |    0.2073    |   0.4700   | 0.2877  |
[ 21 /300 ]    | -1.4553  | -0.2486  |  0.8636  |     1.5009      |    0.2012    |   0.5160   | 0.2896  |
[ 22 /300 ]    | -1.3921  | -0.3145  |  0.8676  |     1.4427      |    0.2417    |   0.4366   | 0.3111  |
[ 23 /300 ]    | -1.3625  | -0.2772  |  0.8685  |     1.4205      |    0.2674    |   0.4152   | 0.3253  |
[ 24 /300 ]    | -1.3433  | -0.2652  |  0.8734  |     1.3944      |    0.2481    |   0.4436   | 0.3182  |
[ 25 /300 ]    | -1.3364  | -0.3107  |  0.8823  |     1.3760      |    0.2540    |   0.4796   | 0.3321  |
[ 26 /300 ]    | -1.3366  | -0.1330  |  0.8880  |     1.3784      |    0.2752    |   0.4565   | 0.3434  |
[ 27 /300 ]    | -1.3107  | -0.1503  |  0.8876  |     1.3519      |    0.2694    |   0.5065   | 0.3517  |
[ 28 /300 ]    | -1.2811  | -0.2262  |  0.8886  |     1.3288      |    0.2969    |   0.4548   | 0.3593  |
[ 29 /300 ]    | -1.2464  | -0.1288  |  0.8943  |     1.3004      |    0.2937    |   0.4895   | 0.3671  |
[ 30 /300 ]    | -1.2636  | -0.1960  |  0.8939  |     1.3038      |    0.3076    |   0.4761   | 0.3738  |
[ 31 /300 ]    | -1.2375  | -0.2627  |  0.8980  |     1.2875      |    0.3043    |   0.5015   | 0.3787  |
[ 32 /300 ]    | -1.2224  | -0.2765  |  0.9014  |     1.2659      |    0.3237    |   0.4590   | 0.3796  |
[ 33 /300 ]    | -1.2100  | -0.2078  |  0.9030  |     1.2460      |    0.2938    |   0.5368   | 0.3798  |
[ 34 /300 ]    | -1.2090  | -0.1964  |  0.9025  |     1.2485      |    0.3133    |   0.5256   | 0.3926  |
[ 35 /300 ]    | -1.1905  | -0.3248  |  0.9052  |     1.2427      |    0.3195    |   0.5103   | 0.3930  |
[ 36 /300 ]    | -1.1715  | -0.3108  |  0.9093  |     1.2097      |    0.3279    |   0.5123   | 0.3998  |
[ 37 /300 ]    | -1.1960  | -0.4554  |  0.9112  |     1.2394      |    0.3424    |   0.5035   | 0.4076  |
[ 38 /300 ]    | -1.1774  | -0.3803  |  0.9122  |     1.2269      |    0.3258    |   0.5549   | 0.4105  |
[ 39 /300 ]    | -1.1904  | -0.3623  |  0.9140  |     1.2386      |    0.3480    |   0.4930   | 0.4080  |
[ 40 /300 ]    | -1.1836  | -0.2854  |  0.9166  |     1.2230      |    0.3317    |   0.5619   | 0.4172  |
[ 41 /300 ]    | -1.1447  | -0.2274  |  0.9160  |     1.1837      |    0.3621    |   0.5162   | 0.4256  |
[ 42 /300 ]    | -1.1257  | -0.4838  |  0.9186  |     1.1747      |    0.3380    |   0.5747   | 0.4257  |
[ 43 /300 ]    | -1.1332  | -0.4914  |  0.9209  |     1.1798      |    0.3509    |   0.5304   | 0.4224  |
[ 44 /300 ]    | -1.1346  | -0.4004  |  0.9248  |     1.1768      |    0.3514    |   0.5473   | 0.4280  |
[ 45 /300 ]    | -1.1413  | -0.4400  |  0.9223  |     1.1822      |    0.3614    |   0.5612   | 0.4396  |
[ 46 /300 ]    | -1.1260  | -0.5057  |  0.9246  |     1.1654      |    0.3553    |   0.5555   | 0.4334  |
[ 47 /300 ]    | -1.1208  | -0.5511  |  0.9267  |     1.1688      |    0.3621    |   0.5398   | 0.4334  |
[ 48 /300 ]    | -1.1450  | -0.3361  |  0.9244  |     1.1899      |    0.3715    |   0.5272   | 0.4358  |
[ 49 /300 ]    | -1.1309  | -0.5374  |  0.9313  |     1.1709      |    0.3746    |   0.5471   | 0.4447  |
[ 50 /300 ]    | -1.0948  | -0.3888  |  0.9293  |     1.1318      |    0.3911    |   0.5024   | 0.4398  |
[ 51 /300 ]    | -1.0922  | -0.4766  |  0.9305  |     1.1266      |    0.3712    |   0.5261   | 0.4353  |
[ 52 /300 ]    | -1.1078  | -0.5087  |  0.9331  |     1.1501      |    0.3722    |   0.5423   | 0.4414  |
[ 53 /300 ]    | -1.0924  | -0.5318  |  0.9349  |     1.1457      |    0.3678    |   0.5455   | 0.4394  |
[ 54 /300 ]    | -1.1136  | -0.6116  |  0.9342  |     1.1546      |    0.3675    |   0.5760   | 0.4487  |
[ 55 /300 ]    | -1.0650  | -0.6416  |  0.9357  |     1.1045      |    0.3843    |   0.5345   | 0.4471  |
[ 56 /300 ]    | -1.1026  | -0.6249  |  0.9360  |     1.1471      |    0.3630    |   0.5786   | 0.4461  |
[ 57 /300 ]    | -1.0716  | -0.5435  |  0.9364  |     1.1196      |    0.3779    |   0.5499   | 0.4479  |
[ 58 /300 ]    | -1.0831  | -0.6280  |  0.9373  |     1.1219      |    0.4004    |   0.5112   | 0.4491  |
[ 59 /300 ]    | -1.0917  | -0.5967  |  0.9404  |     1.1323      |    0.3850    |   0.5466   | 0.4518  |
[ 60 /300 ]    | -1.0850  | -0.6590  |  0.9381  |     1.1267      |    0.3767    |   0.5388   | 0.4434  |
[ 61 /300 ]    | -1.0921  | -0.6519  |  0.9403  |     1.1354      |    0.3683    |   0.5610   | 0.4447  |
[ 62 /300 ]    | -1.0866  | -0.8883  |  0.9407  |     1.1238      |    0.3687    |   0.5778   | 0.4502  |
[ 63 /300 ]    | -1.0628  | -0.5690  |  0.9434  |     1.1056      |    0.3912    |   0.5330   | 0.4512  |
[ 64 /300 ]    | -1.0860  | -0.7944  |  0.9409  |     1.1272      |    0.3812    |   0.5532   | 0.4513  |
[ 65 /300 ]    | -1.0704  | -0.8378  |  0.9440  |     1.1082      |    0.3999    |   0.5288   | 0.4554  |
[ 66 /300 ]    | -1.0484  | -0.8110  |  0.9425  |     1.0875      |    0.3975    |   0.5505   | 0.4617  |
[ 67 /300 ]    | -1.0612  | -0.9124  |  0.9454  |     1.0935      |    0.4112    |   0.5155   | 0.4575  |
[ 68 /300 ]    | -1.0549  | -1.0271  |  0.9446  |     1.0934      |    0.4045    |   0.5325   | 0.4597  |
[ 69 /300 ]    | -1.0675  | -1.0587  |  0.9470  |     1.1080      |    0.3688    |   0.5786   | 0.4505  |
[ 70 /300 ]    | -1.0559  | -1.0509  |  0.9448  |     1.1042      |    0.3927    |   0.5499   | 0.4582  |
[ 71 /300 ]    | -1.0532  | -1.0615  |  0.9475  |     1.0910      |    0.4133    |   0.5126   | 0.4576  |
[ 72 /300 ]    | -1.0121  | -1.0691  |  0.9495  |     1.0456      |    0.4125    |   0.5236   | 0.4614  |
[ 73 /300 ]    | -1.0233  | -0.9271  |  0.9475  |     1.0621      |    0.4371    |   0.5032   | 0.4678  |
