Namespace(att_size=312, batch_size=512, bc=False, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, consistency_weight=1, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='CUB', drop_rate=0.2, gzsl=True, image_embedding='res101', lambda1=10.0, lr=0.0001, manualSeed=3483, matdataset=True, nclass_all=200, dis_hu=4096, nepoch=300, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, njh=170, nrgh=4096, nrgh1=1024, nrgh2=512, nrgh3=256, nrgh4=128, nrh=4096, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, nz=312, outf='./checkpoint/', outname='cub', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=2, r_iteration=3, r_nz=2048, r_path='/home/xingyun/docker/mmcgan/r_param', r_weight=1, res_size=2048, reverse_iter=5, rg_hl=1, save_every=100, standardization=False, start_epoch=0, syn_num=500, val_every=1, validation=False, workers=2)
Random Seed:  3483
# of training samples:  7057
MLP_G(
  (fc1): Linear(in_features=624, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
MLP_CRITIC(
  (fc1): Linear(in_features=2360, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=1)
  (lrelu): LeakyReLU(0.2, inplace)
)
MLP_2HL_Dropout_R(
  (fc1): Linear(in_features=2048, out_features=1024)
  (fc2): Linear(in_features=1024, out_features=512)
  (fc3): Linear(in_features=512, out_features=312)
  (relu): ReLU(inplace)
  (lrelu): LeakyReLU(0.2, inplace)
  (dropout): Dropout(p=0.2)
)
EPOCH          |  D_cost  |  G_cost  |  R_cost  |  Wasserstein_D  |  ACC_unseen  |  ACC_seen  |    H    |
[ 1  /300 ]    | -0.6859  |  0.0181  |  0.7031  |     0.6967      |    0.0135    |   0.2554   | 0.0256  |
[ 2  /300 ]    | -1.1939  | -0.4096  |  0.7296  |     1.2074      |    0.0193    |   0.2165   | 0.0355  |
[ 3  /300 ]    | -1.6092  | -0.4247  |  0.7426  |     1.6423      |    0.0195    |   0.1703   | 0.0349  |
[ 4  /300 ]    | -1.9945  | -0.2668  |  0.7445  |     2.0563      |    0.0279    |   0.1970   | 0.0489  |
[ 5  /300 ]    | -2.1383  | -0.2982  |  0.7454  |     2.2771      |    0.0288    |   0.2648   | 0.0520  |
[ 6  /300 ]    | -2.2179  | -0.3537  |  0.7492  |     2.4092      |    0.0314    |   0.3306   | 0.0574  |
[ 7  /300 ]    | -2.2642  | -0.4673  |  0.7517  |     2.3657      |    0.0404    |   0.3108   | 0.0715  |
[ 8  /300 ]    | -2.2452  | -0.4587  |  0.7586  |     2.3706      |    0.0431    |   0.2805   | 0.0747  |
[ 9  /300 ]    | -2.2862  | -0.5414  |  0.7608  |     2.4007      |    0.0670    |   0.2523   | 0.1059  |
[ 10 /300 ]    | -2.2193  | -0.4880  |  0.7621  |     2.3407      |    0.0816    |   0.2076   | 0.1172  |
[ 11 /300 ]    | -2.1688  | -0.4865  |  0.7617  |     2.2807      |    0.0846    |   0.1792   | 0.1149  |
[ 12 /300 ]    | -2.0489  | -0.5072  |  0.7664  |     2.1358      |    0.1289    |   0.1609   | 0.1431  |
[ 13 /300 ]    | -1.9576  | -0.4221  |  0.7671  |     2.0559      |    0.0928    |   0.3235   | 0.1442  |
[ 14 /300 ]    | -1.9100  | -0.5147  |  0.7792  |     1.9789      |    0.1037    |   0.4291   | 0.1670  |
[ 15 /300 ]    | -1.8122  | -0.4504  |  0.8026  |     1.8762      |    0.1378    |   0.3928   | 0.2040  |
[ 16 /300 ]    | -1.7310  | -0.4567  |  0.8135  |     1.7973      |    0.1214    |   0.4516   | 0.1913  |
[ 17 /300 ]    | -1.6685  | -0.4459  |  0.8240  |     1.7182      |    0.1810    |   0.4185   | 0.2527  |
[ 18 /300 ]    | -1.6172  | -0.3933  |  0.8486  |     1.6731      |    0.1828    |   0.4549   | 0.2608  |
[ 19 /300 ]    | -1.5672  | -0.3847  |  0.8510  |     1.6147      |    0.2146    |   0.3565   | 0.2679  |
[ 20 /300 ]    | -1.5004  | -0.3408  |  0.8582  |     1.5587      |    0.2466    |   0.3904   | 0.3023  |
[ 21 /300 ]    | -1.4745  | -0.2892  |  0.8681  |     1.5145      |    0.2299    |   0.4466   | 0.3036  |
[ 22 /300 ]    | -1.4092  | -0.2971  |  0.8764  |     1.4659      |    0.2273    |   0.4781   | 0.3081  |
[ 23 /300 ]    | -1.3822  | -0.2203  |  0.8790  |     1.4396      |    0.2475    |   0.5008   | 0.3312  |
[ 24 /300 ]    | -1.3718  | -0.2501  |  0.8828  |     1.4236      |    0.2656    |   0.4617   | 0.3372  |
[ 25 /300 ]    | -1.3527  | -0.3343  |  0.8856  |     1.3995      |    0.2718    |   0.4795   | 0.3469  |
[ 26 /300 ]    | -1.3374  | -0.3145  |  0.8840  |     1.3895      |    0.2653    |   0.5079   | 0.3485  |
[ 27 /300 ]    | -1.3181  | -0.2391  |  0.8896  |     1.3561      |    0.2927    |   0.4276   | 0.3475  |
